Date,rate_AVB_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,86.96
2019-01-31,7.94,2.79,5.15,93.93
2019-03-01,8.02,5.82,2.2,89.94
2019-03-29,11.46,6.59,4.87,93.55
2019-04-29,9.66,10.42,-0.76,85.93
2019-05-28,11.92,5.19,6.73,96.07
2019-06-25,12.48,9.51,2.97,90.98
2019-07-24,13.44,12.59,0.85,88.11
2019-08-21,12.68,8.26,4.42,92.94
2019-09-19,12.68,11.09,1.59,89.11
2019-10-17,16.66,10.2,6.46,95.71
2019-11-14,12.94,13.63,-0.69,86.02
2019-12-13,10.54,16.06,-5.52,79.48
2020-01-14,10.73,19.31,-8.58,75.34
2020-02-12,18.15,22.17,-4.02,81.51
2020-03-12,-4.15,-7.39,3.24,91.34
2020-04-09,-11.17,4.54,-15.71,65.68
2020-05-08,-12.61,9.68,-22.29,56.77
2020-06-08,-4.87,20.77,-25.64,52.23
2020-07-07,-16.91,16.81,-33.72,41.28
2020-08-04,-18.35,22.24,-40.59,31.98
2020-09-01,-15.61,26.62,-42.23,29.76
2020-09-30,-19.64,22.37,-42.01,30.06
2020-10-28,-27.65,18.79,-46.44,24.06
2020-11-25,-6.83,31.0,-37.83,35.72
2020-12-24,-13.87,32.65,-46.52,23.95
2021-01-26,-7.98,37.29,-45.27,25.64
2021-02-24,1.32,39.48,-38.16,35.27
2021-03-24,1.28,38.31,-37.03,36.8
2021-04-22,5.35,44.93,-39.58,33.35
2021-05-20,9.31,45.12,-35.81,38.45
2021-06-18,12.42,44.74,-32.32,43.18
2021-07-19,21.38,46.9,-25.52,52.39
2021-08-16,22.62,52.69,-30.07,46.23
2021-09-14,21.7,50.65,-28.95,47.74
2021-10-12,22.66,46.96,-24.3,54.04
2021-11-09,29.55,57.28,-27.73,49.4
2021-12-08,31.93,57.14,-25.21,52.81
2022-01-06,34.87,55.71,-20.84,58.73
2022-02-04,31.96,48.73,-16.77,64.24
2022-03-07,30.11,38.56,-8.45,75.51
2022-04-04,33.05,50.04,-16.99,63.94
2022-05-03,17.72,36.37,-18.65,61.7
2022-06-01,9.79,33.73,-23.94,54.53
2022-06-30,2.79,23.28,-20.49,59.2
2022-07-29,13.11,34.14,-21.03,58.47
2022-08-26,10.36,32.25,-21.89,57.31
2022-09-26,-2.53,20.34,-22.87,55.98
2022-10-24,-8.24,24.25,-32.49,42.95
2022-11-21,-10.44,29.08,-39.52,33.43
2022-12-20,-14.27,24.09,-38.36,35.0
2023-01-20,-9.23,28.72,-37.95,35.55
2023-02-17,-4.44,31.99,-36.43,37.61
2023-03-20,-13.14,27.76,-40.9,31.56
2023-04-18,-7.34,33.44,-40.78,31.72
2023-05-16,-6.25,31.79,-38.04,35.43
2023-06-14,0.91,39.9,-38.99,34.15
2023-07-14,4.67,43.27,-38.6,34.67
2023-08-11,-0.64,42.01,-42.65,29.19
2023-09-11,-3.61,42.23,-45.84,24.87
2023-10-09,-6.34,36.77,-43.11,28.57
2023-11-06,-8.97,37.4,-46.37,24.15
2023-12-05,-5.35,43.51,-48.86,20.78
2024-01-04,-1.17,46.32,-47.49,22.63
2024-02-02,-5.68,54.14,-59.82,5.93
2024-03-04,-0.22,59.08,-59.3,6.64
2024-04-02,-3.05,60.46,-63.51,0.93
2024-04-30,2.16,55.27,-53.11,15.02
2024-05-29,1.58,62.08,-60.5,5.01
2024-06-27,10.64,68.1,-57.46,9.13
2024-07-26,10.67,66.24,-55.57,11.69
