Date,rate_COST_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,11.73
2019-01-31,1.8,2.79,-0.99,10.88
2019-03-01,4.2,5.82,-1.62,10.34
2019-03-29,14.62,6.59,8.03,18.64
2019-04-29,15.15,10.42,4.73,15.8
2019-05-28,15.66,5.19,10.47,20.74
2019-06-25,23.13,9.51,13.62,23.45
2019-07-24,28.67,12.59,16.08,25.57
2019-08-21,24.53,8.26,16.27,25.73
2019-09-19,26.63,11.09,15.54,25.1
2019-10-17,32.2,10.2,22.0,30.66
2019-11-14,32.4,13.63,18.77,27.88
2019-12-13,26.24,16.06,10.18,20.49
2020-01-14,28.97,19.31,9.66,20.04
2020-02-12,34.75,22.17,12.58,22.56
2020-03-12,19.18,-7.39,26.57,34.6
2020-04-09,27.07,4.54,22.53,31.12
2020-05-08,28.93,9.68,19.25,28.3
2020-06-08,28.82,20.77,8.05,18.66
2020-07-07,31.93,16.81,15.12,24.74
2020-08-04,38.71,22.24,16.47,25.9
2020-09-01,41.23,26.62,14.61,24.3
2020-09-30,43.18,22.37,20.81,29.64
2020-10-28,46.21,18.79,27.42,35.33
2020-11-25,54.36,31.0,23.36,31.83
2020-12-24,44.31,32.65,11.66,21.76
2021-01-26,43.63,37.29,6.34,17.19
2021-02-24,33.46,39.48,-6.02,6.55
2021-03-24,31.94,38.31,-6.37,6.25
2021-04-22,44.03,44.93,-0.9,10.96
2021-05-20,47.94,45.12,2.82,14.16
2021-06-18,46.14,44.74,1.4,12.93
2021-07-19,57.85,46.9,10.95,21.15
2021-08-16,68.84,52.69,16.15,25.63
2021-09-14,68.68,50.65,18.03,27.25
2021-10-12,63.67,46.96,16.71,26.11
2021-11-09,84.79,57.28,27.51,35.4
2021-12-08,91.08,57.14,33.94,40.94
2022-01-06,96.73,55.71,41.02,47.03
2022-02-04,85.08,48.73,36.35,43.01
2022-03-07,86.9,38.56,48.34,53.33
2022-04-04,101.82,50.04,51.78,56.29
2022-05-03,84.22,36.37,47.85,52.91
2022-06-01,58.77,33.73,25.04,33.28
2022-06-30,66.44,23.28,43.16,48.87
2022-07-29,86.76,34.14,52.62,57.01
2022-08-26,83.93,32.25,51.68,56.2
2022-09-26,66.41,20.34,46.07,51.38
2022-10-24,71.27,24.25,47.02,52.19
2022-11-21,79.32,29.08,50.24,54.97
2022-12-20,56.22,24.09,32.13,39.38
2023-01-20,63.02,28.72,34.3,41.25
2023-02-17,71.33,31.99,39.34,45.59
2023-03-20,64.42,27.76,36.66,43.28
2023-04-18,66.15,33.44,32.71,39.88
2023-05-16,65.11,31.79,33.32,40.4
2023-06-14,73.92,39.9,34.02,41.01
2023-07-14,79.33,43.27,36.06,42.76
2023-08-11,83.28,42.01,41.27,47.25
2023-09-11,82.55,42.23,40.32,46.43
2023-10-09,81.62,36.77,44.85,50.33
2023-11-06,84.17,37.4,46.77,51.98
2023-12-05,94.53,43.51,51.02,55.64
2024-01-04,107.05,46.32,60.73,63.99
2024-02-02,125.05,54.14,70.91,72.75
2024-03-04,139.17,59.08,80.09,80.65
2024-04-02,122.91,60.46,62.45,65.47
2024-04-30,126.52,55.27,71.25,73.05
2024-05-29,150.98,62.08,88.9,88.24
2024-06-27,162.9,68.1,94.8,93.31
2024-07-26,151.15,66.24,84.91,84.8
