Date,rate_D_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,84.0
2019-01-31,0.29,2.79,-2.5,81.81
2019-03-01,5.63,5.82,-0.19,83.84
2019-03-29,7.98,6.59,1.39,85.22
2019-04-29,7.07,10.42,-3.35,81.07
2019-05-28,7.0,5.19,1.81,85.59
2019-06-25,10.23,9.51,0.72,84.63
2019-07-24,5.1,12.59,-7.49,77.44
2019-08-21,6.5,8.26,-1.76,82.46
2019-09-19,10.99,11.09,-0.1,83.91
2019-10-17,12.69,10.2,2.49,86.18
2019-11-14,11.29,13.63,-2.34,81.95
2019-12-13,10.1,16.06,-5.96,78.78
2020-01-14,11.27,19.31,-8.04,76.96
2020-02-12,16.08,22.17,-6.09,78.67
2020-03-12,-3.59,-7.39,3.8,87.33
2020-04-09,10.22,4.54,5.68,88.98
2020-05-08,5.87,9.68,-3.81,80.66
2020-06-08,16.26,20.77,-4.51,80.05
2020-07-07,-0.06,16.81,-16.87,69.22
2020-08-04,8.52,22.24,-13.72,71.98
2020-09-01,5.41,26.62,-21.21,65.42
2020-09-30,6.53,22.37,-15.84,70.12
2020-10-28,7.48,18.79,-11.31,74.09
2020-11-25,6.75,31.0,-24.25,62.76
2020-12-24,-0.22,32.65,-32.87,55.2
2021-01-26,-0.99,37.29,-38.28,50.46
2021-02-24,-4.25,39.48,-43.73,45.69
2021-03-24,-0.17,38.31,-38.48,50.29
2021-04-22,6.83,44.93,-38.1,50.62
2021-05-20,3.8,45.12,-41.32,47.8
2021-06-18,0.52,44.74,-44.22,45.26
2021-07-19,1.89,46.9,-45.01,44.57
2021-08-16,4.1,52.69,-48.59,41.43
2021-09-14,1.89,50.65,-48.76,41.28
2021-10-12,-2.67,46.96,-49.63,40.52
2021-11-09,0.07,57.28,-57.21,33.88
2021-12-08,0.8,57.14,-56.34,34.64
2022-01-06,5.96,55.71,-49.75,40.42
2022-02-04,7.43,48.73,-41.3,47.82
2022-03-07,11.52,38.56,-27.04,60.31
2022-04-04,14.01,50.04,-36.03,52.44
2022-05-03,8.39,36.37,-27.98,59.49
2022-06-01,11.51,33.73,-22.22,64.53
2022-06-30,6.33,23.28,-16.95,69.15
2022-07-29,9.13,34.14,-25.01,62.09
2022-08-26,10.2,32.25,-22.05,64.68
2022-09-26,0.99,20.34,-19.35,67.05
2022-10-24,-11.83,24.25,-36.08,52.39
2022-11-21,-20.22,29.08,-49.3,40.81
2022-12-20,-19.9,24.09,-43.99,45.46
2023-01-20,-15.9,28.72,-44.62,44.91
2023-02-17,-20.67,31.99,-52.66,37.87
2023-03-20,-24.5,27.76,-52.26,38.22
2023-04-18,-21.86,33.44,-55.3,35.55
2023-05-16,-27.75,31.79,-59.54,31.84
2023-06-14,-27.73,39.9,-67.63,24.75
2023-07-14,-27.29,43.27,-70.56,22.18
2023-08-11,-31.27,42.01,-73.28,19.8
2023-09-11,-32.71,42.23,-74.94,18.35
2023-10-09,-39.52,36.77,-76.29,17.16
2023-11-06,-34.24,37.4,-71.64,21.24
2023-12-05,-32.81,43.51,-76.32,17.14
2024-01-04,-29.7,46.32,-76.02,17.4
2024-02-02,-32.02,54.14,-86.16,8.52
2024-03-04,-30.08,59.08,-89.16,5.89
2024-04-02,-26.8,60.46,-87.26,7.55
2024-04-30,-23.41,55.27,-78.68,15.07
2024-05-29,-20.99,62.08,-83.07,11.22
2024-06-27,-25.03,68.1,-93.13,2.41
2024-07-26,-20.09,66.24,-86.33,8.37
