Date,rate_FSLR,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-0.73,0.0,0.0
2022-01-05,-2.85,0.0,0.0
2022-01-06,-2.59,0.0,0.0
2022-01-07,-2.19,-1.672,0.0
2022-01-10,-2.41,-2.154,0.0
2022-01-11,-2.28,-2.464,0.0
2022-01-12,-2.56,-2.4059999999999997,0.0
2022-01-13,-3.71,-2.63,0.0
2022-01-14,-3.51,-2.894,0.0
2022-01-18,-4.81,-3.3739999999999997,0.0
2022-01-19,-4.92,-3.9019999999999997,0.0
2022-01-20,-4.82,-4.354,0.0
2022-01-21,-8.84,-5.38,0.0
2022-01-24,-7.88,-6.254,0.0
2022-01-25,-9.91,-7.274000000000001,0.0
2022-01-26,-9.47,-8.184000000000001,0.0
2022-01-27,-13.7,-9.959999999999999,0.0
2022-01-28,-12.48,-10.687999999999999,0.0
2022-01-31,-7.42,-10.596,-5.354
2022-02-01,-7.91,-10.196000000000002,-5.749499999999999
2022-02-02,-9.33,-10.168,-6.179499999999999
2022-02-03,-14.75,-10.378,-6.774500000000001
2022-02-04,-15.05,-10.892,-7.397499999999999
2022-02-07,-16.39,-12.686000000000002,-8.1075
2022-02-08,-15.65,-14.234,-8.7695
2022-02-09,-11.38,-14.644,-9.2245
2022-02-10,-14.72,-14.638000000000002,-9.8325
2022-02-11,-16.87,-15.002,-10.4905
2022-02-14,-18.09,-15.342000000000002,-11.2195
2022-02-15,-13.6,-14.932000000000002,-11.659
2022-02-16,-14.1,-15.475999999999999,-12.118
2022-02-17,-16.09,-15.75,-12.6815
2022-02-18,-17.7,-15.916,-13.124500000000001
2022-02-22,-20.86,-16.47,-13.773499999999999
2022-02-23,-21.96,-18.142000000000003,-14.376000000000001
2022-02-24,-17.15,-18.752000000000002,-14.76
2022-02-25,-15.25,-18.584,-14.8375
2022-02-28,-9.89,-17.022,-14.707999999999998
2022-03-01,-9.21,-14.692000000000002,-14.797500000000003
2022-03-02,-16.19,-13.538,-15.211500000000001
2022-03-03,-18.64,-13.836000000000002,-15.677000000000001
2022-03-04,-13.52,-13.49,-15.6155
2022-03-07,-9.92,-13.496,-15.359
2022-03-08,-4.63,-12.58,-14.771
2022-03-09,-5.37,-10.416,-14.257
2022-03-10,-8.17,-8.322,-14.0965
2022-03-11,-9.46,-7.51,-13.8335
2022-03-14,-13.44,-8.214,-13.662
2022-03-15,-9.92,-9.272,-13.253499999999999
2022-03-16,-6.8,-9.558,-12.913499999999999
2022-03-17,-6.06,-9.136000000000001,-12.5115
2022-03-18,-6.79,-8.602,-12.0465
2022-03-21,-7.04,-7.322,-11.5135
2022-03-22,-5.03,-6.343999999999999,-10.722
2022-03-23,-6.33,-6.25,-9.9405
2022-03-24,-4.49,-5.936,-9.307500000000001
2022-03-25,-4.35,-5.448,-8.7625
2022-03-28,0.93,-3.8540000000000005,-8.2215
2022-03-29,1.53,-2.5420000000000003,-7.684500000000002
2022-03-30,-1.64,-1.6039999999999999,-6.956999999999999
2022-03-31,0.51,-0.6039999999999999,-5.9995
2022-04-01,0.81,0.42800000000000005,-5.2829999999999995
2022-04-04,0.75,0.392,-4.7495
2022-04-05,-3.52,-0.618,-4.694
2022-04-06,-6.11,-1.512,-4.731
2022-04-07,-5.63,-2.7399999999999998,-4.604
2022-04-08,-6.72,-4.246,-4.467
2022-04-11,-5.25,-5.446,-4.057499999999999
2022-04-12,-4.97,-5.736,-3.8099999999999996
2022-04-13,-4.25,-5.364,-3.6825
2022-04-14,-6.13,-5.464,-3.686
2022-04-18,-5.49,-5.218,-3.621
2022-04-19,-5.41,-5.25,-3.5394999999999994
2022-04-20,-7.55,-5.766,-3.6655
2022-04-21,-10.54,-7.024000000000001,-3.876
2022-04-22,-12.99,-8.395999999999999,-4.301
2022-04-25,-12.9,-9.878,-4.7284999999999995
2022-04-26,-14.11,-11.618,-5.4805
2022-04-27,-13.27,-12.762,-6.2204999999999995
2022-04-28,-13.13,-13.279999999999998,-6.795
2022-04-29,-12.2,-13.122,-7.430499999999999
2022-05-02,-11.15,-12.772,-8.0285
2022-05-03,-9.41,-11.831999999999999,-8.5365
2022-05-04,-5.17,-10.212,-8.619
2022-05-05,-7.87,-9.16,-8.706999999999999
2022-05-06,-12.92,-9.304,-9.0715
2022-05-09,-17.51,-10.576000000000002,-9.611
2022-05-10,-18.31,-12.356,-10.264
2022-05-11,-25.3,-16.381999999999998,-11.2805
2022-05-12,-25.68,-19.944,-12.352
2022-05-13,-22.28,-21.816000000000003,-13.1595
2022-05-16,-24.05,-23.124000000000002,-14.0875
2022-05-17,-20.89,-23.64,-14.861499999999998
2022-05-18,-20.94,-22.768,-15.531
2022-05-19,-19.61,-21.554,-15.9845
2022-05-20,-20.45,-21.188,-16.357499999999998
2022-05-23,-20.1,-20.398000000000003,-16.7175
2022-05-24,-21.87,-20.594,-17.1055
2022-05-25,-20.12,-20.43,-17.448
2022-05-26,-17.67,-20.042,-17.675000000000004
2022-05-27,-12.94,-18.54,-17.712
2022-05-31,-14.62,-17.444,-17.8855
2022-06-01,-13.91,-15.852,-18.1105
2022-06-02,-9.9,-13.808000000000002,-18.347
2022-06-03,-9.07,-12.088,-18.407000000000004
2022-06-06,-12.61,-12.022,-18.3915
2022-06-07,-12.6,-11.617999999999999,-18.146
2022-06-08,-12.98,-11.431999999999999,-17.8795
2022-06-09,-15.23,-12.498000000000001,-17.375999999999998
2022-06-10,-17.44,-14.172,-16.964
2022-06-13,-23.33,-16.316,-17.0165
2022-06-14,-24.76,-18.747999999999998,-17.052
2022-06-15,-22.24,-20.6,-17.119500000000002
2022-06-16,-24.69,-22.492,-17.307000000000002
2022-06-17,-19.0,-22.804000000000002,-17.276500000000002
2022-06-21,-17.2,-21.578,-17.114
2022-06-22,-17.92,-20.21,-17.005000000000003
2022-06-23,-15.51,-18.864,-16.687
2022-06-24,-14.94,-16.913999999999998,-16.428
2022-06-27,-14.27,-15.967999999999998,-16.258
2022-06-28,-17.74,-16.076,-16.497999999999998
2022-06-29,-18.84,-16.259999999999998,-16.709
2022-06-30,-17.28,-16.613999999999997,-16.8775
2022-07-01,-16.79,-16.984,-17.222
2022-07-05,-19.05,-17.94,-17.720999999999997
2022-07-06,-19.14,-18.220000000000002,-18.047500000000003
2022-07-07,-13.72,-17.196,-18.1035
2022-07-08,-11.46,-16.032000000000004,-18.027499999999996
2022-07-11,-15.36,-15.746,-18.034
2022-07-12,-16.42,-15.219999999999999,-17.983
2022-07-13,-15.52,-14.496,-17.592499999999998
2022-07-14,-13.23,-14.398000000000001,-17.016
2022-07-15,-20.25,-16.156,-16.9165
2022-07-18,-18.13,-16.71,-16.5885
2022-07-19,-13.7,-16.166,-16.3235
2022-07-20,-10.87,-15.236,-16.006999999999998
2022-07-21,-10.53,-14.695999999999998,-15.6375
2022-07-22,-11.35,-12.916,-15.429499999999999
2022-07-25,-9.45,-11.18,-15.154999999999998
2022-07-26,-10.16,-10.472,-14.9495
2022-07-27,-6.28,-9.554,-14.376499999999998
2022-07-28,7.99,-5.85,-13.035000000000002
2022-07-29,20.97,0.6140000000000001,-11.122499999999999
2022-08-01,20.79,6.661999999999999,-9.243500000000001
2022-08-02,20.93,12.88,-7.2444999999999995
2022-08-03,19.85,18.106,-5.295
2022-08-04,20.6,20.627999999999997,-3.5790000000000006
2022-08-05,22.22,20.877999999999997,-1.895
2022-08-08,25.08,21.736,0.12699999999999995
2022-08-09,25.76,22.701999999999998,2.2359999999999998
2022-08-10,27.38,24.208,4.381
2022-08-11,27.4,25.567999999999998,6.4125
2022-08-12,28.41,26.806,8.8455
2022-08-15,28.48,27.486,11.175999999999998
2022-08-16,28.29,27.992,13.2755
2022-08-17,28.18,28.151999999999997,15.228
2022-08-18,28.42,28.356,17.1755
2022-08-19,28.04,28.282,19.145
2022-08-22,27.89,28.163999999999998,21.011999999999997
2022-08-23,27.85,28.076,22.9125
2022-08-24,30.25,28.49,24.738999999999997
2022-08-25,32.18,29.242,25.948500000000003
2022-08-26,32.22,30.077999999999996,26.511000000000003
2022-08-29,32.18,30.936,27.0805
2022-08-30,32.61,31.887999999999998,27.664499999999997
2022-08-31,36.24,33.086,28.484
2022-09-01,35.5,33.75,29.229000000000003
2022-09-02,34.54,34.214,29.845
2022-09-06,35.34,34.846,30.357999999999997
2022-09-07,41.58,36.64,31.149
2022-09-08,43.95,38.182,31.9775
2022-09-09,42.47,39.576,32.731
2022-09-12,43.31,41.33,33.476
2022-09-13,43.28,42.918,34.216
2022-09-14,42.32,43.065999999999995,34.917500000000004
2022-09-15,38.74,42.024,35.445499999999996
2022-09-16,42.37,42.004000000000005,36.143
2022-09-19,43.55,42.052,36.9185
2022-09-20,40.35,41.465999999999994,37.5415
2022-09-21,42.29,41.46,38.26350000000001
2022-09-22,39.03,41.518,38.7025
2022-09-23,37.39,40.522,38.963
2022-09-26,35.98,39.008,39.150999999999996
2022-09-27,39.9,38.91799999999999,39.537
2022-09-28,43.62,39.184,40.0875
2022-09-29,38.58,39.093999999999994,40.2045
2022-09-30,39.87,39.589999999999996,40.423
2022-10-03,42.93,40.98,40.8425
2022-10-04,48.39,42.678,41.495
2022-10-05,41.21,42.196,41.4765
2022-10-06,39.06,42.291999999999994,41.232
2022-10-07,36.82,41.681999999999995,40.9495
2022-10-10,38.21,40.738,40.694500000000005
2022-10-11,38.46,38.751999999999995,40.4535
2022-10-12,34.25,37.36,40.05
2022-10-13,33.92,36.33200000000001,39.809000000000005
2022-10-14,30.91,35.15,39.236000000000004
2022-10-17,26.09,32.726,38.363
2022-10-18,29.14,30.862000000000002,37.8025
2022-10-19,28.03,29.618000000000002,37.0895
2022-10-20,26.53,28.139999999999997,36.4645
2022-10-21,30.44,28.046,36.117000000000004
2022-10-24,32.42,29.312,35.939
2022-10-25,35.09,30.502,35.6985
2022-10-26,39.48,32.792,35.4915
2022-10-27,39.25,35.336,35.525
2022-10-28,40.79,37.406,35.571
2022-10-31,54.12,41.745999999999995,36.1305
2022-11-01,55.84,45.896,36.503
2022-11-02,57.36,49.471999999999994,37.310500000000005
2022-11-03,65.13,54.648,38.614
2022-11-04,60.96,58.681999999999995,39.821
2022-11-07,54.5,58.757999999999996,40.63549999999999
2022-11-08,54.51,58.492,41.438
2022-11-09,58.6,58.739999999999995,42.6555
2022-11-10,64.75,58.66399999999999,44.196999999999996
2022-11-11,57.83,58.03799999999999,45.543
2022-11-14,61.2,59.378,47.2985
2022-11-15,66.53,61.782,49.16799999999999
2022-11-16,65.6,63.181999999999995,51.046499999999995
2022-11-17,71.29,64.49,53.2845
2022-11-18,72.73,67.47,55.399
2022-11-21,71.66,69.56199999999998,57.36099999999999
2022-11-22,73.84,71.024,59.298500000000004
2022-11-23,75.59,73.02199999999999,61.104
2022-11-25,77.47,74.258,63.015
2022-11-28,71.88,74.088,64.56949999999999
