Date,rate_MU,rate_MU_5D,rate_MU_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.31,,,-0.02,,
2022-01-05,-0.7,,,-0.97,,
2022-01-06,-0.05,,,-1.04,,
2022-01-07,-0.68,-0.22400000000000003,,-1.21,-0.648,
2022-01-10,-0.97,-0.418,,-1.27,-0.9019999999999999,
2022-01-11,-0.72,-0.624,,-0.63,-1.024,
2022-01-12,-0.01,-0.48599999999999993,,-0.4,-0.9099999999999999,
2022-01-13,0.39,-0.398,,-1.43,-0.9879999999999999,
2022-01-14,1.75,0.088,,-1.41,-1.028,
2022-01-18,-1.77,-0.07199999999999998,,-2.7,-1.314,
2022-01-19,-4.02,-0.732,,-3.45,-1.8780000000000001,
2022-01-20,-7.88,-2.306,,-4.24,-2.646,
2022-01-21,-10.35,-4.454000000000001,,-5.63,-3.4859999999999998,
2022-01-24,-9.55,-6.714,,-5.34,-4.272,
2022-01-25,-11.63,-8.686000000000002,,-6.33,-4.998,
2022-01-26,-10.46,-9.974,,-6.51,-5.609999999999999,
2022-01-27,-13.5,-11.098000000000003,,-6.91,-6.144,
2022-01-28,-12.99,-11.626000000000001,,-4.96,-6.01,
2022-01-31,-10.18,-11.751999999999999,-4.6505,-3.46,-5.634,-2.8954999999999997
2022-02-01,-10.67,-11.56,-5.184,-2.79,-4.926,-3.035
2022-02-02,-7.67,-11.002,-5.583,-1.97,-4.018,-3.1325
2022-02-03,-10.16,-10.334,-6.056,-4.0,-3.436,-3.284
2022-02-04,-10.94,-9.924000000000001,-6.600499999999999,-3.6,-3.164,-3.4120000000000004
2022-02-07,-11.23,-10.134,-7.128,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-7.87,-9.574,-7.473000000000001,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-3.72,-8.784000000000002,-7.623,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-0.72,-6.896000000000001,-7.658500000000001,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-2.03,-5.114000000000001,-7.7795000000000005,-5.24,-3.504,-4.0409999999999995
2022-02-14,-1.92,-3.2520000000000002,-7.962999999999999,-5.53,-3.8340000000000005,-4.247
2022-02-15,4.59,-0.7600000000000001,-7.6450000000000005,-4.08,-4.0200000000000005,-4.316
2022-02-16,4.65,0.9139999999999997,-7.211499999999999,-3.98,-4.454,-4.3425
2022-02-17,2.18,1.4939999999999998,-6.708500000000001,-5.93,-4.952,-4.427
2022-02-18,-0.92,1.716,-6.237,-6.5,-5.204,-4.4704999999999995
2022-02-22,-1.17,1.866,-5.818,-7.48,-5.593999999999999,-4.5775
2022-02-23,-4.63,0.021999999999999707,-5.468,-9.06,-6.590000000000001,-4.714
2022-02-24,-3.01,-1.5100000000000002,-5.0954999999999995,-7.73,-7.340000000000001,-4.775
2022-02-25,-1.67,-2.2800000000000002,-4.504,-5.81,-7.316,-4.720000000000001
2022-02-28,-2.98,-2.6920000000000006,-4.003500000000001,-6.04,-7.224000000000001,-4.774
2022-03-01,-5.6,-3.5780000000000003,-3.7744999999999997,-7.18,-7.164,-4.96
2022-03-02,1.73,-2.306,-3.1544999999999996,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-2.56,-2.216,-2.899,-6.03,-6.128,-5.3025
2022-03-04,-10.12,-3.906,-2.897,-6.74,-6.314,-5.439500000000001
2022-03-07,-16.58,-6.6259999999999994,-3.179,-9.33,-6.9719999999999995,-5.726
2022-03-08,-15.02,-8.51,-3.3685,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-12.59,-11.374,-3.6044999999999994,-7.69,-7.954000000000001,-6.258
2022-03-10,-16.56,-14.174000000000001,-4.246499999999999,-8.09,-8.366,-6.572
2022-03-11,-19.65,-16.080000000000002,-5.193,-9.21,-8.86,-6.8605
2022-03-14,-23.3,-17.424,-6.2565,-9.84,-8.962,-7.0905000000000005
2022-03-15,-19.28,-18.276000000000003,-7.124499999999999,-7.92,-8.55,-7.210000000000001
2022-03-16,-12.18,-18.194,-7.962999999999999,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-11.26,-17.134,-8.7585,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-12.46,-15.696000000000002,-9.4905,-3.77,-6.45,-7.235000000000001
2022-03-21,-13.61,-13.758000000000001,-10.125,-3.77,-5.236,-7.0985
2022-03-22,-12.77,-12.456,-10.705,-2.68,-4.188,-6.858499999999999
2022-03-23,-16.55,-13.330000000000002,-11.301,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-13.76,-13.830000000000002,-11.8385,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-13.88,-14.114,-12.449000000000002,-2.35,-3.106,-6.182499999999999
2022-03-28,-11.96,-13.784000000000002,-12.898,-1.69,-2.69,-5.965000000000001
2022-03-29,-9.56,-13.142000000000001,-13.096,-0.48,-2.25,-5.63
2022-03-30,-12.73,-12.378000000000002,-13.818999999999999,-1.09,-1.688,-5.4055
2022-03-31,-14.12,-12.450000000000003,-14.397,-2.57,-1.636,-5.2325
2022-04-01,-15.52,-12.778000000000002,-14.667000000000002,-2.24,-1.614,-5.0075
2022-04-04,-13.94,-13.174000000000001,-14.535000000000002,-1.45,-1.566,-4.6135
2022-04-05,-17.25,-14.712,-14.646499999999998,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-18.15,-15.796000000000001,-14.9245,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-18.69,-16.71,-15.031,-3.1,-2.596,-3.79
