Date,rate_AMAT,rate_AMAT_5D,rate_AMAT_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.49,,,-0.02,,
2022-01-05,-1.92,,,-0.97,,
2022-01-06,-1.11,,,-1.04,,
2022-01-07,-2.83,-1.27,,-1.21,-0.648,
2022-01-10,-3.21,-1.9120000000000001,,-1.27,-0.9019999999999999,
2022-01-11,-1.84,-2.182,,-0.63,-1.024,
2022-01-12,1.55,-1.488,,-0.4,-0.9099999999999999,
2022-01-13,0.42,-1.182,,-1.43,-0.9879999999999999,
2022-01-14,5.11,0.40600000000000014,,-1.41,-1.028,
2022-01-18,-1.88,0.672,,-2.7,-1.314,
2022-01-19,-6.33,-0.2259999999999998,,-3.45,-1.8780000000000001,
2022-01-20,-8.2,-2.1759999999999997,,-4.24,-2.646,
2022-01-21,-10.16,-4.292,,-5.63,-3.4859999999999998,
2022-01-24,-8.13,-6.94,,-5.34,-4.272,
2022-01-25,-11.7,-8.904,,-6.33,-4.998,
2022-01-26,-10.23,-9.684000000000001,,-6.51,-5.609999999999999,
2022-01-27,-13.31,-10.706,,-6.91,-6.144,
2022-01-28,-12.01,-11.075999999999999,,-4.96,-6.01,
2022-01-31,-8.76,-11.202000000000002,-4.7515,-3.46,-5.634,-2.8954999999999997
2022-02-01,-8.23,-10.508,-5.163,-2.79,-4.926,-3.035
2022-02-02,-6.96,-9.854000000000001,-5.4865,-1.97,-4.018,-3.1325
2022-02-03,-9.48,-9.088,-5.8645000000000005,-4.0,-3.436,-3.284
2022-02-04,-10.04,-8.693999999999999,-6.311,-3.6,-3.164,-3.4120000000000004
2022-02-07,-9.7,-8.882,-6.6545000000000005,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-8.06,-8.848,-6.897,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-4.65,-8.386,-7.0375,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-7.43,-7.976000000000001,-7.486500000000001,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-11.98,-8.364,-8.1065,-5.24,-3.504,-4.0409999999999995
2022-02-14,-12.37,-8.898,-8.980500000000001,-5.53,-3.8340000000000005,-4.247
2022-02-15,-7.25,-8.736,-9.249,-4.08,-4.0200000000000005,-4.316
2022-02-16,-6.53,-9.112,-9.259,-3.98,-4.454,-4.3425
2022-02-17,-9.42,-9.51,-9.32,-5.93,-4.952,-4.427
2022-02-18,-11.42,-9.398,-9.383000000000001,-6.5,-5.204,-4.4704999999999995
2022-02-22,-13.4,-9.604000000000001,-9.6465,-7.48,-5.593999999999999,-4.5775
