Date,rate_DD_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,97.48
2019-03-01,-0.61,6.13,-6.74,86.74
2019-04-29,4.66,10.74,-6.08,87.79
2019-06-25,-3.16,9.75,-12.91,76.9
2019-08-21,-9.83,9.45,-19.28,66.75
2019-10-17,-11.53,11.38,-22.91,60.97
2019-12-13,-12.95,17.31,-30.26,49.25
2020-02-12,-27.01,23.26,-50.27,17.36
2020-04-09,-42.05,5.35,-47.4,21.93
2020-06-08,-17.46,21.76,-39.22,34.97
2020-08-04,-22.09,23.27,-45.36,25.18
2020-09-30,-19.79,22.35,-42.14,30.32
2020-11-25,-5.94,30.73,-36.67,39.03
2021-01-26,15.78,37.01,-21.23,63.64
2021-03-24,10.94,38.04,-27.1,54.29
2021-05-20,21.13,45.0,-23.87,59.44
2021-07-19,4.41,46.79,-42.38,29.93
2021-09-14,-1.27,49.47,-50.74,16.61
2021-11-09,16.65,55.69,-39.04,35.26
2022-01-06,17.66,54.19,-36.53,39.26
2022-03-07,-1.11,37.12,-38.23,36.55
2022-05-03,-4.96,34.96,-39.92,33.85
2022-06-30,-20.36,22.0,-42.36,29.96
2022-08-26,-15.67,30.79,-46.46,23.43
2022-10-24,-16.44,22.72,-39.16,35.07
2022-12-20,0.78,22.59,-21.81,62.72
2023-02-17,11.55,30.41,-18.86,67.42
2023-04-18,6.42,31.87,-25.45,56.92
2023-06-14,3.88,38.27,-34.39,42.67
2023-08-11,13.77,40.92,-27.15,54.21
2023-10-09,12.13,35.51,-23.38,60.22
2023-12-05,5.5,42.24,-36.74,38.92
2024-02-02,-7.21,52.79,-60.0,1.85
2024-04-02,14.08,59.09,-45.01,25.74
2024-05-29,20.44,60.75,-40.31,33.23
2024-07-26,18.45,64.89,-46.44,23.46
