Date,rate_ISRG_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,9.43
2019-03-01,7.19,4.45,2.74,12.16
2019-04-29,0.93,7.58,-6.65,2.8
2019-06-25,2.25,7.2,-4.95,4.5
2019-08-21,-0.25,7.24,-7.49,1.96
2019-10-17,3.4,8.87,-5.47,3.98
2019-12-13,9.94,13.19,-3.25,6.19
2020-02-12,11.65,18.03,-6.38,3.07
2020-04-09,5.89,3.89,2.0,11.43
2020-06-08,21.3,14.68,6.62,16.03
2020-08-04,37.04,16.26,20.78,30.15
2020-09-30,41.55,17.41,24.14,33.5
2020-11-25,44.47,24.05,20.42,29.79
2021-01-26,51.97,29.15,22.82,32.18
2021-03-24,41.82,30.35,11.47,20.87
2021-05-20,62.89,36.67,26.22,35.57
2021-07-19,80.15,38.99,41.16,50.47
2021-09-14,98.66,43.6,55.06,64.33
2021-11-09,107.92,49.14,58.78,68.04
2022-01-06,92.34,49.24,43.1,52.4
2022-03-07,70.76,37.68,33.08,42.41
2022-05-03,42.38,36.93,5.45,14.87
2022-06-30,22.94,27.61,-4.67,4.78
2022-08-26,28.33,34.27,-5.94,3.51
2022-10-24,33.11,27.92,5.19,14.61
2022-12-20,54.7,28.33,26.37,35.72
2023-02-17,42.8,34.71,8.09,17.5
2023-04-18,58.59,36.36,22.23,31.6
2023-06-14,86.56,41.83,44.73,54.03
2023-08-11,76.9,43.86,33.04,42.37
2023-10-09,71.7,40.69,31.01,40.35
2023-12-05,79.52,46.52,33.0,42.33
2024-02-02,118.13,55.53,62.6,71.84
2024-04-02,117.39,61.42,55.97,65.23
2024-05-29,125.73,63.18,62.55,71.79
2024-07-26,148.04,67.5,80.54,89.73
