Date,rate_BX_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,4.7
2019-03-01,-2.1,6.13,-8.23,0.0
2019-04-29,18.1,10.74,7.36,8.9
2019-06-25,25.16,9.75,15.41,13.5
2019-08-21,33.84,9.45,24.39,18.63
2019-10-17,27.74,11.38,16.36,14.05
2019-12-13,41.3,17.31,23.99,18.4
2020-02-12,62.89,23.26,39.63,27.34
2020-04-09,26.42,5.35,21.07,16.74
2020-06-08,51.04,21.76,29.28,21.42
2020-08-04,31.66,23.27,8.39,9.49
2020-09-30,30.14,22.35,7.79,9.15
2020-11-25,49.77,30.73,19.04,15.58
2021-01-26,58.68,37.01,21.67,17.08
2021-03-24,74.36,38.04,36.32,25.45
2021-05-20,111.78,45.0,66.78,42.84
2021-07-19,131.2,46.79,84.41,52.91
2021-09-14,184.35,49.47,134.88,81.74
2021-11-09,216.28,55.69,160.59,96.42
2022-01-06,152.56,54.19,98.37,60.89
2022-03-07,126.89,37.12,89.77,55.97
2022-05-03,120.26,34.96,85.3,53.42
2022-06-30,85.23,22.0,63.23,40.82
2022-08-26,100.27,30.79,69.48,44.39
2022-10-24,75.82,22.72,53.1,35.03
2022-12-20,47.31,22.59,24.72,18.82
2023-02-17,86.43,30.41,56.02,36.7
2023-04-18,80.53,31.87,48.66,32.49
2023-06-14,76.39,38.27,38.12,26.47
2023-08-11,94.41,40.92,53.49,35.25
2023-10-09,99.37,35.51,63.86,41.18
2023-12-05,116.83,42.24,74.59,47.3
2024-02-02,131.95,52.79,79.16,49.91
2024-04-02,132.76,59.09,73.67,46.78
2024-05-29,112.8,60.75,52.05,34.43
2024-07-26,157.21,64.89,92.32,57.43
