Date,rate_ROKU_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,0.11
2019-01-31,6.54,2.79,3.75,0.9
2019-03-01,41.65,5.82,35.83,7.68
2019-03-29,33.94,6.59,27.35,5.89
2019-04-29,33.41,10.42,22.99,4.97
2019-05-28,85.02,5.19,79.83,16.99
2019-06-25,91.55,9.51,82.04,17.46
2019-07-24,117.2,12.59,104.61,22.23
2019-08-21,158.5,8.26,150.24,31.88
2019-09-19,127.75,11.09,116.66,24.78
2019-10-17,133.82,10.2,123.62,26.25
2019-11-14,146.5,13.63,132.87,28.2
2019-12-13,116.66,16.06,100.6,21.38
2020-01-14,115.32,19.31,96.01,20.41
2020-02-12,120.51,22.17,98.34,20.9
2020-03-12,24.85,-7.39,32.24,6.92
2020-04-09,45.51,4.54,40.97,8.77
2020-05-08,96.9,9.68,87.22,18.55
2020-06-08,74.06,20.77,53.29,11.38
2020-07-07,98.85,16.81,82.04,17.46
2020-08-04,148.74,22.24,126.5,26.86
2020-09-01,157.17,26.62,130.55,27.71
2020-09-30,175.0,22.37,152.63,32.38
2020-10-28,203.3,18.79,184.51,39.12
2020-11-25,282.8,31.0,251.8,53.36
2020-12-24,384.0,32.65,351.35,74.41
2021-01-26,439.09,37.29,401.8,85.08
2021-02-24,446.58,39.48,407.1,86.2
2021-03-24,318.34,38.31,280.03,59.32
2021-04-22,353.6,44.93,308.67,65.38
2021-05-20,329.81,45.12,284.69,60.31
2021-06-18,365.15,44.74,320.41,67.86
2021-07-19,407.76,46.9,360.86,76.42
2021-08-16,438.99,52.69,386.3,81.8
2021-09-14,406.74,50.65,356.09,75.41
2021-10-12,403.16,46.96,356.2,75.43
2021-11-09,364.84,57.28,307.56,65.15
2021-12-08,340.81,57.14,283.67,60.09
2022-01-06,286.82,55.71,231.11,48.98
2022-02-04,255.27,48.73,206.54,43.78
2022-03-07,215.56,38.56,177.0,37.54
2022-04-04,229.8,50.04,179.76,38.12
2022-05-03,202.76,36.37,166.39,35.29
2022-06-01,189.69,33.73,155.96,33.09
2022-06-30,182.75,23.28,159.47,33.83
2022-07-29,166.73,34.14,132.59,28.15
2022-08-26,168.49,32.25,136.24,28.92
2022-09-26,158.44,20.34,138.1,29.31
2022-10-24,149.78,24.25,125.53,26.65
2022-11-21,150.48,29.08,121.4,25.78
2022-12-20,138.97,24.09,114.88,24.4
2023-01-20,145.94,28.72,117.22,24.89
2023-02-17,161.83,31.99,129.84,27.56
2023-03-20,150.88,27.76,123.12,26.14
2023-04-18,151.84,33.44,118.4,25.14
2023-05-16,138.13,31.79,106.34,22.59
2023-06-14,156.77,39.9,116.87,24.82
2023-07-14,155.66,43.27,112.39,23.87
2023-08-11,161.01,42.01,119.0,25.27
2023-09-11,162.61,42.23,120.38,25.56
2023-10-09,148.77,36.77,112.0,23.79
2023-11-06,158.57,37.4,121.17,25.73
2023-12-05,178.39,43.51,134.88,28.63
2024-01-04,159.41,46.32,113.09,24.02
2024-02-02,160.76,54.14,106.62,22.65
2024-03-04,131.38,59.08,72.3,15.4
2024-04-02,129.8,60.46,69.34,14.77
2024-04-30,124.55,55.27,69.28,14.76
2024-05-29,122.0,62.08,59.92,12.78
2024-06-27,123.46,68.1,55.36,11.81
2024-07-26,122.03,66.24,55.79,11.9
