Date,rate_PSA_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,66.61
2019-01-31,3.82,2.79,1.03,67.86
2019-03-01,4.47,5.82,-1.35,64.98
2019-03-29,6.78,6.59,0.19,66.84
2019-04-29,6.26,10.42,-4.16,61.59
2019-05-28,13.7,5.19,8.51,76.89
2019-06-25,15.65,9.51,6.14,74.03
2019-07-24,17.32,12.59,4.73,72.32
2019-08-21,23.4,8.26,15.14,84.89
2019-09-19,17.77,11.09,6.68,74.68
2019-10-17,12.88,10.2,2.68,69.85
2019-11-14,-0.01,13.63,-13.64,50.15
2019-12-13,-3.48,16.06,-19.54,43.03
2020-01-14,1.54,19.31,-17.77,45.17
2020-02-12,6.48,22.17,-15.69,47.68
2020-03-12,-5.5,-7.39,1.89,68.9
2020-04-09,-2.09,4.54,-6.63,58.61
2020-05-08,-10.25,9.68,-19.93,42.56
2020-06-08,-2.53,20.77,-23.3,38.49
2020-07-07,-8.07,16.81,-24.88,36.58
2020-08-04,-5.32,22.24,-27.56,33.35
2020-09-01,-1.45,26.62,-28.07,32.73
2020-09-30,2.15,22.37,-20.22,42.21
2020-10-28,5.76,18.79,-13.03,50.89
2020-11-25,2.11,31.0,-28.89,31.74
2020-12-24,4.57,32.65,-28.08,32.72
2021-01-26,4.1,37.29,-33.19,26.55
2021-02-24,10.69,39.48,-28.79,31.86
2021-03-24,9.89,38.31,-28.42,32.31
2021-04-22,25.58,44.93,-19.35,43.26
2021-05-20,26.38,45.12,-18.74,44.0
2021-06-18,33.48,44.74,-11.26,53.02
2021-07-19,37.25,46.9,-9.65,54.97
2021-08-16,39.83,52.69,-12.86,51.09
2021-09-14,37.77,50.65,-12.88,51.07
2021-10-12,35.1,46.96,-11.86,52.3
2021-11-09,40.33,57.28,-16.95,46.16
2021-12-08,47.49,57.14,-9.65,54.97
2022-01-06,55.89,55.71,0.18,66.83
2022-02-04,54.06,48.73,5.33,73.05
2022-03-07,58.83,38.56,20.27,91.08
2022-04-04,64.12,50.04,14.08,83.61
2022-05-03,48.35,36.37,11.98,81.07
2022-06-01,37.34,33.73,3.61,70.97
2022-06-30,29.97,23.28,6.69,74.69
2022-07-29,35.2,34.14,1.06,67.89
2022-08-26,39.95,32.25,7.7,75.91
2022-09-26,18.91,20.34,-1.43,64.89
2022-10-24,18.86,24.25,-5.39,60.11
2022-11-21,21.18,29.08,-7.9,57.08
2022-12-20,14.77,24.09,-9.32,55.37
2023-01-20,17.36,28.72,-11.36,52.9
2023-02-17,21.06,31.99,-10.93,53.42
2023-03-20,21.24,27.76,-6.52,58.74
2023-04-18,18.19,33.44,-15.25,48.21
2023-05-16,17.26,31.79,-14.53,49.08
2023-06-14,15.16,39.9,-24.74,36.75
2023-07-14,22.0,43.27,-21.27,40.94
2023-08-11,15.51,42.01,-26.5,34.63
2023-09-11,13.14,42.23,-29.09,31.5
2023-10-09,10.6,36.77,-26.17,35.03
2023-11-06,1.51,37.4,-35.89,23.3
2023-12-05,9.81,43.51,-33.7,25.94
2024-01-04,22.26,46.32,-24.06,37.57
2024-02-02,14.14,54.14,-40.0,18.33
2024-03-04,15.81,59.08,-43.27,14.39
2024-04-02,14.94,60.46,-45.52,11.67
2024-04-30,5.27,55.27,-50.0,6.26
2024-05-29,6.92,62.08,-55.16,0.04
2024-06-27,15.97,68.1,-52.13,3.69
2024-07-26,21.52,66.24,-44.72,12.64
