Date,rate_LLY_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,3.07
2019-03-01,8.07,4.45,3.62,3.82
2019-04-29,2.06,7.58,-5.52,1.93
2019-06-25,-0.69,7.2,-7.89,1.44
2019-08-21,-3.23,7.24,-10.47,0.91
2019-10-17,-5.18,8.87,-14.05,0.18
2019-12-13,3.32,13.19,-9.87,1.04
2020-02-12,17.6,18.03,-0.43,2.98
2020-04-09,19.05,3.89,15.16,6.19
2020-06-08,21.31,14.68,6.63,4.44
2020-08-04,24.97,16.26,8.71,4.86
2020-09-30,20.54,17.41,3.13,3.71
2020-11-25,18.41,24.05,-5.64,1.91
2021-01-26,62.59,29.15,33.44,9.96
2021-03-24,41.43,30.35,11.08,5.35
2021-05-20,54.02,36.67,17.35,6.64
2021-07-19,76.51,38.99,37.52,10.8
2021-09-14,75.83,43.6,32.23,9.71
2021-11-09,94.64,49.14,45.5,12.44
2022-01-06,92.89,49.24,43.65,12.06
2022-03-07,94.39,37.68,56.71,14.75
2022-05-03,111.57,36.93,74.64,18.45
2022-06-30,135.07,27.61,107.46,25.21
2022-08-26,129.44,34.27,95.17,22.68
2022-10-24,150.46,27.92,122.54,28.31
2022-12-20,158.09,28.33,129.76,29.8
2023-02-17,137.78,34.71,103.07,24.3
2023-04-18,164.76,36.36,128.4,29.52
2023-06-14,215.34,41.83,173.51,38.81
2023-08-11,267.7,43.86,223.84,49.18
2023-10-09,295.97,40.69,255.28,55.66
2023-12-05,306.62,46.52,260.1,56.65
2024-02-02,358.29,55.53,302.76,65.44
2024-04-02,420.9,61.42,359.48,77.13
2024-05-29,451.82,63.18,388.64,83.13
2024-07-26,447.33,67.5,379.83,81.32
