Date,rate_MCD_5D,rate_MCD_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-0.07,,-0.648,
2022-01-10,-0.22400000000000003,,-0.9019999999999999,
2022-01-11,-0.502,,-1.024,
2022-01-12,-0.798,,-0.9099999999999999,
2022-01-13,-1.1580000000000001,,-0.9879999999999999,
2022-01-14,-1.6260000000000001,,-1.028,
2022-01-18,-2.064,,-1.314,
2022-01-19,-2.446,,-1.8780000000000001,
2022-01-20,-2.8760000000000003,,-2.646,
2022-01-21,-3.254,,-3.4859999999999998,
2022-01-24,-3.482,,-4.272,
2022-01-25,-3.8340000000000005,,-4.998,
2022-01-26,-4.17,,-5.609999999999999,
2022-01-27,-4.462000000000001,,-6.144,
2022-01-28,-4.354,,-6.01,
2022-01-31,-3.972,-2.2875,-5.634,-2.8954999999999997
2022-02-01,-3.418,-2.3850000000000002,-4.926,-3.035
2022-02-02,-2.584,-2.4255000000000004,-4.018,-3.1325
2022-02-03,-1.7899999999999998,-2.4814999999999996,-3.436,-3.284
2022-02-04,-1.516,-2.5705,-3.164,-3.4120000000000004
2022-02-07,-1.4760000000000002,-2.6390000000000002,-3.2479999999999998,-3.5454999999999997
2022-02-08,-1.4,-2.6790000000000003,-3.3200000000000003,-3.6395000000000004
2022-02-09,-1.566,-2.6915,-3.2879999999999994,-3.6985000000000006
2022-02-10,-1.834,-2.7405,-3.1759999999999997,-3.8505000000000003
2022-02-11,-2.184,-2.827,-3.504,-4.0409999999999995
2022-02-14,-2.646,-2.894,-3.8340000000000005,-4.247
2022-02-15,-3.094,-2.9365,-4.0200000000000005,-4.316
2022-02-16,-3.5780000000000003,-2.9745,-4.454,-4.3425
2022-02-17,-4.006,-3.023,-4.952,-4.427
2022-02-18,-4.336,-3.0974999999999997,-5.204,-4.4704999999999995
2022-02-22,-4.388,-3.1205,-5.593999999999999,-4.5775
2022-02-23,-4.828,-3.185,-6.590000000000001,-4.714
2022-02-24,-5.417999999999999,-3.2865,-7.340000000000001,-4.775
2022-02-25,-5.526,-3.289,-7.316,-4.720000000000001
2022-02-28,-5.954,-3.4975,-7.224000000000001,-4.774
2022-03-01,-6.858,-3.8419999999999996,-7.164,-4.96
2022-03-02,-7.31,-4.1579999999999995,-6.467999999999999,-5.099500000000001
2022-03-03,-7.867999999999999,-4.6075,-6.128,-5.3025
2022-03-04,-8.809999999999999,-5.044,-6.314,-5.439500000000001
2022-03-07,-10.232000000000001,-5.6765,-6.9719999999999995,-5.726
2022-03-08,-11.443999999999999,-6.334,-7.531999999999999,-6.031000000000001
2022-03-09,-12.774000000000001,-7.0015,-7.954000000000001,-6.258
2022-03-10,-13.830000000000002,-7.6735,-8.366,-6.572
2022-03-11,-14.466,-8.202,-8.86,-6.8605
2022-03-14,-14.328,-8.7125,-8.962,-7.0905000000000005
2022-03-15,-13.597999999999999,-9.072,-8.55,-7.210000000000001
2022-03-16,-12.428,-9.335,-8.196000000000002,-7.302000000000001
2022-03-17,-11.274,-9.5975,-7.537999999999999,-7.343000000000001
2022-03-18,-10.37,-9.793,-6.45,-7.235000000000001
2022-03-21,-9.686000000000002,-10.05,-5.236,-7.0985
2022-03-22,-9.27,-10.2925,-4.188,-6.858499999999999
2022-03-23,-9.419999999999998,-10.483,-3.7840000000000003,-6.600500000000001
2022-03-24,-9.209999999999999,-10.5455,-3.3899999999999997,-6.3555
2022-03-25,-9.012,-10.6645,-3.106,-6.182499999999999
2022-03-28,-8.441999999999998,-10.672,-2.69,-5.965000000000001
2022-03-29,-7.69,-10.500499999999999,-2.25,-5.63
