Date,rate_PG,rate_PG_5D,rate_PG_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.17,,,-0.02,,
2022-01-05,0.4,,,-0.97,,
2022-01-06,-0.02,,,-1.04,,
2022-01-07,-0.05,0.1,,-1.21,-0.648,
2022-01-10,-0.73,-0.046,,-1.27,-0.9019999999999999,
2022-01-11,-1.59,-0.398,,-0.63,-1.024,
2022-01-12,-1.43,-0.764,,-0.4,-0.9099999999999999,
2022-01-13,-1.76,-1.1119999999999999,,-1.43,-0.9879999999999999,
2022-01-14,-1.06,-1.314,,-1.41,-1.028,
2022-01-18,-2.48,-1.6640000000000001,,-2.7,-1.314,
2022-01-19,-0.05,-1.3559999999999999,,-3.45,-1.8780000000000001,
2022-01-20,-0.05,-1.0799999999999998,,-4.24,-2.646,
2022-01-21,0.24,-0.6799999999999999,,-5.63,-3.4859999999999998,
2022-01-24,-0.37,-0.542,,-5.34,-4.272,
2022-01-25,-1.31,-0.30799999999999994,,-6.33,-4.998,
2022-01-26,-2.06,-0.71,,-6.51,-5.609999999999999,
2022-01-27,-1.53,-1.0059999999999998,,-6.91,-6.144,
2022-01-28,-0.8,-1.214,,-4.96,-6.01,
2022-01-31,-0.83,-1.3059999999999998,-0.7655000000000001,-3.46,-5.634,-2.8954999999999997
2022-02-01,-1.19,-1.2819999999999998,-0.825,-2.79,-4.926,-3.035
2022-02-02,0.4,-0.7899999999999999,-0.8135000000000001,-1.97,-4.018,-3.1325
2022-02-03,1.25,-0.23399999999999999,-0.771,-4.0,-3.436,-3.284
2022-02-04,-0.2,-0.11399999999999992,-0.78,-3.6,-3.164,-3.4120000000000004
2022-02-07,-0.87,-0.12199999999999996,-0.8210000000000001,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-1.08,-0.09999999999999998,-0.8385,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-1.29,-0.438,-0.8234999999999999,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-2.71,-1.23,-0.8875,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-3.23,-1.8359999999999999,-0.961,-5.24,-3.504,-4.0409999999999995
2022-02-14,-2.97,-2.2560000000000002,-1.0565000000000002,-5.53,-3.8340000000000005,-4.247
2022-02-15,-2.92,-2.624,-1.0785,-4.08,-4.0200000000000005,-4.316
2022-02-16,-2.2,-2.806,-1.186,-3.98,-4.454,-4.3425
2022-02-17,-1.11,-2.486,-1.239,-5.93,-4.952,-4.427
2022-02-18,-1.07,-2.054,-1.3045000000000002,-6.5,-5.204,-4.4704999999999995
2022-02-22,-2.25,-1.9100000000000001,-1.3985,-7.48,-5.593999999999999,-4.5775
2022-02-23,-3.43,-2.012,-1.5045000000000002,-9.06,-6.590000000000001,-4.714
2022-02-24,-5.96,-2.7640000000000002,-1.6995,-7.73,-7.340000000000001,-4.775
2022-02-25,-2.06,-2.9539999999999997,-1.7259999999999998,-5.81,-7.316,-4.720000000000001
2022-02-28,-3.48,-3.436,-1.86,-6.04,-7.224000000000001,-4.774
2022-03-01,-4.9,-3.9659999999999997,-2.0635000000000003,-7.18,-7.164,-4.96
2022-03-02,-4.61,-4.202,-2.2344999999999997,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-4.28,-3.8659999999999997,-2.4684999999999997,-6.03,-6.128,-5.3025
2022-03-04,-3.81,-4.216,-2.7215,-6.74,-6.314,-5.439500000000001
2022-03-07,-5.17,-4.554,-2.97,-9.33,-6.9719999999999995,-5.726
2022-03-08,-8.82,-5.337999999999999,-3.3674999999999997,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-7.63,-5.942,-3.6950000000000003,-7.69,-7.954000000000001,-6.258
2022-03-10,-9.94,-7.074,-4.1275,-8.09,-8.366,-6.572
2022-03-11,-10.97,-8.506,-4.5405,-9.21,-8.86,-6.8605
2022-03-14,-9.87,-9.446,-4.8725,-9.84,-8.962,-7.0905000000000005
2022-03-15,-6.68,-9.017999999999999,-5.058,-7.92,-8.55,-7.210000000000001
2022-03-16,-6.99,-8.89,-5.2615,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-6.71,-8.244000000000002,-5.487,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-6.76,-7.401999999999999,-5.7695,-3.77,-6.45,-7.235000000000001
2022-03-21,-6.41,-6.709999999999999,-6.0365,-3.77,-5.236,-7.0985
2022-03-22,-5.69,-6.5120000000000005,-6.2085,-2.68,-4.188,-6.858499999999999
2022-03-23,-6.35,-6.3839999999999995,-6.3545,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-6.19,-6.28,-6.366,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-5.11,-5.95,-6.5185,-2.35,-3.106,-6.182499999999999
2022-03-28,-4.47,-5.561999999999999,-6.5680000000000005,-1.69,-2.69,-5.965000000000001
2022-03-29,-3.49,-5.122,-6.4975,-0.48,-2.25,-5.63
2022-03-30,-4.15,-4.682,-6.474500000000001,-1.09,-1.688,-5.4055
2022-03-31,-5.13,-4.470000000000001,-6.517,-2.57,-1.636,-5.2325
2022-04-01,-3.61,-4.17,-6.507,-2.24,-1.614,-5.0075
2022-04-04,-4.21,-4.118,-6.4590000000000005,-1.45,-1.566,-4.6135
2022-04-05,-3.89,-4.1979999999999995,-6.2125,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-2.54,-3.8760000000000003,-5.958,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-1.31,-3.112,-5.5265,-3.1,-2.596,-3.79
2022-04-08,-0.55,-2.5000000000000004,-5.0055,-3.33,-2.814,-3.496
2022-04-11,-0.93,-1.844,-4.5585,-4.94,-3.5120000000000005,-3.2510000000000003
