Date,rate_COIN_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-800.0
2022-01-05,0.0,0.0,-242.27
2022-01-06,0.0,0.0,-223.08
2022-01-07,-2.11,0.0,-204.96
2022-01-10,-3.14,0.0,-303.94
2022-01-11,-3.38,0.0,-120.63
2022-01-12,-3.15,0.0,-442.5
2022-01-13,-3.31,0.0,-190.21
2022-01-14,-3.29,0.0,-155.32
2022-01-18,-3.47,0.0,-124.07
2022-01-19,-4.56,0.0,-97.68
2022-01-20,-5.36,0.0,-45.52
2022-01-21,-7.58,0.0,-170.87
2022-01-24,-9.94,0.0,-188.39
2022-01-25,-12.24,0.0,-177.73
2022-01-26,-14.92,0.0,-210.14
2022-01-27,-18.35,0.0,-237.77
2022-01-28,-19.42,0.0,-314.92
2022-01-31,-19.52,-2.9,-359.25
2022-02-01,-18.48,-3.04,-344.8
2022-02-02,-17.74,-3.13,-737.06
2022-02-03,-16.85,-3.28,-372.0
2022-02-04,-15.48,-3.41,-280.83
2022-02-07,-14.15,-3.55,-138.4
2022-02-08,-13.27,-3.64,-154.29
2022-02-09,-11.09,-3.7,-210.5
2022-02-10,-9.25,-3.85,-180.81
2022-02-11,-9.29,-4.04,-165.27
2022-02-14,-10.16,-4.25,-145.93
2022-02-15,-10.11,-4.32,-90.2
2022-02-16,-10.62,-4.34,-105.53
2022-02-17,-11.69,-4.43,-153.29
2022-02-18,-12.15,-4.47,-149.23
2022-02-22,-13.73,-4.58,-187.3
2022-02-23,-16.82,-4.71,-156.07
2022-02-24,-19.24,-4.78,-162.48
2022-02-25,-20.53,-4.72,-269.36
2022-02-28,-20.39,-4.77,-156.79
2022-03-01,-18.64,-4.96,-77.72
2022-03-02,-16.7,-5.1,-141.4
2022-03-03,-16.72,-5.3,-238.47
2022-03-04,-17.55,-5.44,-279.67
2022-03-07,-19.95,-5.73,-195.07
2022-03-08,-22.83,-6.03,-172.14
2022-03-09,-24.1,-6.26,-157.48
2022-03-10,-24.5,-6.57,-176.89
2022-03-11,-24.98,-6.86,-203.91
2022-03-14,-25.67,-7.09,-214.84
2022-03-15,-26.18,-7.21,-275.51
2022-03-16,-26.71,-7.3,-279.05
2022-03-17,-26.3,-7.34,-324.38
2022-03-18,-24.01,-7.24,-338.46
2022-03-21,-21.93,-7.1,-445.09
2022-03-22,-19.26,-6.86,-513.06
2022-03-23,-18.33,-6.6,-355.13
2022-03-24,-17.17,-6.36,-415.9
2022-03-25,-17.1,-6.18,-587.23
2022-03-28,-14.91,-5.97,-468.05
2022-03-29,-13.26,-5.63,-1610.42
2022-03-30,-12.05,-5.41,-973.39
2022-03-31,-12.08,-5.23,-473.54
2022-04-01,-11.96,-5.01,-594.64
2022-04-04,-12.75,-4.61,-833.79
2022-04-05,-15.09,-4.25,-659.54
2022-04-06,-17.64,-4.04,-584.87
2022-04-07,-19.64,-3.79,-697.74
2022-04-08,-21.93,-3.5,-712.01
2022-04-11,-25.25,-3.25,-510.32
2022-04-12,-27.66,-3.12,-504.73
2022-04-13,-28.72,-3.03,-603.07
2022-04-14,-30.39,-3.06,-515.83
2022-04-18,-31.78,-3.14,-535.7
2022-04-19,-32.01,-3.15,-706.19
2022-04-20,-32.25,-3.21,-738.73
2022-04-21,-33.8,-3.28,-602.62
2022-04-22,-35.21,-3.53,-410.31
2022-04-25,-36.11,-3.79,-422.39
2022-04-26,-38.27,-4.2,-323.12
2022-04-27,-40.48,-4.66,-354.06
2022-04-28,-41.8,-4.98,-486.57
2022-04-29,-43.5,-5.4,-348.94
2022-05-02,-44.49,-5.78,-334.83
2022-05-03,-44.56,-6.19,-341.27
2022-05-04,-43.62,-6.41,-464.81
2022-05-05,-44.12,-6.74,-360.32
2022-05-06,-44.67,-7.12,-381.26
2022-05-09,-48.07,-7.62,-350.11
2022-05-10,-52.64,-8.04,-393.87
2022-05-11,-59.58,-8.5,-408.71
2022-05-12,-64.64,-9.02,-391.53
2022-05-13,-67.9,-9.39,-433.52
2022-05-16,-69.91,-9.77,-442.65
2022-05-17,-70.18,-10.14,-489.99
2022-05-18,-69.32,-10.68,-374.98
2022-05-19,-68.49,-11.17,-344.07
2022-05-20,-68.64,-11.54,-348.59
2022-05-23,-68.23,-11.86,-400.22
2022-05-24,-69.04,-12.08,-394.54
2022-05-25,-68.65,-12.27,-399.85
2022-05-26,-68.42,-12.49,-459.14
2022-05-27,-67.55,-12.44,-555.89
2022-05-31,-66.42,-12.45,-511.79
2022-06-01,-65.36,-12.5,-511.51
2022-06-02,-64.35,-12.61,-594.04
2022-06-03,-64.3,-12.62,-532.19
2022-06-06,-64.36,-12.6,-527.78
2022-06-07,-64.8,-12.4,-591.06
2022-06-08,-64.75,-12.26,-528.16
2022-06-09,-65.75,-12.15,-446.3
2022-06-10,-66.55,-12.17,-371.33
2022-06-13,-68.41,-12.44,-306.79
2022-06-14,-70.2,-12.7,-303.49
2022-06-15,-71.61,-13.0,-320.31
2022-06-16,-72.88,-13.26,-274.13
2022-06-17,-73.63,-13.47,-277.68
2022-06-21,-73.08,-13.6,-300.79
