Date,rate_NVDA_5D,rate_NVDA_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-2.706,,-0.648,
2022-01-10,-3.6079999999999997,,-0.9019999999999999,
2022-01-11,-4.0200000000000005,,-1.024,
2022-01-12,-3.78,,-0.9099999999999999,
2022-01-13,-4.462,,-0.9879999999999999,
2022-01-14,-4.645999999999999,,-1.028,
2022-01-18,-5.4159999999999995,,-1.314,
2022-01-19,-6.828,,-1.8780000000000001,
2022-01-20,-8.806000000000001,,-2.646,
2022-01-21,-10.451999999999998,,-3.4859999999999998,
2022-01-24,-12.288,,-4.272,
2022-01-25,-14.238,,-4.998,
2022-01-26,-15.482,,-5.609999999999999,
2022-01-27,-16.767999999999997,,-6.144,
2022-01-28,-17.098,,-6.01,
2022-01-31,-16.406,-9.0115,-5.634,-2.8954999999999997
2022-02-01,-14.894,-9.539,-4.926,-3.035
2022-02-02,-13.268,-9.8995,-4.018,-3.1325
2022-02-03,-11.970000000000002,-10.331,-3.436,-3.284
2022-02-04,-10.986,-10.7495,-3.164,-3.4120000000000004
2022-02-07,-10.758000000000001,-11.0245,-3.2479999999999998,-3.5454999999999997
2022-02-08,-10.437999999999999,-11.246500000000001,-3.3200000000000003,-3.6395000000000004
2022-02-09,-9.412,-11.2475,-3.2879999999999994,-3.6985000000000006
2022-02-10,-8.15,-11.4235,-3.1759999999999997,-3.8505000000000003
2022-02-11,-8.42,-11.738999999999999,-3.504,-4.0409999999999995
2022-02-14,-8.738,-12.047500000000001,-3.8340000000000005,-4.247
2022-02-15,-7.741999999999999,-11.828,-4.0200000000000005,-4.316
2022-02-16,-7.8340000000000005,-11.498999999999999,-4.454,-4.3425
2022-02-17,-8.736,-11.406,-4.952,-4.427
2022-02-18,-8.959999999999999,-11.366,-5.204,-4.4704999999999995
2022-02-22,-9.58,-11.3705,-5.593999999999999,-4.5775
2022-02-23,-12.484,-11.3895,-6.590000000000001,-4.714
2022-02-24,-14.435999999999998,-11.2375,-7.340000000000001,-4.775
2022-02-25,-14.684000000000001,-10.885,-7.316,-4.720000000000001
2022-02-28,-14.157999999999998,-10.631,-7.224000000000001,-4.774
2022-03-01,-14.016,-10.773,-7.164,-4.96
2022-03-02,-12.65,-10.8285,-6.467999999999999,-5.099500000000001
2022-03-03,-12.597999999999999,-11.069999999999999,-6.128,-5.3025
2022-03-04,-13.374,-11.236,-6.314,-5.439500000000001
2022-03-07,-15.412,-11.7375,-6.9719999999999995,-5.726
2022-03-08,-16.772,-12.2765,-7.531999999999999,-6.031000000000001
2022-03-09,-17.578,-12.613499999999998,-7.954000000000001,-6.258
2022-03-10,-18.286,-13.288499999999999,-8.366,-6.572
2022-03-11,-18.852,-13.911499999999998,-8.86,-6.8605
2022-03-14,-18.868000000000002,-14.3495,-8.962,-7.0905000000000005
2022-03-15,-17.812,-14.545000000000002,-8.55,-7.210000000000001
2022-03-16,-16.724,-14.859,-8.196000000000002,-7.302000000000001
2022-03-17,-15.185999999999998,-15.126499999999998,-7.537999999999999,-7.343000000000001
2022-03-18,-12.029999999999998,-14.735,-6.45,-7.235000000000001
2022-03-21,-8.122,-14.139999999999997,-5.236,-7.0985
2022-03-22,-5.554,-13.538499999999999,-4.188,-6.858499999999999
2022-03-23,-4.736,-12.922,-3.7840000000000003,-6.600500000000001
2022-03-24,-2.284,-12.0885,-3.3899999999999997,-6.3555
2022-03-25,-1.384,-11.41,-3.106,-6.182499999999999
2022-03-28,-0.30399999999999994,-10.6765,-2.69,-5.965000000000001
2022-03-29,1.246,-9.723,-2.25,-5.63
