Date,rate_EQIX_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,33.61
2019-03-01,11.36,6.13,5.23,39.8
2019-04-29,14.96,10.74,4.22,38.6
2019-06-25,26.07,9.75,16.32,52.92
2019-08-21,33.45,9.45,24.0,62.01
2019-10-17,36.26,11.38,24.88,63.05
2019-12-13,30.1,17.31,12.79,48.75
2020-02-12,44.7,23.26,21.44,58.98
2020-04-09,57.2,5.35,51.85,94.97
2020-06-08,53.89,21.76,32.13,71.63
2020-08-04,76.31,23.27,53.04,96.38
2020-09-30,68.63,22.35,46.28,88.38
2020-11-25,51.79,30.73,21.06,58.53
2021-01-26,58.68,37.01,21.67,59.25
2021-03-24,41.55,38.04,3.51,37.76
2021-05-20,53.69,45.0,8.69,43.89
2021-07-19,73.17,46.79,26.38,64.83
2021-09-14,68.44,49.47,18.97,56.06
2021-11-09,59.34,55.69,3.65,37.93
2022-01-06,53.07,54.19,-1.12,32.28
2022-03-07,37.98,37.12,0.86,34.63
2022-05-03,40.31,34.96,5.35,39.94
2022-06-30,27.51,22.0,5.51,40.13
2022-08-26,30.72,30.79,-0.07,33.53
2022-10-24,4.75,22.72,-17.97,12.34
2022-12-20,27.8,22.59,5.21,39.78
2023-02-17,39.39,30.41,8.98,44.24
2023-04-18,36.37,31.87,4.5,38.93
2023-06-14,48.94,38.27,10.67,46.24
2023-08-11,49.26,40.92,8.34,43.48
2023-10-09,40.19,35.51,4.68,39.15
2023-12-05,56.19,42.24,13.95,50.12
2024-02-02,59.07,52.79,6.28,41.04
2024-04-02,48.51,59.09,-10.58,21.09
2024-05-29,42.08,60.75,-18.67,11.51
2024-07-26,43.51,64.89,-21.38,8.31
