Date,rate_EXPE_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,66.1
2019-03-01,4.27,4.45,-0.18,65.92
2019-04-29,7.33,7.58,-0.25,65.85
2019-06-25,7.18,7.2,-0.02,66.08
2019-08-21,7.92,7.24,0.68,66.78
2019-10-17,12.86,8.87,3.99,70.06
2019-12-13,-3.86,13.19,-17.05,49.18
2020-02-12,-5.02,18.03,-23.05,43.23
2020-04-09,-39.74,3.89,-43.63,22.8
2020-06-08,-15.12,14.68,-29.8,36.53
2020-08-04,-26.23,16.26,-42.49,23.94
2020-09-30,-16.91,17.41,-34.32,32.04
2020-11-25,7.65,24.05,-16.4,49.83
2021-01-26,14.14,29.15,-15.01,51.21
2021-03-24,41.16,30.35,10.81,76.83
2021-05-20,43.5,36.67,6.83,72.88
2021-07-19,29.85,38.99,-9.14,57.03
2021-09-14,29.04,43.6,-14.56,51.65
2021-11-09,58.21,49.14,9.07,75.1
2022-01-06,50.08,49.24,0.84,66.93
2022-03-07,34.04,37.68,-3.64,62.49
2022-05-03,28.81,36.93,-8.12,58.04
2022-06-30,-14.46,27.61,-42.07,24.35
2022-08-26,-7.77,34.27,-42.04,24.38
2022-10-24,-13.66,27.92,-41.58,24.84
2022-12-20,-21.65,28.33,-49.98,16.5
2023-02-17,-3.44,34.71,-38.15,28.24
2023-04-18,-13.91,36.36,-50.27,16.22
2023-06-14,-3.46,41.83,-45.29,21.16
2023-08-11,-1.43,43.86,-45.29,21.16
2023-10-09,-10.69,40.69,-51.38,15.11
2023-12-05,19.52,46.52,-27.0,39.31
2024-02-02,29.39,55.53,-26.14,40.16
2024-04-02,14.29,61.42,-47.13,19.33
2024-05-29,-2.41,63.18,-65.59,1.01
2024-07-26,9.75,67.5,-57.75,8.79
