Date,rate_NOC_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,51.84
2019-01-31,0.0,2.79,-2.79,48.76
2019-03-01,1.43,5.82,-4.39,46.99
2019-03-29,-3.95,6.59,-10.54,40.21
2019-04-29,1.84,10.42,-8.58,42.37
2019-05-28,9.49,5.19,4.3,56.58
2019-06-25,13.75,9.51,4.24,56.52
2019-07-24,20.97,12.59,8.38,61.09
2019-08-21,27.62,8.26,19.36,73.2
2019-09-19,29.5,11.09,18.41,72.16
2019-10-17,22.33,10.2,12.13,65.22
2019-11-14,21.71,13.63,8.08,60.75
2019-12-13,17.56,16.06,1.5,53.49
2020-01-14,27.01,19.31,7.7,60.34
2020-02-12,24.15,22.17,1.98,54.02
2020-03-12,-1.74,-7.39,5.65,58.07
2020-04-09,13.43,4.54,8.89,61.65
2020-05-08,10.22,9.68,0.54,52.43
2020-06-08,16.96,20.77,-3.81,47.63
2020-07-07,2.16,16.81,-14.65,35.67
2020-08-04,8.7,22.24,-13.54,36.89
2020-09-01,12.04,26.62,-14.58,35.75
2020-09-30,4.4,22.37,-17.97,32.01
2020-10-28,-2.81,18.79,-21.6,28.0
2020-11-25,3.29,31.0,-27.71,21.26
2020-12-24,-0.83,32.65,-33.48,14.89
2021-01-26,-2.91,37.29,-40.2,7.47
2021-02-24,-0.05,39.48,-39.53,8.21
2021-03-24,4.69,38.31,-33.62,14.73
2021-04-22,13.49,44.93,-31.44,17.14
2021-05-20,22.47,45.12,-22.65,26.84
2021-06-18,20.89,44.74,-23.85,25.52
2021-07-19,16.54,46.9,-30.36,18.33
2021-08-16,19.96,52.69,-32.73,15.72
2021-09-14,15.6,50.65,-35.05,13.16
2021-10-12,27.57,46.96,-19.39,30.44
2021-11-09,19.06,57.28,-38.22,9.66
2021-12-08,18.63,57.14,-38.51,9.34
2022-01-06,28.9,55.71,-26.81,22.25
2022-02-04,19.74,48.73,-28.99,19.84
2022-03-07,53.63,38.56,15.07,68.47
2022-04-04,44.88,50.04,-5.16,46.14
2022-05-03,43.93,36.37,7.56,60.18
2022-06-01,47.37,33.73,13.64,66.89
2022-06-30,51.87,23.28,28.59,83.39
2022-07-29,51.28,34.14,17.14,70.75
2022-08-26,51.53,32.25,19.28,73.12
2022-09-26,47.8,20.34,27.46,82.14
2022-10-24,63.39,24.25,39.14,95.03
2022-11-21,63.52,29.08,34.44,89.85
2022-12-20,63.18,24.09,39.09,94.98
2023-01-20,38.39,28.72,9.67,62.51
2023-02-17,43.93,31.99,11.94,65.01
2023-03-20,36.93,27.76,9.17,61.96
2023-04-18,45.54,33.44,12.1,65.19
2023-05-16,31.9,31.79,0.11,51.96
2023-06-14,35.19,39.9,-4.71,46.64
2023-07-14,35.57,43.27,-7.7,43.34
2023-08-11,29.79,42.01,-12.22,38.35
2023-09-11,27.89,42.23,-14.34,36.01
2023-10-09,41.28,36.77,4.51,56.81
2023-11-06,40.63,37.4,3.23,55.4
2023-12-05,41.83,43.51,-1.68,49.98
2024-01-04,39.95,46.32,-6.37,44.81
2024-02-02,32.18,54.14,-21.96,27.6
2024-03-04,35.76,59.08,-23.32,26.1
2024-04-02,37.2,60.46,-23.26,26.17
2024-04-30,42.03,55.27,-13.24,37.23
2024-05-29,30.78,62.08,-31.3,17.29
2024-06-27,27.16,68.1,-40.94,6.65
2024-07-26,40.02,66.24,-26.22,22.9
