Date,rate_SO_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,61.71
2019-01-31,5.8,2.79,3.01,66.3
2019-03-01,7.73,5.82,1.91,64.62
2019-03-29,11.09,6.59,4.5,68.57
2019-04-29,12.01,10.42,1.59,64.13
2019-05-28,14.37,5.19,9.18,75.69
2019-06-25,19.03,9.51,9.52,76.21
2019-07-24,17.83,12.59,5.24,69.69
2019-08-21,21.69,8.26,13.43,82.17
2019-09-19,26.29,11.09,15.2,84.86
2019-10-17,25.59,10.2,15.39,85.15
2019-11-14,27.65,13.63,14.02,83.06
2019-12-13,23.72,16.06,7.66,73.38
2020-01-14,31.45,19.31,12.14,80.2
2020-02-12,37.94,22.17,15.77,85.73
2020-03-12,4.63,-7.39,12.02,80.02
2020-04-09,20.65,4.54,16.11,86.25
2020-05-08,10.66,9.68,0.98,63.2
2020-06-08,19.96,20.77,-0.81,60.48
2020-07-07,4.89,16.81,-11.92,43.56
2020-08-04,7.93,22.24,-14.31,39.92
2020-09-01,4.27,26.62,-22.35,27.67
2020-09-30,8.59,22.37,-13.78,40.72
2020-10-28,16.4,18.79,-2.39,58.07
2020-11-25,21.03,31.0,-9.97,46.53
2020-12-24,18.49,32.65,-14.16,40.15
2021-01-26,17.93,37.29,-19.36,32.23
2021-02-24,15.03,39.48,-24.45,24.47
2021-03-24,19.29,38.31,-19.02,32.74
2021-04-22,27.51,44.93,-17.42,35.18
2021-05-20,25.0,45.12,-20.12,31.07
2021-06-18,19.52,44.74,-25.22,23.3
2021-07-19,21.79,46.9,-25.11,23.47
2021-08-16,27.03,52.69,-25.66,22.63
2021-09-14,25.96,50.65,-24.69,24.11
2021-10-12,18.73,46.96,-28.23,18.72
2021-11-09,20.8,57.28,-36.48,6.15
2021-12-08,23.11,57.14,-34.03,9.88
2022-01-06,29.14,55.71,-26.57,21.25
2022-02-04,29.91,48.73,-18.82,33.05
2022-03-07,31.0,38.56,-7.56,50.2
2022-04-04,37.63,50.04,-12.41,42.81
2022-05-03,37.02,36.37,0.65,62.7
2022-06-01,40.98,33.73,7.25,72.75
2022-06-30,33.08,23.28,9.8,76.64
2022-07-29,42.99,34.14,8.85,75.19
2022-08-26,43.72,32.25,11.47,79.18
2022-09-26,35.16,20.34,14.82,84.28
2022-10-24,19.73,24.25,-4.52,54.83
2022-11-21,21.58,29.08,-7.5,50.29
2022-12-20,28.14,24.09,4.05,67.88
2023-01-20,23.42,28.72,-5.3,53.64
2023-02-17,22.22,31.99,-9.77,46.83
2023-03-20,25.48,27.76,-2.28,58.24
2023-04-18,32.48,33.44,-0.96,60.25
2023-05-16,29.02,31.79,-2.77,57.49
2023-06-14,27.93,39.9,-11.97,43.48
2023-07-14,29.23,43.27,-14.04,40.33
2023-08-11,24.88,42.01,-17.13,35.62
2023-09-11,23.78,42.23,-18.45,33.61
2023-10-09,19.54,36.77,-17.23,35.47
2023-11-06,25.26,37.4,-12.14,43.22
2023-12-05,28.03,43.51,-15.48,38.14
2024-01-04,29.25,46.32,-17.07,35.71
2024-02-02,23.57,54.14,-30.57,15.15
2024-03-04,22.55,59.08,-36.53,6.08
2024-04-02,27.87,60.46,-32.59,12.08
2024-04-30,31.49,55.27,-23.78,25.49
2024-05-29,37.25,62.08,-24.83,23.9
2024-06-27,38.31,68.1,-29.79,16.34
2024-07-26,45.2,66.24,-21.04,29.67
