Date,rate_MS_5D,rate_MS_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,1.262,,-0.648,
2022-01-10,1.656,,-0.9019999999999999,
2022-01-11,1.9080000000000001,,-1.024,
2022-01-12,1.9940000000000002,,-0.9099999999999999,
2022-01-13,1.8319999999999996,,-0.9879999999999999,
2022-01-14,1.064,,-1.028,
2022-01-18,-0.43,,-1.314,
2022-01-19,-1.934,,-1.8780000000000001,
2022-01-20,-2.41,,-2.646,
2022-01-21,-2.9539999999999997,,-3.4859999999999998,
2022-01-24,-3.072,,-4.272,
2022-01-25,-2.306,,-4.998,
2022-01-26,-1.598,,-5.609999999999999,
2022-01-27,-1.326,,-6.144,
2022-01-28,-0.8,,-6.01,
2022-01-31,-0.02999999999999998,-0.194,-5.634,-2.8954999999999997
2022-02-01,0.818,-0.06550000000000003,-4.926,-3.035
2022-02-02,1.464,-0.040000000000000015,-4.018,-3.1325
2022-02-03,1.652,-0.02250000000000001,-3.436,-3.284
2022-02-04,2.052,0.03249999999999997,-3.164,-3.4120000000000004
2022-02-07,2.516,0.11949999999999998,-3.2479999999999998,-3.5454999999999997
2022-02-08,2.956,0.25949999999999995,-3.3200000000000003,-3.6395000000000004
2022-02-09,3.848,0.44499999999999995,-3.2879999999999994,-3.6985000000000006
2022-02-10,4.811999999999999,0.682,-3.1759999999999997,-3.8505000000000003
2022-02-11,4.890000000000001,0.7969999999999999,-3.504,-4.0409999999999995
2022-02-14,4.4,0.9535,-3.8340000000000005,-4.247
2022-02-15,3.8560000000000003,1.331,-4.0200000000000005,-4.316
2022-02-16,2.428,1.5355,-4.454,-4.3425
2022-02-17,0.2600000000000001,1.3495,-4.952,-4.427
2022-02-18,-1.486,1.1640000000000001,-5.204,-4.4704999999999995
2022-02-22,-2.9859999999999998,0.975,-5.593999999999999,-4.5775
2022-02-23,-4.882,0.6869999999999999,-6.590000000000001,-4.714
2022-02-24,-6.672,0.267,-7.340000000000001,-4.775
2022-02-25,-6.9799999999999995,-0.06400000000000002,-7.316,-4.720000000000001
2022-02-28,-7.878,-0.6054999999999999,-7.224000000000001,-4.774
2022-03-01,-9.169999999999998,-1.31,-7.164,-4.96
2022-03-02,-10.091999999999999,-2.0405,-6.467999999999999,-5.099500000000001
2022-03-03,-10.794,-2.7975,-6.128,-5.3025
2022-03-04,-12.288,-3.5490000000000004,-6.314,-5.439500000000001
2022-03-07,-13.6,-4.5184999999999995,-6.9719999999999995,-5.726
2022-03-08,-14.413999999999998,-5.5424999999999995,-7.531999999999999,-6.031000000000001
2022-03-09,-14.575999999999999,-6.4235,-7.954000000000001,-6.258
2022-03-10,-14.923999999999998,-7.4905,-8.366,-6.572
2022-03-11,-15.136,-8.536,-8.86,-6.8605
2022-03-14,-14.89,-9.4635,-8.962,-7.0905000000000005
2022-03-15,-14.301999999999998,-10.218,-8.55,-7.210000000000001
2022-03-16,-13.440000000000001,-10.747499999999999,-8.196000000000002,-7.302000000000001
2022-03-17,-11.867999999999999,-11.064499999999999,-7.537999999999999,-7.343000000000001
2022-03-18,-9.975999999999999,-11.095,-6.45,-7.235000000000001
2022-03-21,-8.428,-11.199,-5.236,-7.0985
2022-03-22,-6.878,-11.190999999999999,-4.188,-6.858499999999999
2022-03-23,-6.756,-11.216,-3.7840000000000003,-6.600500000000001
2022-03-24,-7.096000000000001,-11.1705,-3.3899999999999997,-6.3555
2022-03-25,-7.574000000000001,-11.243500000000001,-3.106,-6.182499999999999
2022-03-28,-7.837999999999999,-11.188999999999998,-2.69,-5.965000000000001
2022-03-29,-8.306000000000001,-10.975,-2.25,-5.63
