Date,rate_SBUX,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-1.04,0.0,0.0
2022-01-05,-2.67,0.0,0.0
2022-01-06,-2.37,0.0,0.0
2022-01-07,-3.9,-1.996,0.0
2022-01-10,-4.56,-2.908,0.0
2022-01-11,-5.87,-3.874,0.0
2022-01-12,-5.99,-4.537999999999999,0.0
2022-01-13,-6.96,-5.456,0.0
2022-01-14,-8.47,-6.37,0.0
2022-01-18,-10.05,-7.468000000000001,0.0
2022-01-19,-10.62,-8.418000000000001,0.0
2022-01-20,-11.39,-9.498,0.0
2022-01-21,-11.0,-10.306000000000001,0.0
2022-01-24,-9.81,-10.574,0.0
2022-01-25,-10.67,-10.698,0.0
2022-01-26,-11.8,-10.934000000000001,0.0
2022-01-27,-12.0,-11.056000000000001,0.0
2022-01-28,-10.51,-10.958000000000002,0.0
2022-01-31,-9.64,-10.924000000000001,-7.465999999999999
2022-02-01,-8.97,-10.584,-7.914499999999999
2022-02-02,-9.82,-10.188,-8.3535
2022-02-03,-11.3,-10.047999999999998,-8.785
2022-02-04,-12.07,-10.36,-9.27
2022-02-07,-11.92,-10.815999999999999,-9.671000000000001
2022-02-08,-12.15,-11.452000000000002,-10.050500000000001
2022-02-09,-10.22,-11.532,-10.268
2022-02-10,-11.81,-11.634,-10.559000000000001
2022-02-11,-13.19,-11.858,-10.870500000000002
2022-02-14,-13.26,-12.126000000000001,-11.11
2022-02-15,-12.49,-12.194,-11.232000000000001
2022-02-16,-11.89,-12.528,-11.2955
2022-02-17,-13.8,-12.925999999999998,-11.416
2022-02-18,-13.54,-12.996,-11.543
2022-02-22,-13.75,-13.094,-11.74
2022-02-23,-16.85,-13.966,-12.049000000000001
2022-02-24,-15.63,-14.713999999999999,-12.2405
2022-02-25,-14.22,-14.798000000000002,-12.3515
2022-02-28,-14.93,-15.075999999999999,-12.5725
2022-03-01,-15.93,-15.512,-12.887
2022-03-02,-13.61,-14.863999999999999,-13.119
2022-03-03,-14.71,-14.680000000000001,-13.363499999999998
2022-03-04,-16.03,-15.042000000000002,-13.6
2022-03-07,-20.95,-16.246000000000002,-14.044
2022-03-08,-21.36,-17.332,-14.516
2022-03-09,-18.1,-18.23,-14.813500000000001
2022-03-10,-18.5,-18.988,-15.227500000000001
2022-03-11,-22.51,-20.284,-15.7625
2022-03-14,-25.63,-21.22,-16.3845
2022-03-15,-22.1,-21.368000000000002,-16.826500000000003
2022-03-16,-18.15,-21.378,-17.1095
2022-03-17,-17.92,-21.262,-17.411
2022-03-18,-16.13,-19.986,-17.5275
2022-03-21,-18.65,-18.59,-17.782999999999998
2022-03-22,-17.7,-17.71,-17.9805
2022-03-23,-19.25,-17.93,-18.1005
2022-03-24,-18.41,-18.028,-18.2395
2022-03-25,-18.11,-18.424,-18.434
2022-03-28,-17.25,-18.144,-18.55
2022-03-29,-14.6,-17.523999999999997,-18.4835
2022-03-30,-14.78,-16.63,-18.542
2022-03-31,-14.84,-15.916,-18.548499999999997
2022-04-01,-13.93,-15.080000000000002,-18.4435
2022-04-04,-17.0,-15.030000000000001,-18.246000000000002
2022-04-05,-20.66,-16.241999999999997,-18.211000000000002
2022-04-06,-21.36,-17.558,-18.374
2022-04-07,-21.58,-18.906,-18.528
2022-04-08,-23.05,-20.73,-18.555
2022-04-11,-23.83,-22.095999999999997,-18.465
2022-04-12,-24.66,-22.896,-18.592999999999996
2022-04-13,-23.61,-23.346,-18.866
2022-04-14,-24.93,-24.016,-19.2165
2022-04-18,-24.83,-24.372,-19.6515
2022-04-19,-23.32,-24.270000000000003,-19.884999999999998
2022-04-20,-24.3,-24.198,-20.215
2022-04-21,-25.43,-24.562,-20.524
2022-04-22,-26.4,-24.856,-20.923499999999997
2022-04-25,-26.34,-25.158,-21.335
2022-04-26,-28.54,-26.201999999999998,-21.899499999999996
2022-04-27,-29.38,-27.218,-22.6385
2022-04-28,-27.65,-27.662,-23.282
2022-04-29,-29.47,-28.276,-24.0135
2022-05-02,-27.97,-28.601999999999997,-24.7155
2022-05-03,-28.94,-28.682,-25.3125
2022-05-04,-22.12,-27.23,-25.3855
2022-05-05,-26.0,-26.9,-25.6175
2022-05-06,-26.89,-26.384000000000004,-25.883
2022-05-09,-29.72,-26.734,-26.216500000000003
2022-05-10,-31.26,-27.198,-26.588
2022-05-11,-32.95,-29.363999999999997,-27.002499999999998
2022-05-12,-33.11,-30.786,-27.4775
2022-05-13,-27.73,-30.954,-27.6175
2022-05-16,-30.73,-31.156,-27.9125
2022-05-17,-29.5,-30.804000000000002,-28.2215
2022-05-18,-31.81,-30.576,-28.597
2022-05-19,-31.19,-30.192,-28.884999999999998
2022-05-20,-29.81,-30.607999999999997,-29.055500000000002
2022-05-23,-29.78,-30.418,-29.227500000000003
2022-05-24,-30.45,-30.608000000000004,-29.322999999999997
2022-05-25,-30.67,-30.380000000000003,-29.3875
2022-05-26,-28.76,-29.894,-29.443
2022-05-27,-26.65,-29.262,-29.302
2022-05-31,-24.95,-28.296000000000003,-29.151000000000003
2022-06-01,-26.31,-27.468,-29.0195
2022-06-02,-23.35,-26.004,-29.081
2022-06-03,-23.7,-24.991999999999997,-28.965999999999998
2022-06-06,-23.77,-24.416,-28.810000000000002
2022-06-07,-23.3,-24.086000000000002,-28.488999999999997
2022-06-08,-24.26,-23.676,-28.139
2022-06-09,-23.84,-23.774,-27.6835
2022-06-10,-26.95,-24.424,-27.3755
2022-06-13,-30.13,-25.696000000000005,-27.495500000000003
2022-06-14,-30.18,-27.071999999999996,-27.468
2022-06-15,-28.37,-27.894,-27.4115
2022-06-16,-31.48,-29.422000000000004,-27.395
2022-06-17,-30.6,-30.151999999999997,-27.365500000000004
2022-06-21,-29.55,-30.036,-27.3525
2022-06-22,-29.23,-29.845999999999997,-27.325
2022-06-23,-27.4,-29.651999999999997,-27.172500000000003
2022-06-24,-24.61,-28.278,-26.8695
2022-06-27,-25.02,-27.162,-26.682499999999997
2022-06-28,-26.31,-26.514,-26.665499999999998
2022-06-29,-26.22,-25.912,-26.729000000000003
2022-06-30,-26.26,-25.683999999999997,-26.726499999999998
2022-07-01,-22.87,-25.336000000000002,-26.702499999999997
2022-07-05,-22.62,-24.856,-26.648500000000002
2022-07-06,-23.25,-24.244,-26.622500000000002
2022-07-07,-22.89,-23.578,-26.601999999999997
2022-07-08,-22.85,-22.896,-26.5315
2022-07-11,-24.18,-23.158,-26.5485
2022-07-12,-24.31,-23.496000000000002,-26.416500000000003
2022-07-13,-24.16,-23.678,-26.118000000000002
2022-07-14,-23.89,-23.878,-25.803500000000003
2022-07-15,-22.52,-23.812,-25.511
2022-07-18,-21.93,-23.362000000000002,-25.0335
2022-07-19,-19.68,-22.436,-24.4875
2022-07-20,-18.99,-21.402,-23.9595
2022-07-21,-18.73,-20.369999999999997,-23.4345
2022-07-22,-18.68,-19.601999999999997,-22.9985
2022-07-25,-20.7,-19.356,-22.803
2022-07-26,-21.85,-19.79,-22.6445
2022-07-27,-19.29,-19.85,-22.2935
2022-07-28,-17.64,-19.632,-21.8645
2022-07-29,-17.53,-19.402,-21.428
2022-08-01,-16.95,-18.651999999999997,-21.131999999999998
2022-08-02,-17.81,-17.844,-20.8915
2022-08-03,-15.24,-17.034,-20.491
2022-08-04,-15.52,-16.61,-20.1225
2022-08-05,-16.35,-16.374000000000002,-19.797500000000003
2022-08-08,-16.36,-16.256,-19.4065
2022-08-09,-16.95,-16.084,-19.038500000000003
2022-08-10,-15.85,-16.206,-18.622999999999998
2022-08-11,-15.33,-16.168,-18.195
2022-08-12,-14.63,-15.824000000000002,-17.800500000000003
2022-08-15,-14.07,-15.366,-17.407500000000002
2022-08-16,-13.91,-14.758,-17.119
2022-08-17,-14.59,-14.506,-16.899
2022-08-18,-14.46,-14.332000000000003,-16.685499999999998
2022-08-19,-15.52,-14.51,-16.527499999999996
2022-08-22,-16.8,-15.056000000000001,-16.3325
2022-08-23,-16.96,-15.666,-16.088
2022-08-24,-16.08,-15.963999999999999,-15.9275
2022-08-25,-15.21,-16.113999999999997,-15.806000000000001
2022-08-26,-17.37,-16.484,-15.797999999999998
2022-08-29,-17.33,-16.59,-15.816999999999998
2022-08-30,-17.8,-16.758000000000003,-15.8165
2022-08-31,-17.37,-17.016000000000002,-15.922999999999998
2022-09-01,-16.08,-17.19,-15.950999999999999
2022-09-02,-17.64,-17.244,-16.0155
2022-09-06,-16.63,-17.104,-16.029000000000003
2022-09-07,-13.57,-16.258,-15.86
2022-09-08,-12.54,-15.291999999999998,-15.6945
2022-09-09,-13.23,-14.722,-15.589500000000001
2022-09-12,-12.89,-13.772,-15.502499999999998
2022-09-13,-14.04,-13.254,-15.501
2022-09-14,-9.5,-12.440000000000001,-15.2805
2022-09-15,-9.95,-11.922,-15.048499999999999
2022-09-16,-10.8,-11.435999999999998,-14.8655
2022-09-19,-10.02,-10.861999999999998,-14.5905
2022-09-20,-11.31,-10.315999999999999,-14.315999999999999
2022-09-21,-13.4,-11.096,-14.138000000000002
2022-09-22,-17.11,-12.528,-14.189499999999999
2022-09-23,-17.62,-13.892000000000001,-14.309999999999999
2022-09-26,-17.01,-15.290000000000001,-14.292000000000002
2022-09-27,-17.52,-16.532,-14.3015
2022-09-28,-14.79,-16.81,-14.151
2022-09-29,-15.31,-16.45,-14.047999999999998
2022-09-30,-17.54,-16.434,-14.121
2022-10-03,-15.82,-16.195999999999998,-14.029999999999998
2022-10-04,-13.05,-15.302000000000001,-13.850999999999999
2022-10-05,-11.51,-14.645999999999997,-13.748
2022-10-06,-12.25,-14.034,-13.733500000000001
2022-10-07,-14.47,-13.419999999999998,-13.7955
2022-10-10,-14.44,-13.144,-13.873000000000001
2022-10-11,-15.27,-13.588,-13.9345
2022-10-12,-14.63,-14.212,-14.190999999999999
2022-10-13,-12.21,-14.203999999999999,-14.303999999999998
2022-10-14,-15.11,-14.331999999999999,-14.519499999999999
2022-10-17,-12.66,-13.975999999999999,-14.651500000000002
2022-10-18,-12.6,-13.441999999999998,-14.716
2022-10-19,-14.01,-13.318000000000001,-14.746499999999997
