Date,rate_GILD_5D,rate_GILD_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-0.42400000000000004,,-0.648,
2022-01-10,-0.492,,-0.9019999999999999,
2022-01-11,-0.45200000000000007,,-1.024,
2022-01-12,-0.43000000000000005,,-0.9099999999999999,
2022-01-13,-0.404,,-0.9879999999999999,
2022-01-14,-0.35600000000000004,,-1.028,
2022-01-18,-0.6980000000000001,,-1.314,
2022-01-19,-1.3780000000000001,,-1.8780000000000001,
2022-01-20,-2.294,,-2.646,
2022-01-21,-2.9899999999999998,,-3.4859999999999998,
2022-01-24,-3.65,,-4.272,
2022-01-25,-3.968,,-4.998,
2022-01-26,-4.37,,-5.609999999999999,
2022-01-27,-4.5280000000000005,,-6.144,
2022-01-28,-4.446,,-6.01,
2022-01-31,-4.418,-2.212,-5.634,-2.8954999999999997
2022-02-01,-4.486,-2.411,-4.926,-3.035
2022-02-02,-4.859999999999999,-2.7649999999999997,-4.018,-3.1325
2022-02-03,-5.326,-3.1445,-3.436,-3.284
2022-02-04,-6.552,-3.5980000000000003,-3.164,-3.4120000000000004
2022-02-07,-7.772,-4.049,-3.2479999999999998,-3.5454999999999997
2022-02-08,-8.977999999999998,-4.532500000000001,-3.3200000000000003,-3.6395000000000004
2022-02-09,-9.6,-5.0520000000000005,-3.2879999999999994,-3.6985000000000006
2022-02-10,-10.538,-5.6715,-3.1759999999999997,-3.8505000000000003
2022-02-11,-11.026,-6.253500000000001,-3.504,-4.0409999999999995
2022-02-14,-11.734,-6.8935,-3.8340000000000005,-4.247
2022-02-15,-12.366,-7.449499999999999,-4.0200000000000005,-4.316
2022-02-16,-12.756,-7.8965000000000005,-4.454,-4.3425
2022-02-17,-12.89,-8.3205,-4.952,-4.427
2022-02-18,-13.164000000000001,-8.797,-5.204,-4.4704999999999995
2022-02-22,-13.2,-9.281,-5.593999999999999,-4.5775
2022-02-23,-13.193999999999999,-9.756,-6.590000000000001,-4.714
2022-02-24,-13.547999999999998,-10.191,-7.340000000000001,-4.775
2022-02-25,-13.594,-10.587,-7.316,-4.720000000000001
2022-02-28,-13.772,-11.1285,-7.224000000000001,-4.774
2022-03-01,-13.882,-11.647,-7.164,-4.96
2022-03-02,-13.830000000000002,-12.092,-6.467999999999999,-5.099500000000001
2022-03-03,-13.446000000000002,-12.3375,-6.128,-5.3025
2022-03-04,-13.162,-12.546,-6.314,-5.439500000000001
2022-03-07,-13.112,-12.7685,-6.9719999999999995,-5.726
2022-03-08,-13.312000000000001,-13.032,-7.531999999999999,-6.031000000000001
2022-03-09,-13.925999999999998,-13.328999999999999,-7.954000000000001,-6.258
2022-03-10,-14.966,-13.678999999999998,-8.366,-6.572
2022-03-11,-16.024,-13.9175,-8.86,-6.8605
2022-03-14,-16.61,-14.1645,-8.962,-7.0905000000000005
2022-03-15,-16.948,-14.335500000000001,-8.55,-7.210000000000001
2022-03-16,-17.234,-14.546000000000001,-8.196000000000002,-7.302000000000001
2022-03-17,-16.875999999999998,-14.709,-7.537999999999999,-7.343000000000001
2022-03-18,-16.478,-14.8145,-6.45,-7.235000000000001
2022-03-21,-16.054,-14.887,-5.236,-7.0985
2022-03-22,-15.588,-14.932500000000001,-4.188,-6.858499999999999
2022-03-23,-15.342000000000002,-15.082999999999998,-3.7840000000000003,-6.600500000000001
2022-03-24,-15.36,-15.162,-3.3899999999999997,-6.3555
2022-03-25,-15.506,-15.292499999999999,-3.106,-6.182499999999999
2022-03-28,-15.64,-15.354,-2.69,-5.965000000000001
2022-03-29,-15.484,-15.333000000000002,-2.25,-5.63
