Date,rate_BMY,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,0.2,0.0,0.0
2022-01-05,0.23,0.0,0.0
2022-01-06,-0.32,0.0,0.0
2022-01-07,0.76,0.174,0.0
2022-01-10,2.59,0.692,0.0
2022-01-11,2.9,1.232,0.0
2022-01-12,2.37,1.6600000000000001,0.0
2022-01-13,2.19,2.162,0.0
2022-01-14,2.46,2.5020000000000002,0.0
2022-01-18,2.42,2.468,0.0
2022-01-19,2.29,2.346,0.0
2022-01-20,2.17,2.306,0.0
2022-01-21,1.34,2.136,0.0
2022-01-24,0.59,1.7619999999999998,0.0
2022-01-25,0.41,1.3599999999999999,0.0
2022-01-26,0.14,0.93,0.0
2022-01-27,2.09,0.914,0.0
2022-01-28,3.36,1.318,0.0
2022-01-31,3.33,1.866,1.576
2022-02-01,3.63,2.5100000000000002,1.7574999999999998
2022-02-02,3.11,3.104,1.9029999999999998
2022-02-03,2.12,3.11,1.9975
2022-02-04,3.36,3.1100000000000003,2.1815
2022-02-07,4.99,3.442,2.393
2022-02-08,4.58,3.632,2.4925
2022-02-09,6.27,4.264,2.661
2022-02-10,5.42,4.9239999999999995,2.8135000000000003
2022-02-11,5.92,5.436,3.0
2022-02-14,5.83,5.604,3.1685
2022-02-15,7.23,6.1339999999999995,3.4090000000000003
2022-02-16,6.98,6.276,3.6434999999999995
2022-02-17,6.68,6.5280000000000005,3.8689999999999998
2022-02-18,6.91,6.726000000000001,4.1475
2022-02-22,6.76,6.912000000000001,4.456
2022-02-23,7.47,6.959999999999999,4.809
2022-02-24,6.25,6.814,5.1145000000000005
2022-02-25,8.74,7.226000000000001,5.447
2022-02-28,8.55,7.554,5.7065
2022-03-01,8.24,7.85,5.952
2022-03-02,8.52,8.059999999999999,6.1964999999999995
2022-03-03,8.85,8.58,6.483499999999999
2022-03-04,9.17,8.666,6.836
2022-03-07,8.42,8.64,7.089
2022-03-08,6.96,8.384,7.1875
2022-03-09,7.51,8.182,7.3340000000000005
2022-03-10,7.92,7.996,7.416499999999999
2022-03-11,8.56,7.8740000000000006,7.5735
2022-03-14,9.09,8.008,7.732000000000001
2022-03-15,9.74,8.564,7.9275
2022-03-16,9.63,8.988,8.047500000000001
2022-03-17,10.73,9.55,8.235
2022-03-18,11.37,10.111999999999998,8.4695
2022-03-21,11.41,10.576,8.6945
2022-03-22,11.11,10.85,8.912
2022-03-23,11.83,11.290000000000001,9.129999999999999
2022-03-24,13.15,11.774,9.475
2022-03-25,14.27,12.354000000000001,9.7515
2022-03-28,14.05,12.882,10.0265
2022-03-29,14.22,13.504,10.3255
2022-03-30,14.92,14.122,10.6455
2022-03-31,13.94,14.280000000000001,10.9
2022-04-01,14.62,14.35,11.172500000000001
2022-04-04,14.58,14.456,11.4805
2022-04-05,15.38,14.687999999999999,11.9015
2022-04-06,16.52,15.008,12.352
2022-04-07,18.94,16.008000000000003,12.903
2022-04-08,19.58,17.0,13.453999999999999
2022-04-11,17.98,17.68,13.898500000000002
2022-04-12,18.05,18.214000000000002,14.314000000000002
2022-04-13,18.5,18.610000000000003,14.757500000000002
2022-04-14,19.39,18.7,15.1905
2022-04-18,18.33,18.45,15.538499999999999
2022-04-19,17.89,18.432000000000002,15.8625
2022-04-20,19.0,18.622,16.257
2022-04-21,19.35,18.791999999999998,16.633
2022-04-22,17.07,18.328,16.829
2022-04-25,17.45,18.151999999999997,16.988
2022-04-26,16.81,17.936,17.125999999999998
2022-04-27,17.12,17.56,17.270999999999997
2022-04-28,19.06,17.502000000000002,17.478
2022-04-29,16.36,17.36,17.599
2022-05-02,15.63,16.996,17.6495
2022-05-03,15.59,16.752000000000002,17.7
2022-05-04,17.42,16.812,17.802
