Date,rate_LULU,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-0.85,0.0,0.0
2022-01-05,-3.16,0.0,0.0
2022-01-06,-2.36,0.0,0.0
2022-01-07,-4.07,-2.088,0.0
2022-01-10,-4.92,-3.072,0.0
2022-01-11,-5.25,-3.9520000000000004,0.0
2022-01-12,-4.08,-4.136,0.0
2022-01-13,-7.32,-5.128,0.0
2022-01-14,-8.76,-6.066000000000001,0.0
2022-01-18,-8.06,-6.694,0.0
2022-01-19,-8.37,-7.3180000000000005,0.0
2022-01-20,-10.03,-8.508,0.0
2022-01-21,-11.9,-9.424000000000001,0.0
2022-01-24,-10.21,-9.713999999999999,0.0
2022-01-25,-13.21,-10.744,0.0
2022-01-26,-14.64,-11.998,0.0
2022-01-27,-13.75,-12.742,0.0
2022-01-28,-11.55,-12.672,0.0
2022-01-31,-7.36,-12.102,-7.4925
2022-02-01,-4.36,-10.331999999999999,-7.710500000000001
2022-02-02,-3.3,-8.064,-7.833
2022-02-03,-7.97,-6.9079999999999995,-8.0735
2022-02-04,-6.48,-5.894,-8.2795
2022-02-07,-7.51,-5.924,-8.4515
2022-02-08,-6.94,-6.4399999999999995,-8.552499999999998
2022-02-09,-5.58,-6.896000000000001,-8.568999999999999
2022-02-10,-6.95,-6.692,-8.7125
2022-02-11,-11.54,-7.703999999999999,-8.9235
2022-02-14,-12.34,-8.67,-9.1025
2022-02-15,-11.13,-9.508000000000001,-9.256
2022-02-16,-10.62,-10.516,-9.368500000000001
2022-02-17,-13.31,-11.788,-9.5325
2022-02-18,-13.67,-12.214,-9.621
2022-02-22,-14.77,-12.7,-9.849
2022-02-23,-17.27,-13.928,-10.052
2022-02-24,-13.22,-14.447999999999999,-9.981
2022-02-25,-11.28,-14.041999999999998,-9.8575
2022-02-28,-10.65,-13.437999999999999,-9.8125
2022-03-01,-11.58,-12.8,-10.0235
2022-03-02,-7.65,-10.876000000000001,-10.187999999999999
2022-03-03,-9.56,-10.144,-10.501000000000001
2022-03-04,-10.16,-9.92,-10.6105
2022-03-07,-14.96,-10.782,-11.0345
2022-03-08,-16.55,-11.776,-11.486500000000001
2022-03-09,-14.03,-13.052000000000001,-11.841000000000001
2022-03-10,-15.14,-14.168000000000001,-12.318999999999999
2022-03-11,-17.91,-15.718,-12.867
2022-03-14,-18.53,-16.432,-13.216500000000002
2022-03-15,-18.35,-16.792,-13.517000000000001
2022-03-16,-14.16,-16.818,-13.6685
2022-03-17,-13.47,-16.484,-13.811000000000002
2022-03-18,-10.9,-15.081999999999999,-13.6905
2022-03-21,-13.3,-14.036000000000001,-13.672
2022-03-22,-11.42,-12.65,-13.504500000000002
2022-03-23,-12.69,-12.356,-13.2755
2022-03-24,-10.67,-11.796,-13.148000000000001
2022-03-25,-9.74,-11.564,-13.071000000000002
2022-03-28,-6.8,-10.264,-12.878499999999999
2022-03-29,-3.44,-8.668000000000001,-12.4715
2022-03-30,5.65,-5.0,-11.806500000000002
2022-03-31,2.42,-2.382,-11.2075
2022-04-01,2.94,0.154,-10.5525
2022-04-04,7.42,2.998,-9.4335
2022-04-05,6.01,4.888,-8.305499999999999
2022-04-06,4.07,4.572,-7.400499999999999
2022-04-07,6.08,5.304,-6.3395
2022-04-08,3.43,5.401999999999999,-5.2725
2022-04-11,3.23,4.564,-4.184500000000001
2022-04-12,4.95,4.352,-3.0195
2022-04-13,9.33,5.404,-1.8450000000000002
2022-04-14,8.35,5.858,-0.754
2022-04-18,7.6,6.692,0.1709999999999999
2022-04-19,11.89,8.424000000000001,1.4304999999999999
2022-04-20,7.06,8.846,2.3545000000000003
2022-04-21,5.01,7.981999999999999,3.2394999999999996
2022-04-22,1.6,6.632,3.853
2022-04-25,2.71,5.654,4.475499999999999
2022-04-26,-1.38,3.0,4.746499999999999
2022-04-27,-0.99,1.3900000000000001,4.869000000000001
2022-04-28,1.22,0.632,4.6475
2022-04-29,-0.83,0.14600000000000002,4.485
2022-05-02,0.78,-0.24,4.377
2022-05-03,-0.59,-0.082,3.9765
2022-05-04,1.8,0.476,3.7660000000000005
2022-05-05,-3.81,-0.5299999999999999,3.372
2022-05-06,-10.88,-2.54,2.524
2022-05-09,-17.37,-6.17,1.484
2022-05-10,-14.79,-9.01,0.5829999999999999
2022-05-11,-17.75,-12.919999999999998,-0.5520000000000002
2022-05-12,-17.01,-15.560000000000002,-1.8690000000000004
2022-05-13,-12.82,-15.948000000000002,-2.9274999999999998
2022-05-16,-14.23,-15.320000000000002,-4.019
2022-05-17,-13.86,-15.134,-5.306500000000001
2022-05-18,-23.01,-16.186,-6.81
2022-05-19,-23.37,-17.458000000000002,-8.229000000000001
2022-05-20,-22.59,-19.412,-9.438500000000001
2022-05-23,-22.92,-21.15,-10.72
2022-05-24,-27.17,-23.812,-12.0095
2022-05-25,-26.3,-24.470000000000002,-13.275
2022-05-26,-18.86,-23.568,-14.279
2022-05-27,-17.14,-22.478,-15.0945
2022-05-31,-17.41,-21.375999999999998,-16.004
2022-06-01,-17.66,-19.474,-16.857499999999998
2022-06-02,-14.21,-17.056,-17.658
2022-06-03,-14.71,-16.226,-18.203
2022-06-06,-14.48,-15.693999999999999,-18.383000000000003
2022-06-07,-13.21,-14.854000000000003,-18.175
2022-06-08,-12.78,-13.878,-18.0745
2022-06-09,-14.29,-13.894,-17.9015
2022-06-10,-17.26,-14.404000000000002,-17.914
2022-06-13,-20.86,-15.680000000000001,-18.316
2022-06-14,-20.33,-17.103999999999996,-18.621000000000002
2022-06-15,-18.88,-18.324,-18.872000000000003
2022-06-16,-22.87,-20.04,-18.865000000000002
2022-06-17,-20.99,-20.786,-18.746
2022-06-21,-21.45,-20.903999999999996,-18.689
2022-06-22,-21.06,-21.05,-18.596
2022-06-23,-18.71,-21.016,-18.173
2022-06-24,-16.77,-19.796,-17.6965
2022-06-27,-18.4,-19.278,-17.6735
2022-06-28,-20.87,-19.162,-17.860000000000003
2022-06-29,-19.64,-18.878,-17.9715
2022-06-30,-22.51,-19.637999999999998,-18.214
2022-07-01,-24.39,-21.162,-18.723
2022-07-05,-18.94,-21.27,-18.9345
2022-07-06,-19.84,-21.064,-19.2025
2022-07-07,-16.94,-20.524,-19.389000000000003
2022-07-08,-16.19,-19.26,-19.5595
2022-07-11,-19.45,-18.272,-19.817500000000003
2022-07-12,-20.11,-18.506,-19.96
2022-07-13,-19.67,-18.472,-19.9005
2022-07-14,-20.22,-19.128,-19.895
2022-07-15,-18.15,-19.52,-19.8585
2022-07-18,-18.64,-19.358,-19.647
2022-07-19,-15.37,-18.41,-19.366000000000003
2022-07-20,-13.56,-17.188,-18.9715
2022-07-21,-12.28,-15.6,-18.5325
2022-07-22,-13.08,-14.585999999999999,-18.250999999999998
2022-07-25,-13.97,-13.651999999999997,-18.111
2022-07-26,-18.99,-14.376,-18.1405
2022-07-27,-15.58,-14.779999999999998,-17.875999999999998
2022-07-28,-13.26,-14.975999999999999,-17.557
2022-07-29,-11.4,-14.64,-17.0015
2022-08-01,-11.23,-14.091999999999999,-16.3435
2022-08-02,-12.13,-12.72,-16.003
2022-08-03,-10.12,-11.628,-15.517
2022-08-04,-9.9,-10.956,-15.165000000000001
2022-08-05,-9.61,-10.597999999999999,-14.835999999999999
2022-08-08,-9.94,-10.34,-14.360499999999998
2022-08-09,-11.81,-10.276,-13.9455
2022-08-10,-9.35,-10.122,-13.429499999999999
