Date,rate_XEL_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,76.1
2019-03-01,10.08,6.13,3.95,80.1
2019-04-29,10.79,10.74,0.05,76.15
2019-06-25,20.98,9.75,11.23,87.46
2019-08-21,21.72,9.45,12.27,88.52
2019-10-17,19.49,11.38,8.11,84.31
2019-12-13,16.08,17.31,-1.23,74.86
2020-02-12,27.59,23.26,4.33,80.48
2020-04-09,21.79,5.35,16.44,92.73
2020-06-08,22.28,21.76,0.52,76.63
2020-08-04,26.28,23.27,3.01,79.15
2020-09-30,26.63,22.35,4.28,80.43
2020-11-25,24.55,30.73,-6.18,69.85
2021-01-26,19.59,37.01,-17.42,58.47
2021-03-24,18.75,38.04,-19.29,56.58
2021-05-20,28.69,45.0,-16.31,59.6
2021-07-19,21.99,46.79,-24.8,51.01
2021-09-14,17.28,49.47,-32.19,43.53
2021-11-09,12.58,55.69,-43.11,32.48
2022-01-06,20.7,54.19,-33.49,42.21
2022-03-07,25.0,37.12,-12.12,63.84
2022-05-03,25.51,34.96,-9.45,66.54
2022-06-30,22.73,22.0,0.73,76.84
2022-08-26,28.78,30.79,-2.01,74.07
2022-10-24,9.12,22.72,-13.6,62.34
2022-12-20,22.6,22.59,0.01,76.11
2023-02-17,19.42,30.41,-10.99,64.98
2023-04-18,22.08,31.87,-9.79,66.19
2023-06-14,9.01,38.27,-29.26,46.49
2023-08-11,5.67,40.92,-35.25,40.43
2023-10-09,4.04,35.51,-31.47,44.26
2023-12-05,9.9,42.24,-32.34,43.38
2024-02-02,7.48,52.79,-45.31,30.25
2024-04-02,-2.66,59.09,-61.75,13.62
2024-05-29,-4.03,60.75,-64.78,10.55
2024-07-26,3.33,64.89,-61.56,13.81
