Date,rate_BKR_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,64.6
2019-01-31,1.35,2.79,-1.44,63.16
2019-03-01,13.22,5.82,7.4,72.0
2019-03-29,15.83,6.59,9.24,73.84
2019-04-29,8.19,10.42,-2.23,62.37
2019-05-28,-7.5,5.19,-12.69,51.91
2019-06-25,2.87,9.51,-6.64,57.96
2019-07-24,3.75,12.59,-8.84,55.76
2019-08-21,-8.07,8.26,-16.33,48.26
2019-09-19,-1.48,11.09,-12.57,52.03
2019-10-17,-6.11,10.2,-16.31,48.28
2019-11-14,-6.79,13.63,-20.42,44.17
2019-12-13,0.75,16.06,-15.31,49.28
2020-01-14,2.21,19.31,-17.1,47.49
2020-02-12,-5.49,22.17,-27.66,36.93
2020-03-12,-53.52,-7.39,-46.13,18.46
2020-04-09,-43.09,4.54,-47.63,16.96
2020-05-08,-32.84,9.68,-42.52,22.07
2020-06-08,-14.29,20.77,-35.06,29.53
2020-07-07,-30.83,16.81,-47.64,16.95
2020-08-04,-26.49,22.24,-48.73,15.85
2020-09-01,-32.85,26.62,-59.47,5.11
2020-09-30,-36.02,22.37,-58.39,6.19
2020-10-28,-33.29,18.79,-52.08,12.5
2020-11-25,-3.37,31.0,-34.37,30.22
2020-12-24,2.52,32.65,-30.13,34.46
2021-01-26,0.5,37.29,-36.79,27.8
2021-02-24,22.48,39.48,-17.0,47.59
2021-03-24,7.2,38.31,-31.11,33.48
2021-04-22,-3.73,44.93,-48.66,15.92
2021-05-20,23.04,45.12,-22.08,42.51
2021-06-18,9.5,44.74,-35.24,29.35
2021-07-19,-5.17,46.9,-52.07,12.51
2021-08-16,2.1,52.69,-50.59,13.99
2021-09-14,12.64,50.65,-38.01,26.58
2021-10-12,19.01,46.96,-27.95,36.64
2021-11-09,16.56,57.28,-40.72,23.87
2021-12-08,14.85,57.14,-42.29,22.3
2022-01-06,19.21,55.71,-36.5,28.09
2022-02-04,21.8,48.73,-26.93,37.66
2022-03-07,58.3,38.56,19.74,84.35
2022-04-04,64.81,50.04,14.77,79.37
2022-05-03,41.96,36.37,5.59,70.19
2022-06-01,67.59,33.73,33.86,98.47
2022-06-30,29.36,23.28,6.08,70.68
2022-07-29,14.8,34.14,-19.34,45.25
2022-08-26,14.38,32.25,-17.87,46.72
2022-09-26,-8.53,20.34,-28.87,35.72
2022-10-24,16.66,24.25,-7.59,57.01
2022-11-21,27.78,29.08,-1.3,63.3
2022-12-20,28.32,24.09,4.23,68.83
2023-01-20,37.48,28.72,8.76,73.36
2023-02-17,34.88,31.99,2.89,67.49
2023-03-20,18.49,27.76,-9.27,55.33
2023-04-18,29.32,33.44,-4.12,60.48
2023-05-16,20.01,31.79,-11.78,52.82
2023-06-14,30.6,39.9,-9.3,55.3
2023-07-14,49.3,43.27,6.03,70.63
2023-08-11,53.69,42.01,11.68,76.28
2023-09-11,56.14,42.23,13.91,78.51
2023-10-09,47.43,36.77,10.66,75.26
2023-11-06,47.48,37.4,10.08,74.68
2023-12-05,38.02,43.51,-5.49,59.11
2024-01-04,39.45,46.32,-6.87,57.73
2024-02-02,21.36,54.14,-32.78,31.81
2024-03-04,22.95,59.08,-36.13,28.46
2024-04-02,39.84,60.46,-20.62,43.97
2024-04-30,35.8,55.27,-19.47,45.12
2024-05-29,32.58,62.08,-29.5,35.09
2024-06-27,42.52,68.1,-25.58,39.01
2024-07-26,55.39,66.24,-10.85,53.75
