Date,rate_DIS_5D,rate_DIS_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-0.09000000000000001,,-0.648,
2022-01-10,-0.10000000000000002,,-0.9019999999999999,
2022-01-11,0.07999999999999997,,-1.024,
2022-01-12,0.284,,-0.9099999999999999,
2022-01-13,0.15399999999999997,,-0.9879999999999999,
2022-01-14,-0.37,,-1.028,
2022-01-18,-0.784,,-1.314,
2022-01-19,-1.528,,-1.8780000000000001,
2022-01-20,-2.5,,-2.646,
2022-01-21,-4.226000000000001,,-3.4859999999999998,
2022-01-24,-5.609999999999999,,-4.272,
2022-01-25,-7.134,,-4.998,
2022-01-26,-8.782,,-5.609999999999999,
2022-01-27,-9.986,,-6.144,
2022-01-28,-9.846,,-6.01,
2022-01-31,-9.222,-3.8229999999999995,-5.634,-2.8954999999999997
2022-02-01,-8.274,-4.0729999999999995,-4.926,-3.035
2022-02-02,-7.215999999999999,-4.3615,-4.018,-3.1325
2022-02-03,-6.667999999999999,-4.717499999999999,-3.436,-3.284
2022-02-04,-6.25,-5.042,-3.164,-3.4120000000000004
2022-02-07,-6.266,-5.367,-3.2479999999999998,-3.5454999999999997
2022-02-08,-6.502,-5.6735,-3.3200000000000003,-3.6395000000000004
2022-02-09,-5.928,-5.8635,-3.2879999999999994,-3.6985000000000006
2022-02-10,-4.436,-5.8975,-3.1759999999999997,-3.8505000000000003
2022-02-11,-3.5140000000000002,-5.9590000000000005,-3.504,-4.0409999999999995
2022-02-14,-2.478,-5.894,-3.8340000000000005,-4.247
2022-02-15,-0.944,-5.7135,-4.0200000000000005,-4.316
2022-02-16,0.2079999999999999,-5.4295,-4.454,-4.3425
2022-02-17,0.31199999999999994,-5.1945,-4.952,-4.427
2022-02-18,0.5499999999999998,-4.765,-5.204,-4.4704999999999995
2022-02-22,0.19799999999999987,-4.442,-5.593999999999999,-4.5775
2022-02-23,-0.9320000000000002,-4.162999999999999,-6.590000000000001,-4.714
2022-02-24,-1.8180000000000003,-3.6885,-7.340000000000001,-4.775
2022-02-25,-2.2540000000000004,-3.2614999999999994,-7.316,-4.720000000000001
2022-02-28,-2.624,-2.9595000000000002,-7.224000000000001,-4.774
2022-03-01,-2.908,-2.8634999999999997,-7.164,-4.96
2022-03-02,-2.702,-2.77,-6.467999999999999,-5.099500000000001
2022-03-03,-3.17,-2.677,-6.128,-5.3025
2022-03-04,-4.262,-2.66,-6.314,-5.439500000000001
2022-03-07,-6.122,-2.9274999999999998,-6.9719999999999995,-5.726
2022-03-08,-7.874,-3.2655000000000003,-7.531999999999999,-6.031000000000001
2022-03-09,-9.588,-3.5415,-7.954000000000001,-6.258
2022-03-10,-11.082,-3.9655,-8.366,-6.572
2022-03-11,-12.209999999999999,-4.6034999999999995,-8.86,-6.8605
2022-03-14,-12.784,-5.244999999999999,-8.962,-7.0905000000000005
2022-03-15,-12.462,-5.7615,-8.55,-7.210000000000001
2022-03-16,-11.872,-6.2735,-8.196000000000002,-7.302000000000001
2022-03-17,-11.106,-6.794,-7.537999999999999,-7.343000000000001
2022-03-18,-9.989999999999998,-7.178999999999999,-6.45,-7.235000000000001
2022-03-21,-8.742,-7.5680000000000005,-5.236,-7.0985
2022-03-22,-7.9719999999999995,-7.804,-4.188,-6.858499999999999
2022-03-23,-8.038,-8.05,-3.7840000000000003,-6.600500000000001
2022-03-24,-8.104,-8.3655,-3.3899999999999997,-6.3555
2022-03-25,-8.254,-8.679,-3.106,-6.182499999999999
2022-03-28,-8.242,-8.9725,-2.69,-5.965000000000001
2022-03-29,-7.946,-9.063500000000001,-2.25,-5.63
