Date,rate_VCR_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-1000.0
2022-01-05,0.0,0.0,-68.04
2022-01-06,0.0,0.0,-65.38
2022-01-07,-1.22,0.0,-107.44
2022-01-10,-1.79,0.0,-126.77
2022-01-11,-2.15,0.0,-217.46
2022-01-12,-2.17,0.0,-340.0
2022-01-13,-2.44,0.0,-114.69
2022-01-14,-2.65,0.0,-151.77
2022-01-18,-3.09,0.0,-87.04
2022-01-19,-3.92,0.0,-78.26
2022-01-20,-5.07,0.0,-77.59
2022-01-21,-6.33,0.0,-66.61
2022-01-24,-7.26,0.0,-53.75
2022-01-25,-8.16,0.0,-50.71
2022-01-26,-8.96,0.0,-56.07
2022-01-27,-9.81,0.0,-70.19
2022-01-28,-9.96,0.0,-104.23
2022-01-31,-9.76,-2.9,-108.38
2022-02-01,-9.12,-3.04,-127.24
2022-02-02,-8.46,-3.13,-249.24
2022-02-03,-8.01,-3.28,-137.25
2022-02-04,-7.44,-3.41,-101.94
2022-02-07,-7.47,-3.55,-89.95
2022-02-08,-7.38,-3.64,-86.35
2022-02-09,-6.93,-3.7,-155.8
2022-02-10,-6.25,-3.85,-77.62
2022-02-11,-6.49,-4.04,-62.02
2022-02-14,-6.66,-4.25,-47.92
2022-02-15,-6.72,-4.32,-51.72
2022-02-16,-7.0,-4.34,-51.51
2022-02-17,-7.47,-4.43,-43.0
2022-02-18,-7.6,-4.47,-40.46
2022-02-22,-8.32,-4.58,-57.49
2022-02-23,-9.96,-4.71,-58.61
2022-02-24,-11.23,-4.78,-60.03
2022-02-25,-11.65,-4.72,-82.44
2022-02-28,-11.86,-4.77,-68.21
2022-03-01,-11.74,-4.96,-56.13
2022-03-02,-10.73,-5.1,-67.2
2022-03-03,-10.53,-5.3,-87.89
2022-03-04,-10.97,-5.44,-90.21
2022-03-07,-12.34,-5.73,-82.32
2022-03-08,-13.43,-6.03,-67.13
2022-03-09,-14.42,-6.26,-85.44
2022-03-10,-14.86,-6.57,-67.49
2022-03-11,-15.33,-6.86,-64.28
2022-03-14,-15.21,-7.09,-66.87
2022-03-15,-14.63,-7.21,-74.12
2022-03-16,-13.93,-7.3,-81.93
2022-03-17,-13.08,-7.34,-93.54
2022-03-18,-11.54,-7.24,-97.61
2022-03-21,-9.93,-7.1,-121.75
2022-03-22,-8.45,-6.86,-138.06
2022-03-23,-7.85,-6.6,-99.23
2022-03-24,-7.44,-6.36,-155.48
2022-03-25,-7.44,-6.18,-216.6
2022-03-28,-6.83,-5.97,-214.79
2022-03-29,-6.25,-5.63,-627.08
2022-03-30,-5.72,-5.41,-369.72
2022-03-31,-5.66,-5.23,-168.87
2022-04-01,-5.49,-5.01,-195.54
2022-04-04,-5.37,-4.61,-225.52
2022-04-05,-6.04,-4.25,-160.31
2022-04-06,-6.85,-4.04,-156.58
2022-04-07,-7.24,-3.79,-185.81
2022-04-08,-7.82,-3.5,-185.89
2022-04-11,-9.04,-3.25,-119.43
2022-04-12,-9.8,-3.12,-100.95
2022-04-13,-9.65,-3.03,-99.05
2022-04-14,-9.82,-3.06,-81.19
2022-04-18,-9.84,-3.14,-79.07
2022-04-19,-9.05,-3.15,-77.58
2022-04-20,-8.53,-3.21,-103.29
2022-04-21,-8.69,-3.28,-72.85
2022-04-22,-9.04,-3.53,-45.8
2022-04-25,-9.23,-3.79,-43.28
2022-04-26,-10.8,-4.2,-47.94
2022-04-27,-12.14,-4.66,-51.59
2022-04-28,-12.87,-4.98,-70.88
2022-04-29,-14.02,-5.4,-59.19
2022-05-02,-15.0,-5.78,-54.35
2022-05-03,-15.2,-6.19,-63.83
2022-05-04,-14.94,-6.41,-92.27
2022-05-05,-16.0,-6.74,-79.27
2022-05-06,-16.41,-7.12,-80.51
2022-05-09,-17.85,-7.62,-68.58
2022-05-10,-19.28,-8.04,-73.15
2022-05-11,-21.72,-8.5,-75.93
2022-05-12,-23.06,-9.02,-69.74
2022-05-13,-23.59,-9.39,-72.79
2022-05-16,-23.75,-9.77,-80.6
2022-05-17,-23.47,-10.14,-90.43
2022-05-18,-23.63,-10.68,-79.61
2022-05-19,-23.93,-11.17,-72.63
2022-05-20,-25.05,-11.54,-80.33
2022-05-23,-25.78,-11.86,-98.39
2022-05-24,-27.32,-12.08,-104.13
2022-05-25,-27.41,-12.27,-97.94
2022-05-26,-26.84,-12.49,-96.9
2022-05-27,-25.55,-12.44,-115.66
2022-05-31,-24.29,-12.45,-103.12
2022-06-01,-22.64,-12.5,-95.6
2022-06-02,-20.96,-12.61,-104.42
2022-06-03,-20.39,-12.62,-96.29
2022-06-06,-20.14,-12.6,-93.27
2022-06-07,-19.96,-12.4,-112.23
2022-06-08,-19.88,-12.26,-97.59
2022-06-09,-20.58,-12.15,-77.38
2022-06-10,-21.5,-12.17,-68.85
2022-06-13,-23.29,-12.44,-58.72
2022-06-14,-25.07,-12.7,-57.64
2022-06-15,-26.36,-13.0,-56.69
2022-06-16,-28.07,-13.26,-54.11
2022-06-17,-28.94,-13.47,-50.87
2022-06-21,-28.77,-13.6,-57.48
2022-06-22,-28.58,-13.81,-56.32
2022-06-23,-28.57,-13.94,-57.69
2022-06-24,-27.29,-13.99,-66.07
2022-06-27,-26.36,-14.14,-68.13
2022-06-28,-26.33,-14.48,-66.99
2022-06-29,-26.33,-14.81,-65.07
2022-06-30,-26.78,-15.16,-65.77
2022-07-01,-27.37,-15.52,-66.28
2022-07-05,-27.45,-15.8,-57.19
2022-07-06,-27.04,-16.08,-62.27
2022-07-07,-26.22,-16.34,-62.53
2022-07-08,-25.18,-16.56,-62.72
2022-07-11,-24.94,-16.72,-65.47
2022-07-12,-25.12,-16.79,-60.3
2022-07-13,-25.12,-16.72,-53.37
2022-07-14,-25.56,-16.66,-52.97
2022-07-15,-25.71,-16.57,-59.51
2022-07-18,-25.42,-16.39,-51.3
2022-07-19,-24.56,-16.1,-57.93
2022-07-20,-23.53,-15.89,-53.73
2022-07-21,-22.14,-15.62,-51.47
2022-07-22,-21.13,-15.43,-47.37
2022-07-25,-20.32,-15.37,-53.78
2022-07-26,-20.51,-15.34,-61.05
2022-07-27,-20.4,-15.11,-66.2
2022-07-28,-20.34,-14.82,-70.15
2022-07-29,-19.55,-14.42,-61.21
2022-08-01,-18.43,-14.1,-52.06
2022-08-02,-16.89,-13.8,-49.95
2022-08-03,-15.61,-13.46,-49.78
2022-08-04,-14.54,-13.19,-45.64
2022-08-05,-14.26,-12.92,-53.38
2022-08-08,-14.08,-12.6,-48.24
2022-08-09,-14.03,-12.26,-55.2
2022-08-10,-13.94,-11.84,-58.82
2022-08-11,-13.95,-11.41,-61.34
2022-08-12,-13.53,-11.0,-67.49
2022-08-15,-13.11,-10.54,-68.91
2022-08-16,-12.33,-10.19,-60.7
2022-08-17,-12.05,-9.88,-61.92
2022-08-18,-11.73,-9.61,-66.39
2022-08-19,-11.94,-9.34,-65.83
2022-08-22,-12.55,-9.14,-60.71
2022-08-23,-13.27,-8.9,-56.29
2022-08-24,-13.79,-8.76,-56.63
2022-08-25,-14.16,-8.62,-64.23
2022-08-26,-14.7,-8.66,-52.69
2022-08-29,-14.97,-8.71,-50.14
2022-08-30,-15.4,-8.77,-47.37
2022-08-31,-15.98,-8.91,-45.83
2022-09-01,-16.57,-9.02,-45.96
2022-09-02,-16.82,-9.16,-42.9
2022-09-06,-17.03,-9.3,-41.82
2022-09-07,-16.71,-9.36,-39.72
2022-09-08,-16.15,-9.46,-39.69
2022-09-09,-15.4,-9.5,-40.96
2022-09-12,-14.33,-9.55,-43.01
2022-09-13,-14.1,-9.8,-34.14
2022-09-14,-14.08,-10.04,-29.57
2022-09-15,-14.31,-10.31,-23.67
2022-09-16,-15.02,-10.62,-23.72
2022-09-19,-15.73,-10.85,-21.34
2022-09-20,-15.88,-11.07,-23.81
2022-09-21,-16.58,-11.36,-23.61
2022-09-22,-17.57,-11.69,-30.54
2022-09-23,-18.75,-12.13,-30.05
2022-09-26,-20.18,-12.5,-25.78
2022-09-27,-21.26,-12.87,-22.55
2022-09-28,-21.57,-13.15,-19.21
2022-09-29,-22.02,-13.48,-22.77
2022-09-30,-22.39,-13.91,-21.82
2022-10-03,-22.53,-14.17,-33.95
2022-10-04,-22.15,-14.31,-36.53
2022-10-05,-22.25,-14.52,-37.72
2022-10-06,-21.93,-14.79,-33.52
2022-10-07,-21.84,-15.24,-30.64
2022-10-10,-22.06,-15.77,-29.3
2022-10-11,-22.93,-16.14,-27.93
2022-10-12,-23.69,-16.53,-25.33
2022-10-13,-24.19,-16.77,-35.93
2022-10-14,-24.74,-17.07,-37.36
2022-10-17,-24.61,-17.3,-36.5
2022-10-18,-24.18,-17.44,-37.82
2022-10-19,-24.01,-17.53,-39.98
2022-10-20,-24.24,-17.62,-41.72
2022-10-21,-23.51,-17.54,-46.13
2022-10-24,-23.28,-17.38,-53.66
2022-10-25,-22.87,-17.14,-54.26
2022-10-26,-22.37,-16.99,-52.09
2022-10-27,-21.69,-16.77,-49.83
2022-10-28,-21.38,-16.4,-72.02
2022-10-31,-21.24,-16.18,-67.72
2022-11-01,-21.54,-16.09,-69.08
2022-11-02,-22.28,-16.09,-64.39
2022-11-03,-23.04,-16.1,-58.23
2022-11-04,-23.68,-15.93,-65.88
2022-11-07,-24.3,-15.69,-77.05
2022-11-08,-24.88,-15.4,-83.35
2022-11-09,-25.33,-15.19,-77.36
2022-11-10,-24.63,-14.86,-101.3
2022-11-11,-23.69,-14.39,-98.9
2022-11-14,-22.95,-14.06,-98.03
2022-11-15,-21.97,-13.74,-100.8
2022-11-16,-20.81,-13.43,-100.19
2022-11-17,-20.89,-13.09,-103.68
2022-11-18,-21.32,-12.84,-110.01
2022-11-21,-21.71,-12.64,-113.61
2022-11-22,-22.11,-12.46,-128.53
2022-11-23,-22.08,-12.22,-132.01
2022-11-25,-21.85,-11.96,-130.88
2022-11-28,-21.77,-11.86,-106.19
2022-11-29,-21.54,-11.75,-105.44
2022-11-30,-20.99,-11.5,-142.16
2022-12-01,-20.54,-11.13,-142.78
2022-12-02,-20.14,-10.73,-140.94
2022-12-05,-20.05,-10.46,-124.21
2022-12-06,-20.17,-10.29,-109.79
2022-12-07,-20.89,-10.16,-110.19
2022-12-08,-21.53,-9.91,-115.87
2022-12-09,-22.24,-9.91,-108.39
2022-12-12,-22.45,-9.89,-131.63
2022-12-13,-22.38,-9.8,-146.87
2022-12-14,-22.31,-9.78,-137.05
2022-12-15,-22.73,-9.83,-106.85
2022-12-16,-23.31,-9.92,-100.47
2022-12-19,-24.19,-10.07,-98.36
2022-12-20,-25.24,-10.22,-99.56
2022-12-21,-25.98,-10.36,-110.59
2022-12-22,-26.75,-10.59,-104.83
2022-12-23,-27.15,-10.79,-108.57
2022-12-27,-27.53,-10.94,-111.09
2022-12-28,-27.92,-11.14,-101.3
2022-12-29,-28.17,-11.39,-110.24
2022-12-30,-28.1,-11.67,-107.81
2023-01-03,-28.08,-11.94,-105.78
2023-01-04,-27.63,-12.1,-106.37
2023-01-05,-27.13,-12.25,-96.7
2023-01-06,-26.68,-12.29,-114.74
2023-01-09,-26.1,-12.37,-110.17
2023-01-10,-25.38,-12.39,-112.88
2023-01-11,-24.5,-12.41,-116.67
2023-01-12,-23.43,-12.45,-120.31
2023-01-13,-22.53,-12.45,-120.19
2023-01-17,-21.7,-12.34,-116.77
2023-01-18,-21.29,-12.26,-97.91
2023-01-19,-21.52,-12.16,-98.36
2023-01-20,-21.46,-11.98,-111.49
2023-01-23,-21.29,-11.8,-121.92
2023-01-24,-21.17,-11.57,-122.12
2023-01-25,-20.75,-11.36,-118.09
2023-01-26,-19.78,-11.09,-125.19
2023-01-27,-18.81,-10.75,-109.49
2023-01-30,-18.37,-10.54,-97.54
2023-01-31,-17.53,-10.26,-107.44
2023-02-01,-16.39,-9.92,-113.65
2023-02-02,-15.08,-9.55,-121.14
2023-02-03,-14.6,-9.18,-124.64
2023-02-06,-13.93,-8.93,-111.89
2023-02-07,-13.57,-8.62,-145.3
2023-02-08,-13.76,-8.39,-125.8
2023-02-09,-14.46,-8.25,-108.55
2023-02-10,-14.87,-8.12,-126.77
2023-02-13,-15.0,-7.96,-140.94
2023-02-14,-14.99,-7.79,-125.93
2023-02-15,-14.6,-7.54,-117.28
2023-02-16,-14.48,-7.31,-108.17
2023-02-17,-14.2,-7.16,-103.49
2023-02-21,-14.65,-7.15,-99.53
2023-02-22,-15.18,-7.13,-91.83
2023-02-23,-15.95,-7.1,-101.32
2023-02-24,-16.61,-7.15,-96.26
2023-02-27,-17.12,-7.2,-93.45
2023-02-28,-17.11,-7.21,-86.57
2023-03-01,-17.29,-7.29,-90.26
2023-03-02,-17.47,-7.4,-104.5
2023-03-03,-17.14,-7.51,-118.62
2023-03-06,-17.08,-7.56,-129.64
2023-03-07,-17.21,-7.66,-105.32
2023-03-08,-17.26,-7.8,-109.27
2023-03-09,-17.67,-7.97,-96.13
2023-03-10,-18.57,-8.17,-83.41
2023-03-13,-19.36,-8.39,-82.12
2023-03-14,-19.74,-8.58,-96.3
2023-03-15,-20.12,-8.8,-87.75
2023-03-16,-19.83,-8.95,-101.99
2023-03-17,-19.57,-9.1,-93.41
2023-03-20,-19.21,-9.21,-105.74
2023-03-21,-18.68,-9.18,-109.9
2023-03-22,-18.48,-9.22,-96.55
2023-03-23,-18.61,-9.28,-102.46
2023-03-24,-18.59,-9.28,-111.39
2023-03-27,-18.61,-9.28,-112.47
2023-03-28,-19.03,-9.28,-108.32
2023-03-29,-18.79,-9.21,-123.76
2023-03-30,-18.39,-9.15,-130.97
