Date,rate_TQQQ_5D,rate_TQQQ_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-4.529999999999999,,-0.648,
2022-01-10,-6.076,,-0.9019999999999999,
2022-01-11,-6.645999999999999,,-1.024,
2022-01-12,-6.174,,-0.9099999999999999,
2022-01-13,-6.703999999999999,,-0.9879999999999999,
2022-01-14,-6.752,,-1.028,
2022-01-18,-7.792,,-1.314,
2022-01-19,-9.85,,-1.8780000000000001,
2022-01-20,-12.53,,-2.646,
2022-01-21,-15.15,,-3.4859999999999998,
2022-01-24,-17.816000000000003,,-4.272,
2022-01-25,-20.491999999999997,,-4.998,
2022-01-26,-22.762,,-5.609999999999999,
2022-01-27,-24.934,,-6.144,
2022-01-28,-25.038,,-6.01,
2022-01-31,-24.043999999999997,-13.285499999999999,-5.634,-2.8954999999999997
2022-02-01,-21.692,-14.013,-4.926,-3.035
2022-02-02,-18.956,-14.5535,-4.018,-3.1325
2022-02-03,-17.729999999999997,-15.341999999999999,-3.436,-3.284
2022-02-04,-17.131999999999998,-16.006,-3.164,-3.4120000000000004
2022-02-07,-18.106,-16.6795,-3.2479999999999998,-3.5454999999999997
2022-02-08,-18.964,-17.235,-3.3200000000000003,-3.6395000000000004
2022-02-09,-19.233999999999998,-17.700499999999998,-3.2879999999999994,-3.6985000000000006
2022-02-10,-18.708,-18.4755,-3.1759999999999997,-3.8505000000000003
2022-02-11,-20.082,-19.350500000000004,-3.504,-4.0409999999999995
2022-02-14,-21.096,-20.265499999999996,-3.8340000000000005,-4.247
2022-02-15,-21.586,-20.683500000000002,-4.0200000000000005,-4.316
2022-02-16,-23.026,-20.9945,-4.454,-4.3425
2022-02-17,-24.738,-21.5275,-4.952,-4.427
2022-02-18,-25.494,-21.936500000000002,-5.204,-4.4704999999999995
2022-02-22,-26.701999999999998,-22.487000000000002,-5.593999999999999,-4.5775
2022-02-23,-29.932,-23.0435,-6.590000000000001,-4.714
2022-02-24,-31.985999999999997,-23.3005,-7.340000000000001,-4.775
2022-02-25,-32.066,-23.310499999999998,-7.316,-4.720000000000001
2022-02-28,-31.53,-23.5595,-7.224000000000001,-4.774
2022-03-01,-31.046,-24.2375,-7.164,-4.96
2022-03-02,-28.942,-24.856,-6.467999999999999,-5.099500000000001
2022-03-03,-28.586000000000002,-25.708,-6.128,-5.3025
2022-03-04,-29.418,-26.232499999999998,-6.314,-5.439500000000001
2022-03-07,-31.804000000000002,-27.2275,-6.9719999999999995,-5.726
2022-03-08,-33.886,-28.182499999999997,-7.531999999999999,-6.031000000000001
2022-03-09,-35.368,-28.957,-7.954000000000001,-6.258
2022-03-10,-36.684000000000005,-30.070500000000003,-8.366,-6.572
2022-03-11,-38.196,-31.1045,-8.86,-6.8605
2022-03-14,-38.974000000000004,-31.950499999999998,-8.962,-7.0905000000000005
2022-03-15,-38.568,-32.5505,-8.55,-7.210000000000001
2022-03-16,-38.03,-33.068,-8.196000000000002,-7.302000000000001
2022-03-17,-36.636,-33.473,-7.537999999999999,-7.343000000000001
2022-03-18,-33.62,-33.325,-6.45,-7.235000000000001
2022-03-21,-30.034,-33.0855,-5.236,-7.0985
2022-03-22,-26.6,-32.525,-4.188,-6.858499999999999
2022-03-23,-25.182000000000002,-31.8805,-3.7840000000000003,-6.600500000000001
2022-03-24,-23.244,-31.2875,-3.3899999999999997,-6.3555
2022-03-25,-22.194,-30.857000000000006,-3.106,-6.182499999999999
2022-03-28,-20.318,-30.2825,-2.69,-5.965000000000001
2022-03-29,-18.458000000000002,-29.377999999999997,-2.25,-5.63
