Date,rate_PG_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,55.14
2019-03-01,5.81,6.13,-0.32,54.59
2019-04-29,11.83,10.74,1.09,57.0
2019-06-25,17.8,9.75,8.05,68.86
2019-08-21,23.64,9.45,14.19,79.33
2019-10-17,18.84,11.38,7.46,67.85
2019-12-13,26.61,17.31,9.3,70.99
2020-02-12,23.43,23.26,0.17,55.43
2020-04-09,14.01,5.35,8.66,69.9
2020-06-08,17.66,21.76,-4.1,48.15
2020-08-04,30.53,23.27,7.26,67.51
2020-09-30,33.01,22.35,10.66,73.31
2020-11-25,31.46,30.73,0.73,56.38
2021-01-26,25.08,37.01,-11.93,34.8
2021-03-24,23.89,38.04,-14.15,31.02
2021-05-20,28.03,45.0,-16.97,26.21
2021-07-19,29.58,46.79,-17.21,25.81
2021-09-14,32.81,49.47,-16.66,26.74
2021-11-09,31.9,55.69,-23.79,14.59
2022-01-06,46.26,54.19,-7.93,41.62
2022-03-07,36.14,37.12,-0.98,53.47
2022-05-03,38.04,34.96,3.08,60.39
2022-06-30,26.71,22.0,4.71,63.17
2022-08-26,24.87,30.79,-5.92,45.05
2022-10-24,14.19,22.72,-8.53,40.6
2022-12-20,32.08,22.59,9.49,71.31
2023-02-17,22.24,30.41,-8.17,41.21
2023-04-18,31.33,31.87,-0.54,54.22
2023-06-14,26.47,38.27,-11.8,35.03
2023-08-11,34.25,40.92,-6.67,43.77
2023-10-09,22.9,35.51,-12.61,33.65
2023-12-05,25.17,42.24,-17.07,26.04
2024-02-02,34.12,52.79,-18.67,23.32
2024-04-02,35.45,59.09,-23.64,14.85
2024-05-29,35.7,60.75,-25.05,12.44
2024-07-26,41.49,64.89,-23.4,15.25
