Date,rate_SPG_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,96.64
2019-03-01,0.44,4.45,-4.01,91.19
2019-04-29,0.51,7.58,-7.07,87.03
2019-06-25,-5.05,7.2,-12.25,79.99
2019-08-21,-10.55,7.24,-17.79,72.47
2019-10-17,-9.99,8.87,-18.86,71.01
2019-12-13,-11.73,13.19,-24.92,62.78
2020-02-12,-13.75,18.03,-31.78,53.45
2020-04-09,-45.94,3.89,-49.83,28.92
2020-06-08,-28.17,14.68,-42.85,38.41
2020-08-04,-49.3,16.26,-65.56,7.54
2020-09-30,-48.2,17.41,-65.61,7.47
2020-11-25,-33.57,24.05,-57.62,18.33
2021-01-26,-25.86,29.15,-55.01,21.88
2021-03-24,-19.14,30.35,-49.49,29.38
2021-05-20,-10.58,36.67,-47.25,32.43
2021-07-19,-14.07,38.99,-53.06,24.53
2021-09-14,-6.03,43.6,-49.63,29.19
2021-11-09,18.62,49.14,-30.52,55.16
2022-01-06,15.81,49.24,-33.43,51.21
2022-03-07,-6.87,37.68,-44.55,36.1
2022-05-03,-11.68,36.93,-48.61,30.58
2022-06-30,-28.55,27.61,-56.16,20.32
2022-08-26,-22.09,34.27,-56.36,20.05
2022-10-24,-23.69,27.92,-51.61,26.5
2022-12-20,-15.07,28.33,-43.4,37.66
2023-02-17,-9.87,34.71,-44.58,36.06
2023-04-18,-17.9,36.36,-54.26,22.9
2023-06-14,-18.16,41.83,-59.99,15.11
2023-08-11,-12.98,43.86,-56.84,19.39
2023-10-09,-21.71,40.69,-62.4,11.84
2023-12-05,-5.24,46.52,-51.76,26.3
2024-02-02,-0.59,55.53,-56.12,20.37
2024-04-02,7.28,61.42,-54.14,23.06
2024-05-29,5.37,63.18,-57.81,18.08
2024-07-26,8.85,67.5,-58.65,16.93
