Date,rate_UPRO_5D,rate_VOO_20D,Max_Divergence
2023-02-01,-31.52,-9.92,-337.27
2023-02-02,-30.21,-9.55,-386.48
2023-02-03,-29.46,-9.18,-348.31
2023-02-06,-28.45,-8.93,-331.95
2023-02-07,-27.47,-8.62,-360.1
2023-02-08,-27.53,-8.39,-336.87
2023-02-09,-28.56,-8.25,-323.03
2023-02-10,-29.05,-8.12,-329.18
2023-02-13,-28.82,-7.96,-351.62
2023-02-14,-29.14,-7.79,-351.05
2023-02-15,-28.85,-7.54,-359.06
2023-02-16,-28.79,-7.31,-335.1
2023-02-17,-28.92,-7.16,-331.52
2023-02-21,-30.34,-7.15,-307.44
2023-02-22,-31.81,-7.13,-306.44
2023-02-23,-33.22,-7.1,-312.83
2023-02-24,-34.45,-7.15,-301.43
2023-02-27,-35.45,-7.2,-305.88
2023-02-28,-35.77,-7.21,-300.0
2023-03-01,-36.01,-7.29,-295.45
2023-03-02,-36.17,-7.4,-306.58
2023-03-03,-35.32,-7.51,-335.49
2023-03-06,-34.55,-7.56,-338.25
2023-03-07,-34.25,-7.66,-306.36
2023-03-08,-33.91,-7.8,-309.15
2023-03-09,-34.56,-7.97,-281.45
2023-03-10,-36.32,-8.17,-264.33
2023-03-13,-38.19,-8.39,-263.28
2023-03-14,-38.86,-8.58,-285.0
2023-03-15,-39.82,-8.8,-276.54
2023-03-16,-39.46,-8.95,-304.19
2023-03-17,-38.99,-9.1,-286.63
2023-03-20,-38.12,-9.21,-301.84
2023-03-21,-37.36,-9.18,-329.33
2023-03-22,-37.04,-9.22,-298.33
2023-03-23,-37.26,-9.28,-302.99
2023-03-24,-36.8,-9.28,-299.45
2023-03-27,-36.62,-9.28,-302.78
2023-03-28,-37.0,-9.28,-300.22
2023-03-29,-36.16,-9.21,-330.62
2023-03-30,-35.17,-9.15,-346.93
2023-03-31,-33.87,-9.08,-395.21
2023-04-03,-32.36,-8.99,-414.39
2023-04-04,-30.99,-8.86,-388.98
2023-04-05,-30.28,-8.75,-381.9
2023-04-06,-29.65,-8.54,-397.65
2023-04-10,-29.54,-8.27,-402.74
2023-04-11,-29.7,-8.0,-403.6
2023-04-12,-29.8,-7.81,-386.47
2023-04-13,-29.25,-7.53,-451.1
2023-04-14,-28.95,-7.34,-440.38
2023-04-17,-28.54,-7.08,-461.27
2023-04-18,-28.11,-6.86,-465.35
2023-04-19,-27.53,-6.7,-465.63
2023-04-20,-27.73,-6.49,-433.58
2023-04-21,-27.8,-6.28,-436.42
2023-04-24,-27.96,-6.09,-444.59
2023-04-25,-28.84,-5.96,-392.38
2023-04-26,-29.89,-5.84,-379.94
2023-04-27,-29.9,-5.71,-446.76
2023-04-28,-29.57,-5.57,-487.5
2023-05-01,-29.22,-5.49,-486.92
2023-05-02,-28.67,-5.49,-426.41
2023-05-03,-28.24,-5.49,-399.84
2023-05-04,-28.89,-5.51,-375.41
2023-05-05,-29.19,-5.47,-449.32
2023-05-08,-29.53,-5.43,-451.66
2023-05-09,-29.59,-5.42,-430.18
2023-05-10,-29.15,-5.36,-453.14
2023-05-11,-28.5,-5.37,-447.42
2023-05-12,-28.62,-5.38,-440.37
2023-05-15,-28.64,-5.39,-460.91
2023-05-16,-28.74,-5.43,-425.66
2023-05-17,-28.55,-5.42,-496.93
2023-05-18,-27.85,-5.33,-588.49
2023-05-19,-27.16,-5.26,-570.79
2023-05-22,-26.61,-5.18,-581.55
2023-05-23,-26.25,-5.1,-482.08
2023-05-24,-26.72,-5.04,-436.12
2023-05-25,-27.27,-5.01,-493.4
2023-05-26,-27.18,-4.96,-619.83
2023-05-30,-27.09,-4.9,-624.93
2023-05-31,-26.76,-4.83,-564.14
2023-06-01,-25.6,-4.67,-694.31
2023-06-02,-24.12,-4.42,-1181.25
2023-06-05,-23.32,-4.25,-1074.86
2023-06-06,-22.42,-4.07,-1190.57
2023-06-07,-21.43,-3.9,-1016.75
2023-06-08,-20.67,-3.71,-1402.26
2023-06-09,-20.5,-3.5,-1577.78
2023-06-12,-19.79,-3.25,-6370.37
2023-06-13,-18.85,-2.98,-4263.16
2023-06-14,-17.7,-2.67,-3566.67
2023-06-15,-16.22,-2.36,-830.23
2023-06-16,-14.97,-2.11,-1093.33
2023-06-20,-14.43,-1.88,-1758.43
2023-06-21,-14.55,-1.67,-4788.57
2023-06-22,-14.55,-1.4,-2298.59
2023-06-23,-15.54,-1.12,-43650.0
2023-06-26,-16.57,-0.91,-4024.44
2023-06-27,-16.81,-0.7,-2596.88
2023-06-28,-16.7,-0.5,-2397.1
2023-06-29,-16.57,-0.26,-2297.06
2023-06-30,-15.47,-0.02,-748.65
2023-07-03,-14.03,0.16,-668.5
2023-07-05,-13.21,0.34,-767.42
2023-07-06,-12.83,0.46,-1541.24
2023-07-07,-12.79,0.6,-2087.84
2023-07-10,-13.21,0.71,-1495.05
2023-07-11,-13.42,0.86,-853.94
2023-07-12,-13.14,0.99,-529.1
2023-07-13,-12.03,1.13,-358.28
2023-07-14,-10.81,1.27,-371.7
2023-07-17,-9.54,1.36,-318.41
2023-07-18,-8.18,1.51,-231.32
2023-07-19,-7.11,1.69,-213.02
2023-07-20,-6.83,1.87,-282.12
2023-07-21,-6.52,2.02,-282.69
2023-07-24,-6.15,2.24,-236.28
2023-07-25,-6.08,2.49,-216.67
2023-07-26,-6.13,2.69,-216.81
2023-07-27,-6.08,2.85,-269.92
2023-07-28,-5.62,3.06,-198.97
2023-07-31,-5.32,3.22,-187.43
2023-08-01,-5.24,3.35,-205.36
2023-08-02,-5.68,3.44,-313.88
2023-08-03,-5.96,3.56,-346.22
2023-08-04,-6.8,3.67,-408.22
2023-08-07,-7.42,3.8,-306.34
2023-08-08,-8.1,3.88,-350.6
2023-08-09,-8.5,3.9,-434.39
2023-08-10,-8.78,3.88,-430.1
2023-08-11,-8.91,3.87,-441.34
2023-08-14,-9.16,3.85,-370.59
2023-08-15,-9.65,3.76,-541.8
2023-08-16,-10.18,3.63,-727.32
2023-08-17,-10.97,3.5,-1071.94
2023-08-18,-11.74,3.38,-1029.66
2023-08-21,-12.46,3.26,-751.05
2023-08-22,-12.88,3.12,-852.63
2023-08-23,-12.65,3.01,-554.32
2023-08-24,-12.65,2.89,-981.7
2023-08-25,-12.42,2.75,-725.38
2023-08-28,-12.2,2.62,-567.22
2023-08-29,-11.37,2.55,-358.28
2023-08-30,-10.75,2.56,-316.94
2023-08-31,-9.72,2.57,-332.68
2023-09-01,-8.82,2.61,-315.34
2023-09-05,-8.3,2.6,-357.61
2023-09-06,-8.59,2.57,-469.93
2023-09-07,-9.22,2.55,-543.78
2023-09-08,-9.7,2.54,-510.69
2023-09-11,-9.94,2.56,-377.91
2023-09-12,-10.33,2.53,-489.34
2023-09-13,-10.34,2.55,-460.92
2023-09-14,-9.75,2.64,-318.92
2023-09-15,-9.88,2.69,-564.9
2023-09-18,-10.32,2.75,-539.84
2023-09-19,-10.56,2.77,-600.42
2023-09-20,-11.39,2.76,-1114.08
2023-09-21,-13.5,2.63,-9210.0
2023-09-22,-15.07,2.53,-4281.82
2023-09-25,-16.47,2.43,-60700.0
2023-09-26,-18.49,2.23,-1380.41
2023-09-27,-19.96,1.99,-1391.1
2023-09-28,-20.34,1.74,-1528.57
2023-09-29,-20.72,1.49,-1319.46
2023-10-02,-21.23,1.23,-1316.33
2023-10-03,-21.65,0.93,-766.43
2023-10-04,-21.78,0.69,-982.61
2023-10-05,-22.2,0.46,-951.16
2023-10-06,-21.95,0.27,-1872.28
2023-10-09,-21.48,0.09,-5030.56
2023-10-10,-20.13,-0.04,-12407.14
2023-10-11,-18.88,-0.15,-2989.29
2023-10-12,-17.91,-0.34,-59100.0
2023-10-13,-17.73,-0.49,-3354.55
2023-10-16,-17.34,-0.59,-3614.89
2023-10-17,-17.21,-0.68,-3558.33
2023-10-18,-17.95,-0.8,-2240.0
2023-10-19,-18.82,-0.87,-1213.69
2023-10-20,-20.02,-0.99,-766.44
2023-10-23,-21.8,-1.15,-730.07
2023-10-24,-23.23,-1.19,-914.96
2023-10-25,-24.66,-1.3,-631.08
2023-10-26,-26.2,-1.48,-510.68
2023-10-27,-27.34,-1.67,-482.2
2023-10-30,-27.91,-1.81,-579.81
2023-10-31,-28.56,-1.85,-651.81
2023-11-01,-27.99,-1.87,-871.89
2023-11-02,-26.05,-1.8,-2764.29
2023-11-03,-23.5,-1.74,-9552.63
2023-11-06,-21.33,-1.7,-4692.11
2023-11-07,-19.28,-1.67,-2678.46
2023-11-08,-17.76,-1.66,-2369.86
2023-11-09,-17.47,-1.66,-186100.0
2023-11-10,-16.86,-1.56,-1078.95
2023-11-13,-16.39,-1.51,-1166.2
2023-11-14,-15.1,-1.37,-408.08
2023-11-15,-13.73,-1.15,-372.27
2023-11-16,-11.9,-0.88,-355.8
2023-11-17,-10.76,-0.54,-336.79
2023-11-20,-9.16,-0.16,-254.43
2023-11-21,-8.67,0.18,-279.82
2023-11-22,-8.08,0.6,-240.96
2023-11-24,-7.52,1.09,-237.78
2023-11-27,-7.13,1.59,-253.3
2023-11-28,-7.1,2.04,-245.51
2023-11-29,-6.98,2.45,-253.39
2023-11-30,-6.86,2.83,-221.09
2023-12-01,-6.43,3.15,-180.78
2023-12-04,-6.18,3.39,-216.63
2023-12-05,-6.0,3.63,-218.9
2023-12-06,-5.93,3.83,-246.61
2023-12-07,-5.78,4.07,-200.37
2023-12-08,-5.77,4.36,-178.34
2023-12-11,-5.32,4.59,-160.46
2023-12-12,-4.63,4.84,-139.09
2023-12-13,-3.07,5.07,-88.89
2023-12-14,-1.65,5.31,-79.66
2023-12-15,-0.49,5.52,-84.37
2023-12-18,0.78,5.76,-68.79
2023-12-19,2.09,5.99,-56.66
2023-12-20,2.03,6.14,-92.28
2023-12-21,2.23,6.32,-68.54
2023-12-22,2.58,6.51,-64.53
2023-12-26,2.83,6.72,-56.15
2023-12-27,2.9,6.94,-52.42
2023-12-28,3.65,7.15,-52.58
2023-12-29,3.85,7.34,-58.74
2024-01-02,3.7,7.47,-72.3
2024-01-03,3.03,7.59,-92.16
2024-01-04,2.11,7.7,-104.01
2024-01-05,1.26,7.83,-99.18
2024-01-08,1.33,8.0,-54.24
2024-01-09,1.62,8.14,-57.42
2024-01-10,2.5,8.3,-45.88
2024-01-11,3.51,8.43,-47.88
2024-01-12,4.48,8.5,-46.91
2024-01-16,4.48,8.53,-54.71
2024-01-17,4.28,8.55,-68.17
2024-01-18,4.21,8.58,-49.67
2024-01-19,4.76,8.64,-27.08
2024-01-22,5.38,8.79,-24.17
2024-01-23,6.33,8.91,-19.02
2024-01-24,7.6,9.03,-17.14
2024-01-25,8.78,9.15,-7.61
2024-01-26,9.31,9.27,-10.64
2024-01-29,10.19,9.42,2.9
2024-01-30,10.85,9.57,0.75
2024-01-31,10.43,9.69,-33.49
2024-02-01,10.43,9.88,-8.03
2024-02-02,11.14,10.14,10.39
2024-02-05,11.16,10.38,3.73
2024-02-06,11.38,10.55,6.8
2024-02-07,13.04,10.77,16.53
2024-02-08,13.99,10.97,16.68
2024-02-09,14.6,11.19,22.58
2024-02-12,15.4,11.41,21.76
2024-02-13,15.25,11.57,2.05
2024-02-14,15.2,11.81,14.18
2024-02-15,15.51,12.04,22.17
2024-02-16,15.22,12.18,15.21
2024-02-20,14.64,12.29,6.99
2024-02-21,14.92,12.39,7.95
2024-02-22,15.91,12.6,33.33
2024-02-23,16.55,12.77,33.76
2024-02-26,17.27,12.93,29.3
2024-02-27,18.43,13.07,31.33
2024-02-28,19.44,13.21,29.08
2024-02-29,19.46,13.44,32.89
2024-03-01,20.0,13.65,43.96
2024-03-04,20.69,13.82,42.35
2024-03-05,20.55,13.94,28.69
2024-03-06,20.87,14.08,35.38
2024-03-07,21.64,14.24,46.98
2024-03-08,21.42,14.36,39.11
2024-03-11,21.21,14.45,37.4
2024-03-12,22.48,14.6,52.0
2024-03-13,23.26,14.81,49.42
2024-03-14,23.2,14.96,46.1
2024-03-15,23.06,15.04,35.34
2024-03-18,23.42,15.18,43.62
2024-03-19,23.43,15.38,51.45
2024-03-20,24.19,15.6,62.43
2024-03-21,25.33,15.74,65.63
2024-03-22,26.88,15.85,66.18
2024-03-25,27.79,15.98,62.24
2024-03-26,28.14,16.07,59.89
2024-03-27,28.34,16.22,66.36
2024-03-28,28.31,16.34,66.17
2024-04-01,28.21,16.41,64.47
2024-04-02,27.87,16.45,57.44
2024-04-03,27.76,16.55,58.51
2024-04-04,26.33,16.56,44.22
2024-04-05,25.56,16.57,54.86
2024-04-08,25.01,16.61,55.03
2024-04-09,24.99,16.66,56.19
2024-04-10,24.22,16.61,44.52
2024-04-11,24.77,16.61,52.61
2024-04-12,23.68,16.54,34.26
2024-04-15,21.73,16.44,16.79
2024-04-16,19.57,16.3,13.2
2024-04-17,17.69,16.1,3.49
2024-04-18,15.17,15.85,-1.38
2024-04-19,13.06,15.54,-18.6
2024-04-22,12.34,15.29,-1.94
2024-04-23,12.55,15.13,16.78
2024-04-24,13.14,14.97,16.8
2024-04-25,13.6,14.76,9.22
2024-04-26,15.27,14.6,23.36
2024-04-29,16.6,14.48,27.7
2024-04-30,16.04,14.3,2.55
2024-05-01,15.2,14.09,-4.61
2024-05-02,15.27,13.99,10.46
2024-05-03,15.52,13.91,28.41
2024-05-06,16.26,13.88,41.88
2024-05-07,18.19,13.86,42.71
2024-05-08,20.4,13.89,42.31
2024-05-09,22.4,13.91,48.5
2024-05-10,23.68,14.01,50.27
2024-05-13,24.22,14.18,49.85
2024-05-14,25.03,14.39,54.77
2024-05-15,26.77,14.7,67.68
2024-05-16,27.94,15.01,65.07
2024-05-17,29.11,15.37,66.2
2024-05-20,30.38,15.7,67.25
2024-05-21,31.48,15.97,69.15
2024-05-22,31.42,16.23,65.87
2024-05-23,30.93,16.46,57.04
2024-05-24,30.85,16.69,63.97
2024-05-28,30.74,16.89,64.37
2024-05-29,29.88,17.15,56.3
2024-05-30,28.74,17.39,48.17
2024-05-31,28.87,17.64,58.05
2024-06-03,28.46,17.8,58.63
2024-06-04,28.06,17.92,59.22
2024-06-05,29.13,18.1,71.12
2024-06-06,30.72,18.27,71.04
2024-06-07,31.51,18.41,69.07
2024-06-10,32.59,18.56,71.88
2024-06-11,33.78,18.72,74.1
2024-06-12,34.72,18.9,81.53
2024-06-13,35.84,19.03,83.69
2024-06-14,37.09,19.17,82.93
2024-06-17,38.75,19.34,89.83
2024-06-18,40.44,19.53,91.7
2024-06-20,41.22,19.69,88.93
2024-06-21,41.64,19.85,86.71
2024-06-24,41.82,20.04,84.35
2024-06-25,41.59,20.2,86.09
2024-06-26,41.17,20.37,85.62
2024-06-27,41.09,20.59,86.08
2024-06-28,40.93,20.81,86.43
2024-07-01,40.99,20.98,87.14
2024-07-02,41.18,21.18,90.47
2024-07-03,41.6,21.4,92.29
2024-07-05,42.28,21.58,94.65
2024-07-08,43.28,21.76,95.23
2024-07-09,44.34,21.96,95.46
2024-07-10,45.62,22.18,99.92
2024-07-11,46.11,22.35,95.65
2024-07-12,46.63,22.5,98.3
