Date,rate_UPRO_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-100.0
2022-01-05,0.0,0.0,-202.06
2022-01-06,0.0,0.0,-194.23
2022-01-07,-1.92,0.0,-196.69
2022-01-10,-2.68,0.0,-199.21
2022-01-11,-3.05,0.0,-193.65
2022-01-12,-2.7,0.0,-202.5
2022-01-13,-2.95,0.0,-202.1
2022-01-14,-3.09,0.0,-202.13
2022-01-18,-3.93,0.0,-195.93
2022-01-19,-5.57,0.0,-191.59
2022-01-20,-7.77,0.0,-188.21
2022-01-21,-10.09,0.0,-182.42
2022-01-24,-12.27,0.0,-183.9
2022-01-25,-14.24,0.0,-181.83
2022-01-26,-15.88,0.0,-180.8
2022-01-27,-17.31,0.0,-180.03
2022-01-28,-17.0,0.0,-189.31
2022-01-31,-16.05,-2.9,-201.73
2022-02-01,-14.15,-3.04,-199.28
2022-02-02,-11.72,-3.13,-209.14
2022-02-03,-10.25,-3.28,-200.5
2022-02-04,-9.57,-3.41,-203.61
2022-02-07,-9.83,-3.55,-202.58
2022-02-08,-10.1,-3.64,-209.21
2022-02-09,-10.09,-3.7,-231.49
2022-02-10,-9.82,-3.85,-211.34
2022-02-11,-10.78,-4.04,-200.19
2022-02-14,-11.74,-4.25,-198.55
2022-02-15,-12.33,-4.32,-210.78
2022-02-16,-13.6,-4.34,-210.3
2022-02-17,-15.0,-4.43,-199.16
2022-02-18,-15.72,-4.47,-197.54
2022-02-22,-16.79,-4.58,-191.71
2022-02-23,-19.46,-4.71,-187.31
2022-02-24,-21.53,-4.78,-193.79
2022-02-25,-21.55,-4.72,-207.06
2022-02-28,-21.37,-4.77,-205.46
2022-03-01,-21.27,-4.96,-197.08
2022-03-02,-19.53,-5.1,-210.04
2022-03-03,-18.67,-5.3,-205.8
2022-03-04,-19.17,-5.44,-201.34
2022-03-07,-20.88,-5.73,-189.39
2022-03-08,-22.34,-6.03,-187.27
2022-03-09,-23.5,-6.26,-200.0
2022-03-10,-24.64,-6.57,-198.39
2022-03-11,-25.95,-6.86,-191.97
2022-03-14,-26.25,-7.09,-189.23
2022-03-15,-25.28,-7.21,-200.76
2022-03-16,-24.45,-7.3,-219.76
2022-03-17,-22.81,-7.34,-231.88
2022-03-18,-20.07,-7.24,-250.4
2022-03-21,-17.02,-7.1,-250.4
2022-03-22,-14.31,-6.86,-282.84
2022-03-23,-13.26,-6.6,-251.28
2022-03-24,-12.06,-6.36,-250.18
2022-03-25,-11.13,-6.18,-264.68
2022-03-28,-9.82,-5.97,-292.9
2022-03-29,-8.39,-5.63,-552.08
2022-03-30,-6.63,-5.41,-349.54
2022-03-31,-6.5,-5.23,-261.09
2022-04-01,-6.47,-5.01,-274.55
2022-04-04,-6.35,-4.61,-317.93
2022-04-05,-7.62,-4.25,-261.83
2022-04-06,-9.08,-4.04,-241.18
2022-04-07,-9.41,-3.79,-252.26
2022-04-08,-10.03,-3.5,-246.25
2022-04-11,-12.03,-3.25,-224.9
2022-04-12,-13.54,-3.12,-222.35
2022-04-13,-13.95,-3.03,-236.17
2022-04-14,-15.23,-3.06,-222.72
2022-04-18,-16.38,-3.14,-223.36
2022-04-19,-15.85,-3.15,-244.33
2022-04-20,-15.15,-3.21,-243.29
2022-04-21,-15.79,-3.28,-225.47
2022-04-22,-17.13,-3.53,-206.23
2022-04-25,-18.25,-3.79,-210.18
2022-04-26,-21.47,-4.2,-196.38
2022-04-27,-24.56,-4.66,-197.84
2022-04-28,-25.81,-4.98,-214.23
2022-04-29,-27.38,-5.4,-195.11
2022-05-02,-28.79,-5.78,-199.3
2022-05-03,-28.69,-6.19,-201.25
2022-05-04,-27.43,-6.41,-224.61
2022-05-05,-28.84,-6.74,-202.86
2022-05-06,-28.83,-7.12,-199.06
2022-05-09,-30.51,-7.62,-184.96
2022-05-10,-32.3,-8.04,-186.99
2022-05-11,-35.93,-8.5,-180.11
2022-05-12,-38.0,-9.02,-180.33
2022-05-13,-39.0,-9.39,-191.01
2022-05-16,-38.87,-9.77,-189.53
2022-05-17,-38.06,-10.14,-200.44
2022-05-18,-38.24,-10.68,-183.68
2022-05-19,-38.62,-11.17,-181.07
2022-05-20,-39.8,-11.54,-180.79
2022-05-23,-40.2,-11.86,-189.55
2022-05-24,-41.61,-12.08,-186.77
2022-05-25,-41.15,-12.27,-189.99
2022-05-26,-39.74,-12.49,-200.92
2022-05-27,-37.41,-12.44,-218.94
2022-05-31,-35.96,-12.45,-215.5
2022-06-01,-34.37,-12.5,-208.89
2022-06-02,-32.36,-12.61,-224.17
2022-06-03,-31.74,-12.62,-212.0
2022-06-06,-31.95,-12.6,-214.04
2022-06-07,-31.53,-12.4,-222.23
2022-06-08,-31.43,-12.26,-213.4
2022-06-09,-33.02,-12.15,-200.48
2022-06-10,-35.02,-12.17,-186.4
2022-06-13,-38.43,-12.44,-171.85
2022-06-14,-42.32,-12.7,-171.62
2022-06-15,-45.35,-13.0,-177.36
2022-06-16,-48.41,-13.26,-165.46
2022-06-17,-50.37,-13.47,-167.74
2022-06-21,-50.31,-13.6,-176.45
2022-06-22,-50.21,-13.81,-175.56
2022-06-23,-50.24,-13.94,-180.52
2022-06-24,-48.29,-13.99,-195.11
2022-06-27,-46.47,-14.14,-192.72
2022-06-28,-46.06,-14.48,-182.02
2022-06-29,-45.62,-14.81,-178.31
2022-06-30,-45.75,-15.16,-175.8
2022-07-01,-46.29,-15.52,-179.91
2022-07-05,-46.65,-15.8,-180.48
2022-07-06,-46.21,-16.08,-182.08
2022-07-07,-45.26,-16.34,-188.87
2022-07-08,-44.06,-16.56,-188.57
2022-07-11,-43.82,-16.72,-183.89
2022-07-12,-43.94,-16.79,-179.7
2022-07-13,-44.35,-16.72,-178.65
2022-07-14,-45.31,-16.66,-177.52
2022-07-15,-45.66,-16.57,-185.45
2022-07-18,-45.88,-16.39,-182.09
2022-07-19,-44.95,-16.1,-195.69
2022-07-20,-43.62,-15.89,-199.18
2022-07-21,-41.84,-15.62,-204.86
2022-07-22,-41.0,-15.43,-199.62
2022-07-25,-39.84,-15.37,-200.3
2022-07-26,-39.99,-15.34,-194.25
2022-07-27,-39.46,-15.11,-210.02
2022-07-28,-38.82,-14.82,-219.2
2022-07-29,-37.28,-14.42,-231.28
2022-08-01,-35.73,-14.1,-229.42
2022-08-02,-33.94,-13.8,-225.02
2022-08-03,-32.61,-13.46,-237.17
2022-08-04,-31.76,-13.19,-235.95
2022-08-05,-31.55,-12.92,-234.37
2022-08-08,-31.4,-12.6,-233.83
2022-08-09,-31.18,-12.26,-231.5
2022-08-10,-30.82,-11.84,-247.9
2022-08-11,-30.45,-11.41,-247.78
2022-08-12,-29.52,-11.0,-265.01
2022-08-15,-28.44,-10.54,-270.49
2022-08-16,-27.18,-10.19,-272.2
2022-08-17,-26.71,-9.88,-265.21
2022-08-18,-26.17,-9.61,-269.34
2022-08-19,-26.52,-9.34,-254.9
2022-08-22,-27.6,-9.14,-238.31
2022-08-23,-28.81,-8.9,-236.89
2022-08-24,-29.72,-8.76,-239.35
2022-08-25,-30.32,-8.62,-251.5
2022-08-26,-31.5,-8.66,-228.17
2022-08-29,-32.24,-8.71,-224.1
2022-08-30,-33.2,-8.77,-218.74
2022-08-31,-34.43,-8.91,-214.83
2022-09-01,-35.79,-9.02,-216.4
2022-09-02,-36.43,-9.16,-211.52
2022-09-06,-36.99,-9.3,-210.35
2022-09-07,-36.72,-9.36,-221.93
2022-09-08,-36.04,-9.46,-227.26
2022-09-09,-35.07,-9.5,-241.62
2022-09-12,-33.44,-9.55,-254.56
2022-09-13,-33.48,-9.8,-216.15
2022-09-14,-33.94,-10.04,-219.49
2022-09-15,-35.02,-10.31,-211.8
2022-09-16,-36.92,-10.62,-206.48
2022-09-19,-38.98,-10.85,-212.02
2022-09-20,-39.67,-11.07,-204.48
2022-09-21,-41.09,-11.36,-194.89
2022-09-22,-42.39,-11.69,-190.56
2022-09-23,-43.96,-12.13,-183.26
2022-09-26,-46.07,-12.5,-179.13
2022-09-27,-47.85,-12.87,-177.67
2022-09-28,-48.47,-13.15,-181.21
2022-09-29,-49.47,-13.48,-172.99
2022-09-30,-50.37,-13.91,-167.39
2022-10-03,-50.0,-14.17,-178.18
2022-10-04,-48.64,-14.31,-192.68
2022-10-05,-47.93,-14.52,-192.75
2022-10-06,-46.9,-14.79,-187.3
2022-10-07,-46.3,-15.24,-175.41
2022-10-10,-46.89,-15.77,-172.46
2022-10-11,-48.61,-16.14,-170.21
2022-10-12,-50.32,-16.53,-169.09
2022-10-13,-50.98,-16.77,-180.15
2022-10-14,-51.45,-17.07,-171.5
2022-10-17,-50.99,-17.3,-182.59
2022-10-18,-50.03,-17.44,-189.78
2022-10-19,-49.15,-17.53,-184.74
2022-10-20,-49.25,-17.62,-181.79
2022-10-21,-47.96,-17.54,-193.73
2022-10-24,-46.98,-17.38,-200.55
2022-10-25,-45.76,-17.14,-211.08
2022-10-26,-44.65,-16.99,-206.26
2022-10-27,-43.46,-16.77,-203.55
2022-10-28,-42.2,-16.4,-219.6
2022-10-31,-41.59,-16.18,-215.02
2022-11-01,-41.46,-16.09,-212.69
2022-11-02,-41.94,-16.09,-197.55
2022-11-03,-42.56,-16.1,-192.17
2022-11-04,-43.52,-15.93,-200.41
2022-11-07,-43.93,-15.69,-205.99
2022-11-08,-44.22,-15.4,-210.17
2022-11-09,-44.35,-15.19,-198.56
2022-11-10,-42.4,-14.86,-241.44
2022-11-11,-40.53,-14.39,-251.5
2022-11-14,-39.28,-14.06,-243.54
2022-11-15,-37.88,-13.74,-252.61
2022-11-16,-36.08,-13.43,-244.4
2022-11-17,-36.16,-13.09,-242.74
2022-11-18,-36.43,-12.84,-247.57
2022-11-21,-36.53,-12.64,-244.17
2022-11-22,-36.44,-12.46,-259.54
2022-11-23,-35.82,-12.22,-268.76
2022-11-25,-35.08,-11.96,-269.01
2022-11-28,-35.12,-11.86,-249.43
2022-11-29,-35.11,-11.75,-248.03
2022-11-30,-34.43,-11.5,-292.35
2022-12-01,-33.85,-11.13,-294.72
2022-12-02,-33.32,-10.73,-291.76
2022-12-05,-32.89,-10.46,-265.01
2022-12-06,-32.92,-10.29,-247.76
2022-12-07,-34.19,-10.16,-245.45
2022-12-08,-35.31,-9.91,-254.75
2022-12-09,-36.66,-9.91,-247.32
2022-12-12,-36.76,-9.89,-264.52
2022-12-13,-36.03,-9.8,-275.33
2022-12-14,-35.47,-9.78,-266.74
2022-12-15,-36.15,-9.83,-239.21
2022-12-16,-36.98,-9.92,-228.8
2022-12-19,-38.63,-10.07,-221.88
2022-12-20,-40.52,-10.22,-214.07
2022-12-21,-41.66,-10.36,-225.36
2022-12-22,-42.4,-10.59,-217.06
2022-12-23,-42.53,-10.79,-221.91
2022-12-27,-42.5,-10.94,-218.79
2022-12-28,-42.93,-11.14,-210.58
2022-12-29,-43.31,-11.39,-224.46
2022-12-30,-43.21,-11.67,-221.79
2023-01-03,-43.23,-11.94,-219.52
2023-01-04,-42.88,-12.1,-224.92
2023-01-05,-42.5,-12.25,-217.36
2023-01-06,-41.91,-12.29,-236.54
2023-01-09,-41.26,-12.37,-235.42
2023-01-10,-40.42,-12.39,-243.11
2023-01-11,-39.37,-12.41,-257.94
2023-01-12,-37.79,-12.45,-263.28
2023-01-13,-36.83,-12.45,-268.76
2023-01-17,-35.92,-12.34,-267.4
2023-01-18,-35.87,-12.26,-247.18
2023-01-19,-36.57,-12.16,-240.95
2023-01-20,-36.74,-11.98,-262.34
2023-01-23,-36.59,-11.8,-279.87
2023-01-24,-36.42,-11.57,-278.21
2023-01-25,-35.62,-11.36,-278.69
2023-01-26,-34.12,-11.09,-298.01
2023-01-27,-33.19,-10.75,-304.87
2023-01-30,-33.22,-10.54,-282.19
2023-01-31,-32.64,-10.26,-308.62
