Date,rate_CHTR,rate_VOO,Sector,rate_CMCSA,rate_DIS,rate_GOOG,rate_GOOGL,rate_NFLX,rate_T,rate_TMUS,rate_VZ
2022-01-03,0.0,0.0,Communication Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,-0.51,-0.02,Communication Services,-0.54,-0.33,-0.23,-0.2,-0.5,0.41,-0.16,0.98
2022-01-05,-1.71,-0.97,Communication Services,-0.51,-0.5,-2.55,-2.48,-2.38,1.53,0.41,1.5
2022-01-06,-1.18,-1.04,Communication Services,-0.23,0.04,-2.59,-2.49,-3.51,1.34,0.5,1.26
2022-01-07,-2.8,-1.21,Communication Services,-0.68,0.34,-2.78,-2.74,-4.49,1.69,-2.05,1.71
2022-01-10,-3.18,-1.27,Communication Services,-0.22,-0.05,-2.24,-2.17,-4.58,2.02,-3.79,1.36
2022-01-11,-2.4,-0.63,Communication Services,0.7,0.57,-1.48,-1.61,-4.46,1.79,-0.28,0.97
2022-01-12,-2.18,-0.4,Communication Services,0.42,0.52,-0.62,-0.73,-4.91,2.0,-0.36,0.77
2022-01-13,-1.58,-1.43,Communication Services,0.91,-0.61,-1.94,-2.22,-7.18,2.69,-0.85,0.87
2022-01-14,-2.92,-1.41,Communication Services,1.5,-2.28,-1.6,-1.75,-6.36,3.44,-1.92,0.53
2022-01-18,-5.84,-2.7,Communication Services,-0.72,-2.12,-3.43,-3.57,-8.24,3.69,-3.0,0.74
2022-01-19,-6.01,-3.45,Communication Services,-0.5,-3.15,-3.77,-4.04,-7.6,3.63,-4.03,0.84
2022-01-20,-7.09,-4.24,Communication Services,-0.66,-4.34,-4.89,-4.98,-8.56,3.12,-4.92,0.7
2022-01-21,-7.38,-5.63,Communication Services,-1.38,-9.24,-6.68,-6.53,-22.49,2.32,-6.55,0.36
2022-01-24,-6.5,-5.34,Communication Services,-0.88,-9.2,-6.53,-6.3,-23.79,1.79,-3.18,0.08
2022-01-25,-8.39,-6.33,Communication Services,-1.57,-9.74,-8.78,-8.68,-27.1,2.19,-3.95,-0.02
2022-01-26,-9.57,-6.51,Communication Services,-3.66,-11.39,-7.23,-7.27,-28.17,-4.3,-5.1,-3.12
2022-01-27,-8.73,-6.91,Communication Services,-4.44,-10.36,-7.31,-7.41,-23.87,-4.68,-3.67,-2.84
2022-01-28,-4.66,-4.96,Communication Services,-1.48,-8.54,-4.74,-4.73,-24.24,-1.51,-1.6,-0.02
2022-01-31,-4.26,-3.46,Communication Services,-1.02,-6.08,-3.25,-3.52,-17.42,-0.66,-1.98,0.52
2022-02-01,-3.62,-2.79,Communication Services,-1.08,-5.0,-1.75,-1.91,-11.76,-4.2,-0.79,0.45
2022-02-02,-3.15,-1.97,Communication Services,-0.99,-6.1,4.77,4.74,-16.48,-3.8,-0.76,1.48
2022-02-03,-1.7,-4.0,Communication Services,-1.62,-7.62,1.31,1.58,-20.55,-3.74,8.43,1.46
2022-02-04,-1.91,-3.6,Communication Services,-2.17,-6.45,1.55,1.72,-19.77,-5.32,8.56,0.64
2022-02-07,-1.65,-3.88,Communication Services,-3.02,-6.16,-1.07,-0.91,-21.15,-5.81,9.47,0.11
2022-02-08,-1.9,-3.15,Communication Services,-2.35,-6.18,-0.88,-0.78,-20.89,-5.78,12.25,-0.21
2022-02-09,-1.05,-1.81,Communication Services,-1.3,-3.23,0.63,0.7,-19.18,-3.75,14.42,1.01
2022-02-10,-2.29,-3.44,Communication Services,-2.9,-0.16,-1.3,-1.3,-20.39,-4.66,12.0,0.18
2022-02-11,-2.56,-5.24,Communication Services,-5.36,-1.84,-4.31,-4.23,-23.12,-5.09,11.47,0.69
2022-02-14,-2.08,-5.53,Communication Services,-5.77,-0.98,-3.52,-3.39,-22.16,-5.38,12.31,0.6
2022-02-15,-1.84,-4.08,Communication Services,-4.51,1.49,-2.75,-2.64,-20.13,-4.29,13.61,0.76
2022-02-16,-1.84,-3.98,Communication Services,-4.44,2.53,-2.01,-1.86,-21.88,-5.8,13.98,0.83
2022-02-17,-3.64,-5.93,Communication Services,-6.99,0.36,-5.59,-5.45,-24.01,-6.47,11.49,1.17
2022-02-18,-3.79,-6.5,Communication Services,-7.25,-0.65,-6.86,-6.93,-23.15,-6.06,11.0,1.63
2022-02-22,-4.0,-7.48,Communication Services,-6.67,-2.74,-7.6,-7.33,-25.75,-6.51,10.6,1.75
2022-02-23,-7.84,-9.06,Communication Services,-10.17,-4.16,-8.85,-8.87,-27.6,-7.42,8.82,0.85
2022-02-24,-5.37,-7.73,Communication Services,-8.47,-1.9,-5.34,-5.35,-23.38,-8.47,10.72,-0.66
2022-02-25,-3.12,-5.81,Communication Services,-6.41,-1.82,-4.06,-4.13,-23.24,-5.91,12.27,2.16
2022-02-28,-3.03,-6.04,Communication Services,-7.01,-2.5,-3.81,-3.71,-22.54,-6.74,10.34,1.33
2022-03-01,-3.99,-7.18,Communication Services,-7.51,-4.16,-4.18,-4.28,-23.39,-7.13,9.96,1.18
2022-03-02,-7.54,-5.58,Communication Services,-7.52,-3.13,-3.79,-3.93,-24.54,-6.05,12.06,2.14
