Date,rate_VGT_5D,rate_VGT_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-1.6060000000000003,,-0.648,
2022-01-10,-2.166,,-0.9019999999999999,
2022-01-11,-2.416,,-1.024,
2022-01-12,-2.3,,-0.9099999999999999,
2022-01-13,-2.56,,-0.9879999999999999,
2022-01-14,-2.61,,-1.028,
2022-01-18,-3.032,,-1.314,
2022-01-19,-3.8340000000000005,,-1.8780000000000001,
2022-01-20,-4.854,,-2.646,
2022-01-21,-5.756,,-3.4859999999999998,
2022-01-24,-6.686,,-4.272,
2022-01-25,-7.638,,-4.998,
2022-01-26,-8.346,,-5.609999999999999,
2022-01-27,-9.012,,-6.144,
2022-01-28,-8.739999999999998,,-6.01,
2022-01-31,-8.076,-4.7445,-5.634,-2.8954999999999997
2022-02-01,-6.9300000000000015,-4.9415,-4.926,-3.035
2022-02-02,-5.747999999999999,-5.086,-4.018,-3.1325
2022-02-03,-4.967999999999999,-5.2835,-3.436,-3.284
2022-02-04,-4.708,-5.441,-3.164,-3.4120000000000004
2022-02-07,-5.008,-5.595000000000001,-3.2479999999999998,-3.5454999999999997
2022-02-08,-5.18,-5.695,-3.3200000000000003,-3.6395000000000004
2022-02-09,-5.004,-5.733,-3.2879999999999994,-3.6985000000000006
2022-02-10,-4.741999999999999,-5.894,-3.1759999999999997,-3.8505000000000003
2022-02-11,-5.164,-6.092,-3.504,-4.0409999999999995
2022-02-14,-5.508000000000001,-6.3195,-3.8340000000000005,-4.247
2022-02-15,-5.564,-6.328,-4.0200000000000005,-4.316
2022-02-16,-6.088,-6.2965,-4.454,-4.3425
2022-02-17,-6.7700000000000005,-6.373,-4.952,-4.427
2022-02-18,-7.116,-6.4319999999999995,-5.204,-4.4704999999999995
2022-02-22,-7.63,-6.555499999999999,-5.593999999999999,-4.5775
2022-02-23,-9.094,-6.692,-6.590000000000001,-4.714
2022-02-24,-9.918000000000001,-6.6895,-7.340000000000001,-4.775
2022-02-25,-9.888,-6.5920000000000005,-7.316,-4.720000000000001
2022-02-28,-9.632,-6.654999999999999,-7.224000000000001,-4.774
2022-03-01,-9.492,-6.9094999999999995,-7.164,-4.96
2022-03-02,-8.558000000000002,-7.098999999999999,-6.467999999999999,-5.099500000000001
2022-03-03,-8.506,-7.3790000000000004,-6.128,-5.3025
2022-03-04,-9.05,-7.6125,-6.314,-5.439500000000001
2022-03-07,-10.232000000000001,-8.036000000000001,-6.9719999999999995,-5.726
2022-03-08,-11.206,-8.459,-7.531999999999999,-6.031000000000001
2022-03-09,-11.836,-8.763,-7.954000000000001,-6.258
2022-03-10,-12.488000000000001,-9.25,-8.366,-6.572
2022-03-11,-13.148000000000001,-9.713999999999999,-8.86,-6.8605
2022-03-14,-13.532,-10.128,-8.962,-7.0905000000000005
2022-03-15,-13.282,-10.4025,-8.55,-7.210000000000001
2022-03-16,-13.11,-10.6495,-8.196000000000002,-7.302000000000001
2022-03-17,-12.45,-10.8405,-7.537999999999999,-7.343000000000001
2022-03-18,-11.03,-10.779,-6.45,-7.235000000000001
2022-03-21,-9.297999999999998,-10.6735,-5.236,-7.0985
2022-03-22,-7.83,-10.4525,-4.188,-6.858499999999999
2022-03-23,-7.266,-10.192499999999999,-3.7840000000000003,-6.600500000000001
2022-03-24,-6.45,-9.9735,-3.3899999999999997,-6.3555
2022-03-25,-6.086,-9.8285,-3.106,-6.182499999999999
2022-03-28,-5.446,-9.627,-2.69,-5.965000000000001
2022-03-29,-4.678,-9.248999999999999,-2.25,-5.63
2022-03-30,-3.9219999999999997,-9.0335,-1.688,-5.4055
