Date,rate_AMGN_5D,rate_AMGN_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-0.05800000000000001,,-0.648,
2022-01-10,0.10200000000000001,,-0.9019999999999999,
2022-01-11,0.3,,-1.024,
2022-01-12,0.5900000000000001,,-0.9099999999999999,
2022-01-13,0.8380000000000001,,-0.9879999999999999,
2022-01-14,1.19,,-1.028,
2022-01-18,1.342,,-1.314,
2022-01-19,1.296,,-1.8780000000000001,
2022-01-20,1.17,,-2.646,
2022-01-21,1.032,,-3.4859999999999998,
2022-01-24,0.628,,-4.272,
2022-01-25,0.22199999999999998,,-4.998,
2022-01-26,-0.23800000000000004,,-5.609999999999999,
2022-01-27,-0.4960000000000001,,-6.144,
2022-01-28,-0.3660000000000001,,-6.01,
2022-01-31,-0.29800000000000004,0.3655,-5.634,-2.8954999999999997
2022-02-01,-0.04800000000000002,0.40449999999999997,-4.926,-3.035
2022-02-02,0.384,0.43550000000000005,-4.018,-3.1325
2022-02-03,0.358,0.40549999999999997,-3.436,-3.284
2022-02-04,-0.14599999999999996,0.3395,-3.164,-3.4120000000000004
2022-02-07,-0.414,0.2765,-3.2479999999999998,-3.5454999999999997
2022-02-08,0.6100000000000001,0.5315000000000001,-3.3200000000000003,-3.6395000000000004
2022-02-09,1.31,0.6880000000000001,-3.2879999999999994,-3.6985000000000006
2022-02-10,1.698,0.6825000000000001,-3.1759999999999997,-3.8505000000000003
2022-02-11,2.178,0.6745000000000001,-3.504,-4.0409999999999995
2022-02-14,2.238,0.5385000000000001,-3.8340000000000005,-4.247
2022-02-15,0.8640000000000001,0.41200000000000003,-4.0200000000000005,-4.316
2022-02-16,-0.30999999999999994,0.28650000000000003,-4.454,-4.3425
2022-02-17,-0.892,0.16700000000000004,-4.952,-4.427
2022-02-18,-1.5,0.04150000000000002,-5.204,-4.4704999999999995
2022-02-22,-1.7399999999999998,-0.05349999999999997,-5.593999999999999,-4.5775
2022-02-23,-1.986,-0.13999999999999999,-6.590000000000001,-4.714
2022-02-24,-2.27,-0.22149999999999997,-7.340000000000001,-4.775
2022-02-25,-1.8239999999999998,-0.16499999999999998,-7.316,-4.720000000000001
2022-02-28,-1.348,-0.20400000000000001,-7.224000000000001,-4.774
2022-03-01,-1.028,-0.236,-7.164,-4.96
2022-03-02,-0.396,-0.227,-6.467999999999999,-5.099500000000001
2022-03-03,0.716,-0.1385,-6.128,-5.3025
2022-03-04,1.202,0.04600000000000002,-6.314,-5.439500000000001
2022-03-07,1.8539999999999999,0.296,-6.9719999999999995,-5.726
2022-03-08,2.332,0.4505,-7.531999999999999,-6.031000000000001
2022-03-09,2.564,0.2615,-7.954000000000001,-6.258
2022-03-10,2.076,0.05299999999999999,-8.366,-6.572
2022-03-11,1.7280000000000002,0.05349999999999999,-8.86,-6.8605
2022-03-14,1.29,0.07399999999999998,-8.962,-7.0905000000000005
2022-03-15,1.334,0.2245,-8.55,-7.210000000000001
2022-03-16,1.3559999999999999,0.38449999999999995,-8.196000000000002,-7.302000000000001
2022-03-17,2.124,0.6615,-7.537999999999999,-7.343000000000001
2022-03-18,2.7640000000000002,0.9675,-6.45,-7.235000000000001
2022-03-21,3.38,1.294,-5.236,-7.0985
2022-03-22,3.806,1.611,-4.188,-6.858499999999999
2022-03-23,4.022,1.8865000000000003,-3.7840000000000003,-6.600500000000001
2022-03-24,4.11,2.2565,-3.3899999999999997,-6.3555
2022-03-25,4.33,2.506,-3.106,-6.182499999999999
2022-03-28,4.69,2.8035,-2.69,-5.965000000000001
2022-03-29,5.128,3.15,-2.25,-5.63
