Date,rate_QQQ_5D,rate_QQQ_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-1.5079999999999998,,-0.648,
2022-01-10,-2.032,,-0.9019999999999999,
2022-01-11,-2.2159999999999997,,-1.024,
2022-01-12,-2.0460000000000003,,-0.9099999999999999,
2022-01-13,-2.2340000000000004,,-0.9879999999999999,
2022-01-14,-2.232,,-1.028,
2022-01-18,-2.594,,-1.314,
2022-01-19,-3.3240000000000003,,-1.8780000000000001,
2022-01-20,-4.29,,-2.646,
2022-01-21,-5.27,,-3.4859999999999998,
2022-01-24,-6.278,,-4.272,
2022-01-25,-7.292,,-4.998,
2022-01-26,-8.175999999999998,,-5.609999999999999,
2022-01-27,-9.036,,-6.144,
2022-01-28,-9.042,,-6.01,
2022-01-31,-8.61,-4.657,-5.634,-2.8954999999999997
2022-02-01,-7.664,-4.8955,-4.926,-3.035
2022-02-02,-6.556,-5.068,-4.018,-3.1325
2022-02-03,-5.986,-5.3395,-3.436,-3.284
2022-02-04,-5.683999999999999,-5.557499999999999,-3.164,-3.4120000000000004
2022-02-07,-6.016,-5.784,-3.2479999999999998,-3.5454999999999997
2022-02-08,-6.3020000000000005,-5.963,-3.3200000000000003,-3.6395000000000004
2022-02-09,-6.356,-6.103,-3.2879999999999994,-3.6985000000000006
2022-02-10,-6.122,-6.3585,-3.1759999999999997,-3.8505000000000003
2022-02-11,-6.647999999999999,-6.661,-3.504,-4.0409999999999995
2022-02-14,-7.019999999999999,-6.981,-3.8340000000000005,-4.247
2022-02-15,-7.151999999999999,-7.102500000000001,-4.0200000000000005,-4.316
2022-02-16,-7.659999999999999,-7.186999999999999,-4.454,-4.3425
2022-02-17,-8.296000000000001,-7.360000000000001,-4.952,-4.427
2022-02-18,-8.578,-7.4879999999999995,-5.204,-4.4704999999999995
2022-02-22,-9.052000000000001,-7.6745,-5.593999999999999,-4.5775
2022-02-23,-10.398,-7.879,-6.590000000000001,-4.714
2022-02-24,-11.180000000000001,-7.938,-7.340000000000001,-4.775
2022-02-25,-11.164000000000001,-7.892,-7.316,-4.720000000000001
2022-02-28,-10.896,-7.9515,-7.224000000000001,-4.774
2022-03-01,-10.664000000000001,-8.188,-7.164,-4.96
2022-03-02,-9.712,-8.391,-6.467999999999999,-5.099500000000001
2022-03-03,-9.564000000000002,-8.69,-6.128,-5.3025
2022-03-04,-9.928,-8.877500000000001,-6.314,-5.439500000000001
2022-03-07,-10.962,-9.271,-6.9719999999999995,-5.726
2022-03-08,-11.864,-9.65,-7.531999999999999,-6.031000000000001
2022-03-09,-12.464,-9.931500000000002,-7.954000000000001,-6.258
2022-03-10,-13.004,-10.352,-8.366,-6.572
2022-03-11,-13.646,-10.758500000000002,-8.86,-6.8605
2022-03-14,-13.984,-11.105,-8.962,-7.0905000000000005
2022-03-15,-13.734,-11.328500000000002,-8.55,-7.210000000000001
2022-03-16,-13.446000000000002,-11.504999999999999,-8.196000000000002,-7.302000000000001
2022-03-17,-12.762,-11.627500000000001,-7.537999999999999,-7.343000000000001
2022-03-18,-11.368,-11.5265,-6.45,-7.235000000000001
2022-03-21,-9.732,-11.3935,-5.236,-7.0985
2022-03-22,-8.256,-11.1295,-4.188,-6.858499999999999
2022-03-23,-7.668000000000001,-10.822500000000002,-3.7840000000000003,-6.600500000000001
2022-03-24,-6.888,-10.5545,-3.3899999999999997,-6.3555
2022-03-25,-6.486,-10.357000000000001,-3.106,-6.182499999999999
2022-03-28,-5.728,-10.1015,-2.69,-5.965000000000001
2022-03-29,-5.0,-9.7135,-2.25,-5.63
