Date,rate_WMB_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,77.48
2019-03-01,1.81,6.13,-4.32,71.36
2019-04-29,4.79,10.74,-5.95,69.04
2019-06-25,-0.86,9.75,-10.61,62.44
2019-08-21,-9.79,9.45,-19.24,50.2
2019-10-17,-13.2,11.38,-24.58,42.63
2019-12-13,-12.89,17.31,-30.2,34.66
2020-02-12,-16.71,23.26,-39.97,20.8
2020-04-09,-34.13,5.35,-39.48,21.5
2020-06-08,-13.33,21.76,-35.09,27.72
2020-08-04,-14.98,23.27,-38.25,23.24
2020-09-30,-20.81,22.35,-43.16,16.28
2020-11-25,-11.86,30.73,-42.59,17.09
2021-01-26,-12.05,37.01,-49.06,7.91
2021-03-24,-3.86,38.04,-41.9,18.07
2021-05-20,7.82,45.0,-37.18,24.76
2021-07-19,0.88,46.79,-45.91,12.38
2021-09-14,1.18,49.47,-48.29,9.0
2021-11-09,16.17,55.69,-39.52,21.44
2022-01-06,11.45,54.19,-42.74,16.87
2022-03-07,30.75,37.12,-6.37,68.45
2022-05-03,38.49,34.96,3.53,82.49
2022-06-30,22.6,22.0,0.6,78.33
2022-08-26,35.13,30.79,4.34,83.64
2022-10-24,21.24,22.72,-1.48,75.38
2022-12-20,25.32,22.59,2.73,81.35
2023-02-17,20.51,30.41,-9.9,63.44
2023-04-18,15.88,31.87,-15.99,54.81
2023-06-14,15.61,38.27,-22.66,45.35
2023-08-11,32.98,40.92,-7.94,66.22
2023-10-09,29.67,35.51,-5.84,69.2
2023-12-05,36.41,42.24,-5.83,69.21
2024-02-02,30.22,52.79,-22.57,45.48
2024-04-02,46.14,59.09,-12.95,59.12
2024-05-29,49.17,60.75,-11.58,61.06
2024-07-26,56.98,64.89,-7.91,66.26
