Date,rate_SPOT_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,40.21
2019-03-01,2.57,6.13,-3.56,38.36
2019-04-29,2.48,10.74,-8.26,35.91
2019-06-25,7.1,9.75,-2.65,38.83
2019-08-21,10.44,9.45,0.99,40.73
2019-10-17,-7.73,11.38,-19.11,30.27
2019-12-13,14.53,17.31,-2.78,38.76
2020-02-12,13.9,23.26,-9.36,35.34
2020-04-09,2.2,5.35,-3.15,38.57
2020-06-08,43.69,21.76,21.93,51.62
2020-08-04,88.65,23.27,65.38,74.22
2020-09-30,76.25,22.35,53.9,68.25
2020-11-25,92.84,30.73,62.11,72.52
2021-01-26,136.57,37.01,99.56,92.0
2021-03-24,78.45,38.04,40.41,61.23
2021-05-20,55.54,45.0,10.54,45.69
2021-07-19,62.15,46.79,15.36,48.2
2021-09-14,57.67,49.47,8.2,44.48
2021-11-09,77.93,55.69,22.24,51.78
2022-01-06,44.38,54.19,-9.81,35.11
2022-03-07,-17.33,37.12,-54.45,11.89
2022-05-03,-30.13,34.96,-65.09,6.35
2022-06-30,-39.76,22.0,-61.76,8.08
2022-08-26,-27.52,30.79,-58.31,9.88
2022-10-24,-35.5,22.72,-58.22,9.93
2022-12-20,-46.65,22.59,-69.24,4.19
2023-02-17,-11.69,30.41,-42.1,18.31
2023-04-18,-5.19,31.87,-37.06,20.93
2023-06-14,6.75,38.27,-31.52,23.81
2023-08-11,-0.01,40.92,-40.93,18.92
2023-10-09,7.92,35.51,-27.59,25.86
2023-12-05,36.81,42.24,-5.43,37.39
2024-02-02,50.09,52.79,-2.7,38.81
2024-04-02,79.69,59.09,20.6,50.93
2024-05-29,102.46,60.75,41.71,61.91
2024-07-26,109.61,64.89,44.72,63.47
