Date,rate_EA_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,60.62
2019-01-31,2.4,2.79,-0.39,60.09
2019-03-01,7.77,5.82,1.95,63.29
2019-03-29,12.26,6.59,5.67,68.39
2019-04-29,4.4,10.42,-6.02,52.38
2019-05-28,3.0,5.19,-2.19,57.63
2019-06-25,7.0,9.51,-2.51,57.19
2019-07-24,-0.88,12.59,-13.47,42.18
2019-08-21,2.13,8.26,-6.13,52.23
2019-09-19,7.27,11.09,-3.82,55.39
2019-10-17,4.09,10.2,-6.11,52.26
2019-11-14,4.81,13.63,-8.82,48.55
2019-12-13,12.08,16.06,-3.98,55.18
2020-01-14,17.03,19.31,-2.28,57.5
2020-02-12,16.87,22.17,-5.3,53.37
2020-03-12,-0.65,-7.39,6.74,69.85
2020-04-09,12.3,4.54,7.76,71.25
2020-05-08,23.19,9.68,13.51,79.12
2020-06-08,25.66,20.77,4.89,67.32
2020-07-07,40.76,16.81,23.95,93.41
2020-08-04,49.69,22.24,27.45,98.21
2020-09-01,44.07,26.62,17.45,84.52
2020-09-30,37.88,22.37,15.51,81.86
2020-10-28,32.11,18.79,13.32,78.86
2020-11-25,27.34,31.0,-3.66,55.61
2020-12-24,47.72,32.65,15.07,81.26
2021-01-26,51.49,37.29,14.2,80.07
2021-02-24,41.75,39.48,2.27,63.73
2021-03-24,33.03,38.31,-5.28,53.4
2021-04-22,43.97,44.93,-0.96,59.31
2021-05-20,43.79,45.12,-1.33,58.8
2021-06-18,42.36,44.74,-2.38,57.37
2021-07-19,41.77,46.9,-5.13,53.6
2021-08-16,40.67,52.69,-12.02,44.17
2021-09-14,43.65,50.65,-7.0,51.04
2021-10-12,35.5,46.96,-11.46,44.93
2021-11-09,37.97,57.28,-19.31,34.19
2021-12-08,24.39,57.14,-32.75,15.79
2022-01-06,27.19,55.71,-28.52,21.58
2022-02-04,34.52,48.73,-14.21,41.17
2022-03-07,23.05,38.56,-15.51,39.39
2022-04-04,24.44,50.04,-25.6,25.58
2022-05-03,18.87,36.37,-17.5,36.66
2022-06-01,34.86,33.73,1.13,62.17
2022-06-30,17.61,23.28,-5.67,52.86
2022-07-29,26.55,34.14,-7.59,50.23
2022-08-26,26.71,32.25,-5.54,53.04
2022-09-26,11.95,20.34,-8.39,49.14
2022-10-24,22.19,24.25,-2.06,57.8
2022-11-21,23.97,29.08,-5.11,53.63
2022-12-20,16.49,24.09,-7.6,50.22
2023-01-20,21.61,28.72,-7.11,50.89
2023-02-17,8.05,31.99,-23.94,27.85
2023-03-20,9.4,27.76,-18.36,35.49
2023-04-18,24.07,33.44,-9.37,47.8
2023-05-16,20.06,31.79,-11.73,44.56
2023-06-14,22.46,39.9,-17.44,36.75
2023-07-14,31.15,43.27,-12.12,44.03
2023-08-11,16.96,42.01,-25.05,26.33
2023-09-11,17.33,42.23,-24.9,26.53
2023-10-09,19.14,36.77,-17.63,36.49
2023-11-06,22.78,37.4,-14.62,40.61
2023-12-05,29.37,43.51,-14.14,41.27
2024-01-04,27.7,46.32,-18.62,35.13
2024-02-02,28.02,54.14,-26.12,24.86
2024-03-04,29.72,59.08,-29.36,20.43
2024-04-02,23.27,60.46,-37.19,9.71
2024-04-30,18.32,55.27,-36.95,10.04
2024-05-29,22.9,62.08,-39.18,6.98
2024-06-27,29.64,68.1,-38.46,7.97
2024-07-26,34.57,66.24,-31.67,17.26
