Date,rate_TSLA_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,5.44
2019-03-01,-7.45,4.16,-11.61,4.05
2019-04-29,-23.63,6.82,-30.45,1.8
2019-06-25,-29.86,6.5,-36.36,1.09
2019-08-21,-28.18,6.54,-34.72,1.29
2019-10-17,-15.76,8.17,-23.93,2.58
2019-12-13,14.33,12.49,1.84,5.66
2020-02-12,141.93,16.73,125.2,20.41
2020-04-09,81.3,6.61,74.69,14.37
2020-06-08,198.92,15.7,183.22,27.35
2020-08-04,366.37,17.06,349.31,47.21
2020-09-30,424.95,18.54,406.41,54.03
2020-11-25,531.61,24.19,507.42,66.11
2021-01-26,758.97,28.44,730.53,92.79
2021-03-24,573.0,29.89,543.11,70.38
2021-05-20,541.01,33.58,507.43,66.11
2021-07-19,584.73,34.93,549.8,71.18
2021-09-14,642.29,37.48,604.81,77.76
2021-11-09,751.01,40.66,710.35,90.37
2022-01-06,784.36,40.71,743.65,94.36
2022-03-07,718.72,34.08,684.64,87.3
2022-05-03,745.14,33.65,711.49,90.51
2022-06-30,685.62,28.31,657.31,84.03
2022-08-26,736.54,33.07,703.47,89.55
2022-10-24,681.6,27.74,653.86,83.62
2022-12-20,620.8,28.09,592.71,76.31
2023-02-17,686.82,33.55,653.27,83.55
2023-04-18,664.35,34.95,629.4,80.7
2023-06-14,732.22,39.63,692.59,88.25
2023-08-11,725.28,42.77,682.51,87.05
2023-10-09,736.48,41.21,695.27,88.57
2023-12-05,724.8,43.65,681.15,86.88
2024-02-02,676.83,47.41,629.42,80.7
2024-04-02,656.74,49.87,606.87,78.0
2024-05-29,665.76,50.6,615.16,78.99
2024-07-26,706.94,52.41,654.53,83.7
