Date,rate_INTU,rate_INTU_5D,rate_INTU_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.99,,,-0.02,,
2022-01-05,-2.85,,,-0.97,,
2022-01-06,-3.4,,,-1.04,,
2022-01-07,-4.82,-2.412,,-1.21,-0.648,
2022-01-10,-4.63,-3.338,,-1.27,-0.9019999999999999,
2022-01-11,-3.62,-3.864,,-0.63,-1.024,
2022-01-12,-3.8,-4.054,,-0.4,-0.9099999999999999,
2022-01-13,-6.65,-4.704,,-1.43,-0.9879999999999999,
2022-01-14,-6.9,-5.12,,-1.41,-1.028,
2022-01-18,-8.43,-5.880000000000001,,-2.7,-1.314,
2022-01-19,-7.54,-6.664,,-3.45,-1.8780000000000001,
2022-01-20,-7.63,-7.43,,-4.24,-2.646,
2022-01-21,-9.51,-8.002,,-5.63,-3.4859999999999998,
2022-01-24,-8.8,-8.382000000000001,,-5.34,-4.272,
2022-01-25,-11.46,-8.988000000000001,,-6.33,-4.998,
2022-01-26,-12.67,-10.014,,-6.51,-5.609999999999999,
2022-01-27,-11.28,-10.744,,-6.91,-6.144,
2022-01-28,-8.78,-10.597999999999999,,-4.96,-6.01,
2022-01-31,-5.87,-10.012,-6.4815,-3.46,-5.634,-2.8954999999999997
2022-02-01,-4.84,-8.687999999999999,-6.7235,-2.79,-4.926,-3.035
2022-02-02,-4.62,-7.078,-6.904999999999999,-1.97,-4.018,-3.1325
2022-02-03,-8.63,-6.548,-7.194,-4.0,-3.436,-3.284
2022-02-04,-7.37,-6.266,-7.3925,-3.6,-3.164,-3.4120000000000004
2022-02-07,-7.18,-6.5280000000000005,-7.5105,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-5.76,-6.712000000000001,-7.567,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-1.77,-6.142,-7.474500000000001,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-5.23,-5.462,-7.545999999999999,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-8.68,-5.724,-7.647500000000001,-5.24,-3.504,-4.0409999999999995
2022-02-14,-9.75,-6.238,-7.790000000000001,-5.53,-3.8340000000000005,-4.247
2022-02-15,-9.96,-7.078,-7.866499999999999,-4.08,-4.0200000000000005,-4.316
2022-02-16,-9.9,-8.704,-7.9845,-3.98,-4.454,-4.3425
2022-02-17,-15.09,-10.676,-8.3575,-5.93,-4.952,-4.427
2022-02-18,-17.52,-12.443999999999999,-8.758,-6.5,-5.204,-4.4704999999999995
2022-02-22,-17.19,-13.931999999999999,-9.1775,-7.48,-5.593999999999999,-4.5775
2022-02-23,-19.83,-15.906,-9.596,-9.06,-6.590000000000001,-4.714
2022-02-24,-14.94,-16.913999999999998,-9.7095,-7.73,-7.340000000000001,-4.775
2022-02-25,-16.55,-17.206,-9.973,-5.81,-7.316,-4.720000000000001
2022-02-28,-18.63,-17.427999999999997,-10.4655,-6.04,-7.224000000000001,-4.774
2022-03-01,-19.0,-17.79,-11.122,-7.18,-7.164,-4.96
2022-03-02,-16.19,-17.062,-11.689499999999999,-5.58,-6.467999999999999,-5.099500000000001
