Date,rate_MDT_5D,rate_MDT_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-0.17400000000000002,,-0.648,
2022-01-10,-0.22000000000000003,,-0.9019999999999999,
2022-01-11,0.025999999999999978,,-1.024,
2022-01-12,0.458,,-0.9099999999999999,
2022-01-13,0.9640000000000001,,-0.9879999999999999,
2022-01-14,1.42,,-1.028,
2022-01-18,1.684,,-1.314,
2022-01-19,1.666,,-1.8780000000000001,
2022-01-20,1.266,,-2.646,
2022-01-21,0.818,,-3.4859999999999998,
2022-01-24,0.20600000000000004,,-4.272,
2022-01-25,-0.262,,-4.998,
2022-01-26,-0.782,,-5.609999999999999,
2022-01-27,-1.22,,-6.144,
2022-01-28,-1.5939999999999999,,-6.01,
2022-01-31,-1.7119999999999997,-0.06499999999999999,-5.634,-2.8954999999999997
2022-02-01,-1.796,-0.1485,-4.926,-3.035
2022-02-02,-1.904,-0.2485,-4.018,-3.1325
2022-02-03,-2.068,-0.391,-3.436,-3.284
2022-02-04,-2.128,-0.485,-3.164,-3.4120000000000004
2022-02-07,-2.374,-0.615,-3.2479999999999998,-3.5454999999999997
2022-02-08,-2.248,-0.6555,-3.3200000000000003,-3.6395000000000004
2022-02-09,-1.746,-0.6915000000000001,-3.2879999999999994,-3.6985000000000006
2022-02-10,-1.256,-0.8195,-3.1759999999999997,-3.8505000000000003
2022-02-11,-1.202,-1.0265,-3.504,-4.0409999999999995
2022-02-14,-1.1440000000000001,-1.256,-3.8340000000000005,-4.247
2022-02-15,-1.192,-1.3745,-4.0200000000000005,-4.316
2022-02-16,-1.718,-1.5375,-4.454,-4.3425
2022-02-17,-2.294,-1.7095000000000002,-4.952,-4.427
2022-02-18,-2.7359999999999998,-1.9149999999999998,-5.204,-4.4704999999999995
2022-02-22,-2.476,-1.9265,-5.593999999999999,-4.5775
2022-02-23,-2.6379999999999995,-1.9685000000000001,-6.590000000000001,-4.714
2022-02-24,-2.604,-1.9929999999999999,-7.340000000000001,-4.775
2022-02-25,-1.8399999999999999,-1.8645,-7.316,-4.720000000000001
2022-02-28,-1.026,-1.7730000000000001,-7.224000000000001,-4.774
2022-03-01,-1.032,-1.7564999999999997,-7.164,-4.96
2022-03-02,-0.41600000000000004,-1.6235,-6.467999999999999,-5.099500000000001
2022-03-03,0.374,-1.4235000000000002,-6.128,-5.3025
2022-03-04,0.82,-1.1425,-6.314,-5.439500000000001
2022-03-07,1.12,-0.961,-6.9719999999999995,-5.726
2022-03-08,1.188,-0.866,-7.531999999999999,-6.031000000000001
2022-03-09,0.6679999999999999,-0.8945000000000001,-7.954000000000001,-6.258
2022-03-10,0.07999999999999999,-0.967,-8.366,-6.572
2022-03-11,-0.744,-1.0145,-8.86,-6.8605
2022-03-14,-1.378,-1.005,-8.962,-7.0905000000000005
2022-03-15,-1.1300000000000001,-0.8625,-8.55,-7.210000000000001
2022-03-16,-0.43199999999999994,-0.7045,-8.196000000000002,-7.302000000000001
2022-03-17,0.562,-0.3970000000000001,-7.537999999999999,-7.343000000000001
2022-03-18,1.7560000000000002,-0.002000000000000046,-6.45,-7.235000000000001
2022-03-21,2.7939999999999996,0.37749999999999995,-5.236,-7.0985
2022-03-22,3.464,0.6224999999999999,-4.188,-6.858499999999999
2022-03-23,3.248,0.7669999999999999,-3.7840000000000003,-6.600500000000001
2022-03-24,2.61,0.9065,-3.3899999999999997,-6.3555
2022-03-25,2.288,1.0299999999999998,-3.106,-6.182499999999999
2022-03-28,2.51,1.2615,-2.69,-5.965000000000001
2022-03-29,3.082,1.6509999999999998,-2.25,-5.63
