Date,rate_MSFT_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,2.48
2019-03-01,8.49,6.13,2.36,4.47
2019-04-29,24.56,10.74,13.82,14.11
2019-06-25,26.13,9.75,16.38,16.27
2019-08-21,27.89,9.45,18.44,18.0
2019-10-17,27.85,11.38,16.47,16.34
2019-12-13,39.65,17.31,22.34,21.28
2020-02-12,64.18,23.26,40.92,36.92
2020-04-09,45.01,5.35,39.66,35.86
2020-06-08,62.62,21.76,40.86,36.87
2020-08-04,81.63,23.27,58.36,51.6
2020-09-30,75.03,22.35,52.68,46.82
2020-11-25,76.28,30.73,45.55,40.82
2021-01-26,88.02,37.01,51.01,45.41
2021-03-24,86.45,38.04,48.41,43.23
2021-05-20,91.92,45.0,46.92,41.97
2021-07-19,112.01,46.79,65.22,57.37
2021-09-14,119.57,49.47,70.1,61.48
2021-11-09,141.77,55.69,86.08,74.93
2022-01-06,122.05,54.19,67.86,59.59
2022-03-07,94.35,37.12,57.23,50.65
2022-05-03,93.46,34.96,58.5,51.72
2022-06-30,75.29,22.0,53.29,47.33
2022-08-26,82.93,30.79,52.14,46.36
2022-10-24,69.08,22.72,46.36,41.5
2022-12-20,63.75,22.59,41.16,37.12
2023-02-17,72.98,30.41,42.57,38.31
2023-04-18,91.15,31.87,59.28,52.37
2023-06-14,120.69,38.27,82.42,71.85
2023-08-11,110.18,40.92,69.26,60.77
2023-10-09,111.3,35.51,75.79,66.27
2023-12-05,135.59,42.24,93.35,81.05
2024-02-02,156.64,52.79,103.85,89.88
2024-04-02,160.97,59.09,101.88,88.23
2024-05-29,164.08,60.75,103.33,89.45
2024-07-26,158.29,64.89,93.4,81.09
