Date,rate_AEP_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,74.2
2019-01-31,5.97,2.79,3.18,78.16
2019-03-01,7.91,5.82,2.09,76.8
2019-03-29,10.8,6.59,4.21,79.44
2019-04-29,10.91,10.42,0.49,74.81
2019-05-28,14.0,5.19,8.81,85.16
2019-06-25,18.35,9.51,8.84,85.2
2019-07-24,16.91,12.59,4.32,79.57
2019-08-21,17.57,8.26,9.31,85.79
2019-09-19,19.39,11.09,8.3,84.53
2019-10-17,18.67,10.2,8.47,84.74
2019-11-14,14.38,13.63,0.75,75.13
2019-12-13,17.07,16.06,1.01,75.45
2020-01-14,20.32,19.31,1.01,75.45
2020-02-12,28.19,22.17,6.02,81.69
2020-03-12,3.75,-7.39,11.14,88.06
2020-04-09,8.44,4.54,3.9,79.05
2020-05-08,0.35,9.68,-9.33,62.58
2020-06-08,10.22,20.77,-10.55,61.07
2020-07-07,3.29,16.81,-13.52,57.37
2020-08-04,7.12,22.24,-15.12,55.38
2020-09-01,0.33,26.62,-26.29,41.47
2020-09-30,4.76,22.37,-17.61,52.28
2020-10-28,15.27,18.79,-3.52,69.82
2020-11-25,8.7,31.0,-22.3,46.44
2020-12-24,3.58,32.65,-29.07,38.01
2021-01-26,4.03,37.29,-33.26,32.8
2021-02-24,-1.98,39.48,-41.46,22.59
2021-03-24,8.01,38.31,-30.3,36.48
2021-04-22,11.58,44.93,-33.35,32.69
2021-05-20,9.26,45.12,-35.86,29.56
2021-06-18,4.18,44.74,-40.56,23.71
2021-07-19,8.37,46.9,-38.53,26.24
2021-08-16,13.14,52.69,-39.55,24.97
2021-09-14,10.62,50.65,-40.03,24.37
2021-10-12,4.46,46.96,-42.5,21.3
2021-11-09,4.97,57.28,-52.31,9.09
2021-12-08,6.11,57.14,-51.03,10.68
2022-01-06,12.41,55.71,-43.3,20.3
2022-02-04,12.44,48.73,-36.29,29.03
2022-03-07,20.97,38.56,-17.59,52.3
2022-04-04,24.82,50.04,-25.22,42.81
2022-05-03,21.95,36.37,-14.42,56.25
2022-06-01,25.85,33.73,-7.88,64.39
2022-06-30,18.34,23.28,-4.94,68.05
2022-07-29,21.33,34.14,-12.81,58.25
2022-08-26,24.75,32.25,-7.5,64.86
2022-09-26,19.78,20.34,-0.56,73.5
2022-10-24,8.95,24.25,-15.3,55.15
2022-11-21,17.79,29.08,-11.29,60.14
2022-12-20,18.19,24.09,-5.9,66.85
2023-01-20,16.05,28.72,-12.67,58.43
2023-02-17,16.15,31.99,-15.84,54.48
2023-03-20,15.18,27.76,-12.58,58.54
2023-04-18,15.88,33.44,-17.56,52.34
2023-05-16,10.23,31.79,-21.56,47.36
2023-06-14,4.59,39.9,-35.31,30.25
2023-07-14,9.02,43.27,-34.25,31.57
2023-08-11,1.31,42.01,-40.7,23.54
2023-09-11,-0.99,42.23,-43.22,20.4
2023-10-09,-6.17,36.77,-42.94,20.75
2023-11-06,0.92,37.4,-36.48,28.79
2023-12-05,1.0,43.51,-42.51,21.28
2024-01-04,6.11,46.32,-40.21,24.15
2024-02-02,0.06,54.14,-54.08,6.88
2024-03-04,8.01,59.08,-51.07,10.63
2024-04-02,8.26,60.46,-52.2,9.22
2024-04-30,9.31,55.27,-45.96,16.99
2024-05-29,11.0,62.08,-51.08,10.62
2024-06-27,11.91,68.1,-56.19,4.26
2024-07-26,22.09,66.24,-44.15,19.24
