Date,rate_AMD_5D,rate_AMD_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-3.4560000000000004,,-0.648,
2022-01-10,-4.664,,-0.9019999999999999,
2022-01-11,-4.933999999999999,,-1.024,
2022-01-12,-4.640000000000001,,-0.9099999999999999,
2022-01-13,-4.843999999999999,,-0.9879999999999999,
2022-01-14,-4.338,,-1.028,
2022-01-18,-4.345999999999999,,-1.314,
2022-01-19,-5.286,,-1.8780000000000001,
2022-01-20,-6.906000000000001,,-2.646,
2022-01-21,-8.354000000000001,,-3.4859999999999998,
2022-01-24,-10.470000000000002,,-4.272,
2022-01-25,-12.746,,-4.998,
2022-01-26,-14.693999999999999,,-5.609999999999999,
2022-01-27,-16.991999999999997,,-6.144,
2022-01-28,-18.64,,-6.01,
2022-01-31,-18.924,-9.297,-5.634,-2.8954999999999997
2022-02-01,-18.104,-9.965,-4.926,-3.035
2022-02-02,-16.445999999999998,-10.34,-4.018,-3.1325
2022-02-03,-14.126,-10.666,-3.436,-3.284
2022-02-04,-11.672,-10.8775,-3.164,-3.4120000000000004
2022-02-07,-10.335999999999999,-11.017,-3.2479999999999998,-3.5454999999999997
2022-02-08,-8.796,-10.998000000000001,-3.3200000000000003,-3.6395000000000004
2022-02-09,-7.4,-10.9565,-3.2879999999999994,-3.6985000000000006
2022-02-10,-6.636,-11.165,-3.1759999999999997,-3.8505000000000003
2022-02-11,-8.084,-11.6875,-3.504,-4.0409999999999995
2022-02-14,-9.39,-12.28,-3.8340000000000005,-4.247
2022-02-15,-10.3,-12.4865,-4.0200000000000005,-4.316
2022-02-16,-12.392,-12.733,-4.454,-4.3425
2022-02-17,-14.262,-13.004,-4.952,-4.427
2022-02-18,-14.174000000000001,-13.142500000000002,-5.204,-4.4704999999999995
2022-02-22,-13.975999999999999,-13.1565,-5.593999999999999,-4.5775
2022-02-23,-15.65,-13.2125,-6.590000000000001,-4.714
2022-02-24,-15.803999999999998,-13.010499999999999,-7.340000000000001,-4.775
2022-02-25,-14.559999999999999,-12.396,-7.316,-4.720000000000001
2022-02-28,-13.2,-11.782499999999999,-7.224000000000001,-4.774
2022-03-01,-13.379999999999999,-11.7705,-7.164,-4.96
2022-03-02,-12.094,-11.709999999999999,-6.467999999999999,-5.099500000000001
2022-03-03,-12.672,-12.067,-6.128,-5.3025
2022-03-04,-14.386000000000001,-12.461,-6.314,-5.439500000000001
2022-03-07,-17.192,-13.1625,-6.9719999999999995,-5.726
2022-03-08,-18.344,-13.772499999999999,-7.531999999999999,-6.031000000000001
2022-03-09,-19.32,-14.341000000000003,-7.954000000000001,-6.258
2022-03-10,-20.078000000000003,-15.236499999999998,-8.366,-6.572
2022-03-11,-20.65,-15.964499999999997,-8.86,-6.8605
2022-03-14,-20.752,-16.329500000000003,-8.962,-7.0905000000000005
2022-03-15,-20.183999999999997,-16.471,-8.55,-7.210000000000001
2022-03-16,-19.526,-16.6475,-8.196000000000002,-7.302000000000001
2022-03-17,-18.744,-16.8245,-7.537999999999999,-7.343000000000001
2022-03-18,-17.387999999999998,-16.746,-6.45,-7.235000000000001
2022-03-21,-15.374,-16.6295,-5.236,-7.0985
2022-03-22,-14.572,-16.619999999999997,-4.188,-6.858499999999999
2022-03-23,-14.788,-16.432000000000002,-3.7840000000000003,-6.600500000000001
2022-03-24,-13.482,-16.244,-3.3899999999999997,-6.3555
2022-03-25,-12.564,-16.247,-3.106,-6.182499999999999
2022-03-28,-11.924,-16.3105,-2.69,-5.965000000000001
2022-03-29,-10.672,-15.943000000000001,-2.25,-5.63
