Date,rate_MMM,rate_MMM_5D,rate_MMM_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.7,,,-0.02,,
2022-01-05,0.49,,,-0.97,,
2022-01-06,0.07,,,-1.04,,
2022-01-07,0.62,0.376,,-1.21,-0.648,
2022-01-10,-0.09,0.358,,-1.27,-0.9019999999999999,
2022-01-11,0.57,0.33199999999999996,,-0.63,-1.024,
2022-01-12,0.75,0.384,,-0.4,-0.9099999999999999,
2022-01-13,1.43,0.6559999999999999,,-1.43,-0.9879999999999999,
2022-01-14,0.47,0.626,,-1.41,-1.028,
2022-01-18,0.27,0.6980000000000001,,-2.7,-1.314,
2022-01-19,0.36,0.6559999999999999,,-3.45,-1.8780000000000001,
2022-01-20,-1.71,0.16400000000000006,,-4.24,-2.646,
2022-01-21,-2.1,-0.542,,-5.63,-3.4859999999999998,
2022-01-24,-2.03,-1.0419999999999998,,-5.34,-4.272,
2022-01-25,-1.57,-1.41,,-6.33,-4.998,
2022-01-26,-3.75,-2.232,,-6.51,-5.609999999999999,
2022-01-27,-3.33,-2.556,,-6.91,-6.144,
2022-01-28,-6.79,-3.4939999999999998,,-4.96,-6.01,
2022-01-31,-5.36,-4.16,-1.05,-3.46,-5.634,-2.8954999999999997
2022-02-01,-4.47,-4.74,-1.2734999999999999,-2.79,-4.926,-3.035
2022-02-02,-4.86,-4.962,-1.5515,-1.97,-4.018,-3.1325
2022-02-03,-6.03,-5.502000000000001,-1.8775000000000002,-4.0,-3.436,-3.284
2022-02-04,-7.91,-5.726,-2.2765,-3.6,-3.164,-3.4120000000000004
2022-02-07,-7.68,-6.1899999999999995,-2.6915,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-7.01,-6.698,-3.0375,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-6.35,-6.996,-3.3835,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-8.45,-7.4799999999999995,-3.8435,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-8.56,-7.609999999999999,-4.343,-5.24,-3.504,-4.0409999999999995
2022-02-14,-9.39,-7.952,-4.836,-5.53,-3.8340000000000005,-4.247
2022-02-15,-9.76,-8.502,-5.3375,-4.08,-4.0200000000000005,-4.316
2022-02-16,-10.7,-9.372,-5.8905,-3.98,-4.454,-4.3425
2022-02-17,-14.58,-10.597999999999999,-6.534000000000001,-5.93,-4.952,-4.427
2022-02-18,-15.14,-11.914,-7.186,-6.5,-5.204,-4.4704999999999995
2022-02-22,-15.62,-13.16,-7.8655,-7.48,-5.593999999999999,-4.5775
2022-02-23,-16.93,-14.594,-8.633500000000002,-9.06,-6.590000000000001,-4.714
2022-02-24,-17.31,-15.916,-9.3115,-7.73,-7.340000000000001,-4.775
2022-02-25,-13.54,-15.707999999999998,-9.822,-5.81,-7.316,-4.720000000000001
2022-02-28,-14.57,-15.594,-10.211,-6.04,-7.224000000000001,-4.774
2022-03-01,-16.26,-15.722,-10.756,-7.18,-7.164,-4.96
2022-03-02,-14.91,-15.318000000000001,-11.278,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-14.32,-14.719999999999999,-11.751000000000001,-6.03,-6.128,-5.3025
2022-03-04,-15.18,-15.048000000000002,-12.2085,-6.74,-6.314,-5.439500000000001
2022-03-07,-17.06,-15.546000000000001,-12.666,-9.33,-6.9719999999999995,-5.726
2022-03-08,-15.88,-15.469999999999999,-13.075999999999999,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-15.21,-15.530000000000001,-13.486,-7.69,-7.954000000000001,-6.258
2022-03-10,-16.7,-16.006,-14.003499999999999,-8.09,-8.366,-6.572
2022-03-11,-18.36,-16.642,-14.499,-9.21,-8.86,-6.8605
2022-03-14,-16.95,-16.62,-14.9185,-9.84,-8.962,-7.0905000000000005
2022-03-15,-16.48,-16.74,-15.273000000000001,-7.92,-8.55,-7.210000000000001
2022-03-16,-15.8,-16.858,-15.575,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-14.57,-16.432,-15.768499999999998,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-14.21,-15.602,-15.75,-3.77,-6.45,-7.235000000000001
2022-03-21,-14.06,-15.024000000000001,-15.696000000000002,-3.77,-5.236,-7.0985
2022-03-22,-13.29,-14.386000000000001,-15.5795,-2.68,-4.188,-6.858499999999999
2022-03-23,-14.58,-14.142000000000001,-15.462,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-13.83,-13.994,-15.288,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-12.99,-13.75,-15.260500000000002,-2.35,-3.106,-6.182499999999999
2022-03-28,-13.56,-13.65,-15.209999999999999,-1.69,-2.69,-5.965000000000001
2022-03-29,-12.06,-13.404000000000002,-15.0,-0.48,-2.25,-5.63
2022-03-30,-12.43,-12.974,-14.876000000000001,-1.09,-1.688,-5.4055
2022-03-31,-13.89,-12.986,-14.854500000000002,-2.57,-1.636,-5.2325
2022-04-01,-13.03,-12.994,-14.747,-2.24,-1.614,-5.0075
2022-04-04,-13.12,-12.906,-14.55,-1.45,-1.566,-4.6135
2022-04-05,-13.48,-13.190000000000001,-14.430000000000001,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-12.69,-13.241999999999999,-14.303999999999998,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-12.89,-13.041999999999998,-14.113499999999998,-3.1,-2.596,-3.79
2022-04-08,-12.97,-13.030000000000001,-13.844,-3.33,-2.814,-3.496
2022-04-11,-12.79,-12.963999999999999,-13.636,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-13.67,-13.001999999999999,-13.495500000000002,-5.28,-4.044,-3.119
2022-04-13,-13.63,-13.190000000000001,-13.387,-4.23,-4.176,-3.0345
2022-04-14,-14.36,-13.484,-13.376499999999998,-5.37,-4.630000000000001,-3.063
2022-04-18,-15.04,-13.898,-13.418000000000001,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,-12.79,-13.898,-13.354499999999998,-3.88,-4.822000000000001,-3.1475
2022-04-20,-12.51,-13.666,-13.3155,-3.95,-4.556,-3.211
2022-04-21,-11.83,-13.306000000000001,-13.178,-5.34,-4.7780000000000005,-3.283
2022-04-22,-13.32,-13.098000000000003,-13.1525,-7.86,-5.276,-3.5345
2022-04-25,-13.65,-12.819999999999999,-13.1855,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-16.17,-13.496,-13.315999999999999,-9.95,-6.894,-4.1985
2022-04-27,-16.18,-14.23,-13.522,-9.73,-8.05,-4.661
2022-04-28,-14.49,-14.762,-13.625,-7.52,-8.485999999999999,-4.9825
2022-04-29,-16.17,-15.331999999999999,-13.738999999999999,-10.83,-9.08,-5.3955
2022-05-02,-14.77,-15.556000000000001,-13.826000000000002,-9.99,-9.604,-5.7829999999999995
2022-05-03,-13.53,-15.028,-13.8465,-9.62,-9.538,-6.1915
2022-05-04,-10.01,-13.794,-13.672999999999998,-6.99,-8.99,-6.410000000000001
2022-05-05,-12.74,-13.443999999999999,-13.6755,-10.13,-9.512,-6.7379999999999995
2022-05-06,-12.7,-12.75,-13.666,-10.67,-9.48,-7.1165
2022-05-09,-11.07,-12.010000000000002,-13.570999999999998,-13.43,-10.168,-7.6215
2022-05-10,-12.94,-11.892,-13.578500000000002,-13.22,-10.888,-8.0355
2022-05-11,-14.5,-12.790000000000001,-13.62,-14.58,-12.406,-8.500499999999999
2022-05-12,-12.67,-12.776,-13.572,-14.64,-13.308000000000002,-9.021
2022-05-13,-12.84,-12.803999999999998,-13.496,-12.68,-13.709999999999999,-9.3865
2022-05-16,-12.15,-13.02,-13.351500000000001,-12.99,-13.622,-9.7685
2022-05-17,-11.09,-12.65,-13.266500000000002,-11.29,-13.236,-10.139
2022-05-18,-13.06,-12.362,-13.294,-14.71,-13.262,-10.677
