Date,rate_OXY_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,18750.0
2022-01-05,0.0,0.0,223.71
2022-01-06,0.0,0.0,362.5
2022-01-07,2.22,0.0,385.12
2022-01-10,2.65,0.0,266.93
2022-01-11,3.43,0.0,1312.7
2022-01-12,4.74,0.0,2040.0
2022-01-13,5.46,0.0,542.66
2022-01-14,6.68,0.0,778.01
2022-01-18,8.42,0.0,500.0
2022-01-19,8.95,0.0,399.13
2022-01-20,9.05,0.0,294.1
2022-01-21,8.86,0.0,195.56
2022-01-24,8.15,0.0,212.36
2022-01-25,8.7,0.0,314.53
2022-01-26,9.51,0.0,320.74
2022-01-27,10.85,0.0,315.92
2022-01-28,12.93,0.0,417.94
2022-01-31,14.94,-2.9,563.87
2022-02-01,16.19,-3.04,811.83
2022-02-02,17.47,-3.13,1152.79
2022-02-03,18.83,-3.28,643.75
2022-02-04,20.46,-3.41,763.33
2022-02-07,22.13,-3.55,729.12
2022-02-08,22.16,-3.64,735.56
2022-02-09,22.52,-3.7,1345.86
2022-02-10,22.88,-3.85,784.88
2022-02-11,24.04,-4.04,666.41
2022-02-14,24.17,-4.25,552.44
2022-02-15,24.38,-4.32,617.16
2022-02-16,23.98,-4.34,615.83
2022-02-17,23.49,-4.43,456.16
2022-02-18,21.61,-4.47,411.85
2022-02-22,19.95,-4.58,323.93
2022-02-23,19.29,-4.71,296.47
2022-02-24,18.88,-4.78,338.68
2022-02-25,18.24,-4.72,408.78
2022-02-28,20.61,-4.77,631.95
2022-03-01,24.68,-4.96,616.16
2022-03-02,29.14,-5.1,818.82
2022-03-03,33.23,-5.3,745.44
2022-03-04,40.67,-5.44,917.95
2022-03-07,44.97,-5.73,674.92
2022-03-08,47.92,-6.03,619.14
2022-03-09,51.63,-6.26,862.42
2022-03-10,55.86,-6.57,843.02
2022-03-11,56.78,-6.86,748.1
2022-03-14,56.88,-7.09,650.2
2022-03-15,56.8,-7.21,749.24
2022-03-16,54.57,-7.3,902.03
2022-03-17,54.61,-7.34,1356.88
2022-03-18,53.83,-7.24,1580.11
2022-03-21,56.58,-7.1,1900.8
2022-03-22,59.2,-6.86,2507.09
2022-03-23,62.71,-6.6,1767.18
2022-03-24,62.58,-6.36,2208.48
2022-03-25,63.84,-6.18,2743.83
2022-03-28,61.63,-5.97,3462.72
2022-03-29,60.18,-5.63,12022.92
2022-03-30,58.98,-5.41,5518.35
2022-03-31,58.47,-5.23,2321.4
2022-04-01,57.83,-5.01,2731.7
2022-04-04,58.09,-4.61,4108.97
2022-04-05,57.17,-4.25,2108.78
2022-04-06,56.09,-4.04,1602.52
2022-04-07,56.24,-3.79,1965.81
2022-04-08,58.2,-3.5,2165.47
2022-04-11,58.27,-3.25,1283.6
2022-04-12,60.1,-3.12,1269.7
2022-04-13,61.98,-3.03,1590.78
2022-04-14,62.87,-3.06,1260.15
2022-04-18,62.67,-3.14,1366.73
2022-04-19,64.0,-3.15,1777.58
2022-04-20,65.25,-3.21,1822.53
2022-04-21,65.02,-3.28,1258.99
2022-04-22,63.54,-3.53,798.47
2022-04-25,60.04,-3.79,782.36
2022-04-26,57.03,-4.2,602.71
2022-04-27,53.84,-4.66,635.56
2022-04-28,52.67,-4.98,845.08
2022-04-29,51.84,-5.4,568.61
2022-05-02,53.34,-5.78,678.48
2022-05-03,55.4,-6.19,726.82
2022-05-04,58.28,-6.41,1051.79
2022-05-05,60.77,-6.74,775.81
2022-05-06,65.73,-7.12,808.06
2022-05-09,65.48,-7.62,521.15
2022-05-10,65.58,-8.04,559.76
2022-05-11,64.8,-8.5,529.63
2022-05-12,63.16,-9.02,511.68
2022-05-13,62.72,-9.39,678.39
2022-05-16,68.03,-9.77,739.95
2022-05-17,72.62,-10.14,841.54
2022-05-18,74.88,-10.68,602.58
2022-05-19,77.43,-11.17,578.19
2022-05-20,76.99,-11.54,566.43
