Date,rate_GOOG_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,11.01
2019-01-31,4.49,2.79,1.7,12.91
2019-03-01,6.53,5.82,0.71,11.8
2019-03-29,9.3,6.59,2.71,14.04
2019-04-29,19.46,10.42,9.04,21.11
2019-05-28,5.08,5.19,-0.11,10.89
2019-06-25,0.74,9.51,-8.77,1.21
2019-07-24,5.41,12.59,-7.18,2.98
2019-08-21,9.16,8.26,0.9,12.02
2019-09-19,13.55,11.09,2.46,13.76
2019-10-17,14.57,10.2,4.37,15.89
2019-11-14,19.42,13.63,5.79,17.48
2019-12-13,22.23,16.06,6.17,17.91
2020-01-14,29.04,19.31,9.73,21.88
2020-02-12,36.03,22.17,13.86,26.5
2020-03-12,-0.14,-7.39,7.25,19.11
2020-04-09,8.34,4.54,3.8,15.26
2020-05-08,23.64,9.68,13.96,26.61
2020-06-08,28.22,20.77,7.45,19.34
2020-07-07,31.11,16.81,14.3,26.99
2020-08-04,28.67,22.24,6.43,18.2
2020-09-01,38.15,26.62,11.53,23.9
2020-09-30,27.13,22.37,4.76,16.33
2020-10-28,30.4,18.79,11.61,23.99
2020-11-25,51.32,31.0,20.32,33.72
2020-12-24,47.6,32.65,14.95,27.72
2021-01-26,61.71,37.29,24.42,38.3
2021-02-24,75.41,39.48,35.93,51.17
2021-03-24,69.96,38.31,31.65,46.38
2021-04-22,86.92,44.93,41.99,57.94
2021-05-20,92.54,45.12,47.42,64.01
2021-06-18,103.15,44.74,58.41,76.29
2021-07-19,107.25,46.9,60.35,78.46
2021-08-16,119.4,52.69,66.71,85.57
2021-09-14,120.18,50.65,69.53,88.72
2021-10-12,109.65,46.96,62.69,81.08
2021-11-09,126.75,57.28,69.47,88.66
2021-12-08,124.07,57.14,66.93,85.82
2022-01-06,105.65,55.71,49.94,66.83
2022-02-04,112.15,48.73,63.42,81.89
2022-03-07,86.42,38.56,47.86,64.5
2022-04-04,110.07,50.04,60.03,78.1
2022-05-03,71.87,36.37,35.5,50.69
2022-06-01,65.17,33.73,31.44,46.15
2022-06-30,58.28,23.28,35.0,50.13
2022-07-29,67.86,34.14,33.72,48.7
2022-08-26,61.79,32.25,29.54,44.03
2022-09-26,44.47,20.34,24.13,37.98
2022-10-24,49.91,24.25,25.66,39.69
2022-11-21,39.09,29.08,10.01,22.2
2022-12-20,29.64,24.09,5.55,17.21
2023-01-20,43.16,28.72,14.44,27.15
2023-02-17,35.89,31.99,3.9,15.37
2023-03-20,45.93,27.76,18.17,31.32
2023-04-18,49.86,33.44,16.42,29.36
2023-05-16,70.43,31.79,38.64,54.2
2023-06-14,75.59,39.9,35.69,50.9
2023-07-14,76.59,43.27,33.32,48.25
2023-08-11,82.5,42.01,40.49,56.26
2023-09-11,89.26,42.23,47.03,63.57
2023-10-09,90.67,36.77,53.9,71.25
2023-11-06,79.35,37.4,41.95,57.9
2023-12-05,79.69,43.51,36.18,51.45
2024-01-04,86.36,46.32,40.04,55.76
2024-02-02,92.76,54.14,38.62,54.17
2024-03-04,79.36,59.08,20.28,33.68
2024-04-02,106.1,60.46,45.64,62.02
2024-04-30,117.5,55.27,62.23,80.56
2024-05-29,132.91,62.08,70.83,90.18
2024-06-27,143.87,68.1,75.77,95.7
2024-07-26,118.83,66.24,52.59,69.79
