Date,rate_PYPL_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-4750.0
2022-01-05,0.0,0.0,-105.15
2022-01-06,0.0,0.0,34.62
2022-01-07,-1.1,0.0,-55.37
2022-01-10,-1.72,0.0,-141.73
2022-01-11,-1.47,0.0,144.44
2022-01-12,-1.35,0.0,-252.5
2022-01-13,-1.98,0.0,-167.13
2022-01-14,-2.57,0.0,-242.55
2022-01-18,-3.23,0.0,-136.3
2022-01-19,-4.63,0.0,-95.07
2022-01-20,-5.72,0.0,-61.32
2022-01-21,-7.08,0.0,-88.99
2022-01-24,-8.35,0.0,-109.18
2022-01-25,-9.68,0.0,-105.69
2022-01-26,-11.05,0.0,-108.76
2022-01-27,-12.3,0.0,-89.0
2022-01-28,-12.28,0.0,-112.5
2022-01-31,-11.37,-2.9,-91.33
2022-02-01,-9.67,-3.04,-62.37
2022-02-02,-12.07,-3.13,-1200.0
2022-02-03,-15.39,-3.28,-641.0
2022-02-04,-19.03,-3.41,-699.17
2022-02-07,-23.92,-3.55,-700.26
2022-02-08,-29.34,-3.64,-904.76
2022-02-09,-30.27,-3.7,-1571.27
2022-02-10,-30.8,-3.85,-838.95
2022-02-11,-31.9,-4.04,-553.82
2022-02-14,-32.67,-4.25,-530.56
2022-02-15,-33.16,-4.32,-736.76
2022-02-16,-34.48,-4.34,-825.13
2022-02-17,-35.96,-4.43,-569.98
2022-02-18,-37.23,-4.47,-524.15
2022-02-22,-38.42,-4.58,-445.86
2022-02-23,-40.02,-4.71,-365.34
2022-02-24,-40.62,-4.78,-415.14
2022-02-25,-40.0,-4.72,-529.95
2022-02-28,-39.09,-4.77,-497.02
2022-03-01,-38.51,-4.96,-427.72
2022-03-02,-37.64,-5.1,-578.14
2022-03-03,-37.82,-5.3,-574.79
2022-03-04,-38.79,-5.44,-515.13
2022-03-07,-40.55,-5.73,-380.81
2022-03-08,-41.8,-6.03,-342.18
2022-03-09,-42.45,-6.26,-434.85
2022-03-10,-42.73,-6.57,-420.02
2022-03-11,-43.08,-6.86,-368.95
2022-03-14,-42.71,-7.09,-337.2
2022-03-15,-42.07,-7.21,-417.17
2022-03-16,-41.18,-7.3,-519.43
2022-03-17,-39.61,-7.34,-613.12
2022-03-18,-37.06,-7.24,-706.9
2022-03-21,-35.01,-7.1,-769.76
2022-03-22,-33.01,-6.86,-1054.1
2022-03-23,-32.23,-6.6,-740.77
2022-03-24,-31.78,-6.36,-1030.04
2022-03-25,-32.36,-6.18,-1317.45
2022-03-28,-32.18,-5.97,-1788.17
2022-03-29,-31.8,-5.63,-5943.75
2022-03-30,-31.36,-5.41,-2704.59
2022-03-31,-31.4,-5.23,-1153.7
2022-04-01,-30.88,-5.01,-1270.09
2022-04-04,-30.05,-4.61,-1815.86
2022-04-05,-30.29,-4.25,-1053.05
2022-04-06,-30.82,-4.04,-829.69
2022-04-07,-30.95,-3.79,-960.32
2022-04-08,-31.6,-3.5,-918.92
2022-04-11,-32.99,-3.25,-603.04
2022-04-12,-34.07,-3.12,-575.19
2022-04-13,-34.93,-3.03,-785.34
2022-04-14,-36.18,-3.06,-628.49
2022-04-18,-37.42,-3.14,-650.09
2022-04-19,-38.13,-3.15,-887.63
2022-04-20,-39.7,-3.21,-1000.76
2022-04-21,-41.55,-3.28,-774.91
2022-04-22,-43.47,-3.53,-519.59
2022-04-25,-44.98,-3.79,-546.81
2022-04-26,-47.33,-4.2,-403.22
2022-04-27,-48.78,-4.66,-421.27
2022-04-28,-48.46,-4.98,-500.13
2022-04-29,-48.23,-5.4,-339.34
2022-05-02,-47.53,-5.78,-342.04
2022-05-03,-46.45,-6.19,-364.14
2022-05-04,-45.0,-6.41,-521.75
2022-05-05,-45.52,-6.74,-371.57
2022-05-06,-46.0,-7.12,-368.42
2022-05-09,-47.42,-7.62,-281.61
2022-05-10,-48.84,-8.04,-291.23
2022-05-11,-50.92,-8.5,-269.48
2022-05-12,-52.24,-9.02,-271.58
2022-05-13,-52.58,-9.39,-307.49
2022-05-16,-52.81,-9.77,-303.23
2022-05-17,-52.69,-10.14,-352.7
2022-05-18,-52.45,-10.68,-258.06
2022-05-19,-51.6,-11.17,-228.62
2022-05-20,-51.39,-11.54,-232.0
2022-05-23,-50.97,-11.86,-267.25
2022-05-24,-51.1,-12.08,-262.42
2022-05-25,-50.75,-12.27,-274.47
2022-05-26,-50.85,-12.49,-325.42
2022-05-27,-50.28,-12.44,-389.15
2022-05-31,-49.79,-12.45,-365.79
2022-06-01,-49.05,-12.5,-349.77
2022-06-02,-47.78,-12.61,-391.39
2022-06-03,-46.76,-12.62,-334.48
2022-06-06,-46.29,-12.6,-342.98
2022-06-07,-45.6,-12.4,-371.6
2022-06-08,-44.99,-12.26,-334.04
2022-06-09,-45.51,-12.15,-279.47
2022-06-10,-46.41,-12.17,-235.83
2022-06-13,-48.05,-12.44,-195.92
2022-06-14,-50.06,-12.7,-197.0
2022-06-15,-51.52,-13.0,-204.48
2022-06-16,-53.13,-13.26,-178.27
2022-06-17,-53.93,-13.47,-175.94
2022-06-21,-54.1,-13.6,-207.57
2022-06-22,-54.04,-13.81,-202.52
2022-06-23,-54.29,-13.94,-214.38
2022-06-24,-53.48,-13.99,-252.03
2022-06-27,-53.1,-14.14,-252.02
2022-06-28,-53.17,-14.48,-229.59
2022-06-29,-53.36,-14.81,-225.24
2022-06-30,-53.86,-15.16,-219.19
2022-07-01,-54.34,-15.52,-229.18
2022-07-05,-54.25,-15.8,-220.69
