Date,rate_ADI_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,6.66
2019-03-01,22.28,6.13,16.15,34.91
2019-04-29,26.08,10.74,15.34,33.49
2019-06-25,20.99,9.75,11.24,26.32
2019-08-21,19.74,9.45,10.29,24.66
2019-10-17,20.26,11.38,8.88,22.19
2019-12-13,28.71,17.31,11.4,26.6
2020-02-12,27.6,23.26,4.34,14.25
2020-04-09,5.98,5.35,0.63,7.76
2020-06-08,31.81,21.76,10.05,24.24
2020-08-04,23.67,23.27,0.4,7.36
2020-09-30,22.44,22.35,0.09,6.82
2020-11-25,37.67,30.73,6.94,18.8
2021-01-26,53.43,37.01,16.42,35.38
2021-03-24,47.25,38.04,9.21,22.77
2021-05-20,54.23,45.0,9.23,22.81
2021-07-19,51.66,46.79,4.87,15.18
2021-09-14,65.92,49.47,16.45,35.43
2021-11-09,75.74,55.69,20.05,41.73
2022-01-06,62.73,54.19,8.54,21.6
2022-03-07,36.01,37.12,-1.11,4.72
2022-05-03,46.31,34.96,11.35,26.51
2022-06-30,33.91,22.0,11.91,27.49
2022-08-26,48.22,30.79,17.43,37.15
2022-10-24,36.63,22.72,13.91,30.99
2022-12-20,54.05,22.59,31.46,61.68
2023-02-17,78.91,30.41,48.5,91.48
2023-04-18,74.16,31.87,42.29,80.62
2023-06-14,74.62,38.27,36.35,70.23
2023-08-11,69.29,40.92,28.37,56.28
2023-10-09,59.24,35.51,23.73,48.16
2023-12-05,64.6,42.24,22.36,45.77
2024-02-02,73.75,52.79,20.96,43.32
2024-04-02,74.65,59.09,15.56,33.88
2024-05-29,104.52,60.75,43.77,83.21
2024-07-26,100.82,64.89,35.93,69.5
