Date,rate_SLB_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,64.3
2019-01-31,3.48,2.79,0.69,64.85
2019-03-01,5.29,5.82,-0.53,63.88
2019-03-29,1.73,6.59,-4.86,60.43
2019-04-29,1.28,10.42,-9.14,57.03
2019-05-28,-14.62,5.19,-19.81,48.53
2019-06-25,-9.3,9.51,-18.81,49.33
2019-07-24,-5.01,12.59,-17.6,50.29
2019-08-21,-18.76,8.26,-27.02,42.79
2019-09-19,-7.48,11.09,-18.57,49.52
2019-10-17,-21.27,10.2,-31.47,39.25
2019-11-14,-14.1,13.63,-27.73,42.23
2019-12-13,-3.32,16.06,-19.38,48.87
2020-01-14,-2.01,19.31,-21.32,47.33
2020-02-12,-12.66,22.17,-34.83,36.57
2020-03-12,-63.12,-7.39,-55.73,19.93
2020-04-09,-56.55,4.54,-61.09,15.67
2020-05-08,-51.11,9.68,-60.79,15.91
2020-06-08,-34.93,20.77,-55.7,19.96
2020-07-07,-48.87,16.81,-65.68,12.01
2020-08-04,-45.32,22.24,-67.56,10.52
2020-09-01,-45.51,26.62,-72.13,6.88
2020-09-30,-53.77,22.37,-76.14,3.69
2020-10-28,-56.96,18.79,-75.75,4.0
2020-11-25,-31.86,31.0,-62.86,14.26
2020-12-24,-32.72,32.65,-65.37,12.26
2021-01-26,-28.79,37.29,-66.08,11.69
2021-02-24,-8.62,39.48,-48.1,26.01
2021-03-24,-14.52,38.31,-52.83,22.24
2021-04-22,-21.01,44.93,-65.94,11.81
2021-05-20,-0.58,45.12,-45.7,27.92
2021-06-18,-2.18,44.74,-46.92,26.95
2021-07-19,-16.61,46.9,-63.51,13.74
2021-08-16,-12.3,52.69,-64.99,12.56
2021-09-14,-12.53,50.65,-63.18,14.0
2021-10-12,3.51,46.96,-43.45,29.71
2021-11-09,7.42,57.28,-49.86,24.61
2021-12-08,-0.92,57.14,-58.06,18.08
2022-01-06,7.53,55.71,-48.18,25.95
2022-02-04,20.17,48.73,-28.56,41.57
2022-03-07,30.77,38.56,-7.79,58.1
2022-04-04,28.94,50.04,-21.1,47.5
2022-05-03,24.28,36.37,-12.09,54.68
2022-06-01,43.85,33.73,10.12,72.36
2022-06-30,10.21,23.28,-13.07,53.9
2022-07-29,14.08,34.14,-20.06,48.33
2022-08-26,17.83,32.25,-14.42,52.82
2022-09-26,2.86,20.34,-17.48,50.39
2022-10-24,57.62,24.25,33.37,90.87
2022-11-21,57.21,29.08,28.13,86.7
2022-12-20,55.0,24.09,30.91,88.91
2023-01-20,70.95,28.72,42.23,97.92
2023-02-17,58.25,31.99,26.26,85.21
2023-03-20,36.57,27.76,8.81,71.32
2023-04-18,53.48,33.44,20.04,80.26
2023-05-16,26.83,31.79,-4.96,60.35
2023-06-14,38.18,39.9,-1.72,62.93
2023-07-14,66.31,43.27,23.04,82.64
2023-08-11,71.59,42.01,29.58,87.85
2023-09-11,72.44,42.23,30.21,88.35
2023-10-09,64.78,36.77,28.01,86.6
2023-11-06,59.13,37.4,21.73,81.6
2023-12-05,42.15,43.51,-1.36,63.22
2024-01-04,44.67,46.32,-1.65,62.99
2024-02-02,38.49,54.14,-15.65,51.84
2024-03-04,39.46,59.08,-19.62,48.68
2024-04-02,53.58,60.46,-6.88,58.82
2024-04-30,33.39,55.27,-21.88,46.88
2024-05-29,27.88,62.08,-34.2,37.08
2024-06-27,31.65,68.1,-36.45,35.28
2024-07-26,36.42,66.24,-29.82,40.56
