Date,rate_JPM,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,1.88,0.0,0.0
2022-01-05,0.64,0.0,0.0
2022-01-06,1.17,0.0,0.0
2022-01-07,1.67,1.0719999999999998,0.0
2022-01-10,1.72,1.416,0.0
2022-01-11,1.8,1.4,0.0
2022-01-12,2.23,1.718,0.0
2022-01-13,2.13,1.9100000000000001,0.0
2022-01-14,-2.55,1.066,0.0
2022-01-18,-5.55,-0.3879999999999999,0.0
2022-01-19,-6.61,-2.07,0.0
2022-01-20,-7.18,-3.9519999999999995,0.0
2022-01-21,-8.35,-6.048,0.0
2022-01-24,-8.41,-7.219999999999999,0.0
2022-01-25,-7.56,-7.622,0.0
2022-01-26,-6.8,-7.659999999999999,0.0
2022-01-27,-8.22,-7.867999999999999,0.0
2022-01-28,-7.51,-7.7,0.0
2022-01-31,-6.44,-7.306,-3.097
2022-02-01,-4.8,-6.7540000000000004,-3.3369999999999997
2022-02-02,-5.48,-6.49,-3.7049999999999996
2022-02-03,-6.18,-6.082000000000001,-4.046
2022-02-04,-4.0,-5.38,-4.3045
2022-02-07,-3.71,-4.834,-4.5735
2022-02-08,-2.0,-4.273999999999999,-4.7595
2022-02-09,-1.62,-3.502,-4.9305
2022-02-10,-2.0,-2.666,-5.142
2022-02-11,-3.21,-2.508,-5.409
2022-02-14,-4.06,-2.578,-5.4845
2022-02-15,-2.7,-2.718,-5.3420000000000005
2022-02-16,-2.53,-2.9,-5.138
2022-02-17,-4.7,-3.44,-5.014
2022-02-18,-4.27,-3.6519999999999997,-4.8100000000000005
2022-02-22,-4.43,-3.726,-4.611
2022-02-23,-6.37,-4.46,-4.5515
2022-02-24,-8.89,-5.732,-4.656000000000001
2022-02-25,-6.81,-6.154,-4.585500000000001
2022-02-28,-10.57,-7.414,-4.7385
2022-03-01,-13.45,-9.218,-5.089
2022-03-02,-11.76,-10.296000000000001,-5.437
2022-03-03,-12.35,-10.988,-5.7805
2022-03-04,-14.68,-12.562000000000001,-6.205499999999999
2022-03-07,-17.79,-14.006,-6.894999999999999
2022-03-08,-18.35,-14.985999999999999,-7.627
2022-03-09,-15.19,-15.672,-8.2865
2022-03-10,-16.16,-16.434,-9.0135
2022-03-11,-17.98,-17.094,-9.8125
2022-03-14,-17.2,-16.976,-10.512
2022-03-15,-15.76,-16.458,-11.097
2022-03-16,-12.08,-15.835999999999999,-11.566
2022-03-17,-10.99,-14.802000000000001,-11.989
2022-03-18,-11.02,-13.41,-12.305
2022-03-21,-11.3,-12.23,-12.656500000000001
2022-03-22,-9.44,-10.966,-12.907
2022-03-23,-11.22,-10.794,-13.1495
2022-03-24,-10.65,-10.726,-13.2375
2022-03-25,-9.88,-10.498000000000001,-13.391
2022-03-28,-10.53,-10.344,-13.389000000000001
2022-03-29,-10.34,-10.524000000000001,-13.233500000000001
2022-03-30,-10.74,-10.428,-13.182500000000001
2022-03-31,-13.4,-10.978,-13.235
2022-04-01,-13.62,-11.725999999999999,-13.181999999999999
2022-04-04,-13.26,-12.272,-12.9555
2022-04-05,-14.86,-13.175999999999998,-12.781
2022-04-06,-16.01,-14.23,-12.822
2022-04-07,-16.26,-14.802000000000001,-12.827000000000002
2022-04-08,-14.77,-15.032,-12.666500000000001
2022-04-11,-15.07,-15.394,-12.559999999999999
2022-04-12,-15.99,-15.62,-12.5715
2022-04-13,-18.67,-16.152,-12.901
2022-04-14,-19.41,-16.782,-13.322
2022-04-18,-17.94,-17.416000000000004,-13.668000000000001
2022-04-19,-16.25,-17.652000000000005,-13.9155
2022-04-20,-15.96,-17.646,-14.241499999999998
2022-04-21,-16.6,-17.232,-14.510500000000002
2022-04-22,-18.98,-17.146,-14.927000000000001
2022-04-25,-19.01,-17.36,-15.383500000000002
2022-04-26,-21.39,-18.388,-15.9265
2022-04-27,-22.4,-19.676,-16.5295
2022-04-28,-21.19,-20.594,-17.052
2022-04-29,-23.71,-21.54,-17.567500000000003
2022-05-02,-22.36,-22.21,-18.0045
2022-05-03,-20.74,-22.080000000000002,-18.3785
2022-05-04,-18.19,-21.238,-18.544999999999998
2022-05-05,-20.18,-21.035999999999998,-18.7535
2022-05-06,-20.31,-20.356,-18.956
2022-05-09,-21.48,-20.18,-19.291500000000003
2022-05-10,-23.36,-20.704,-19.706
2022-05-11,-23.84,-21.833999999999996,-20.0985
2022-05-12,-23.9,-22.578,-20.360000000000003
2022-05-13,-23.24,-23.163999999999998,-20.551499999999997
2022-05-16,-23.76,-23.619999999999997,-20.8425
2022-05-17,-21.26,-23.2,-21.093
2022-05-18,-22.59,-22.95,-21.424500000000002
2022-05-19,-23.73,-22.916,-21.781
2022-05-20,-24.35,-23.138,-22.0495
2022-05-23,-19.71,-22.328,-22.0845
2022-05-24,-18.59,-21.794,-21.944499999999998
2022-05-25,-18.03,-20.881999999999998,-21.726000000000003
2022-05-26,-16.62,-19.46,-21.497500000000002
2022-05-27,-15.45,-17.68,-21.0845
