Date,rate_VICI_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,76.23
2019-03-01,-1.93,6.13,-8.06,65.42
2019-04-29,5.15,10.74,-5.59,68.74
2019-06-25,1.21,9.75,-8.54,64.78
2019-08-21,-2.63,9.45,-12.08,60.03
2019-10-17,5.38,11.38,-6.0,68.19
2019-12-13,10.28,17.31,-7.03,66.81
2020-02-12,24.73,23.26,1.47,78.21
2020-04-09,-22.02,5.35,-27.37,39.53
2020-06-08,4.56,21.76,-17.2,53.17
2020-08-04,3.26,23.27,-20.01,49.4
2020-09-30,6.19,22.35,-16.16,54.56
2020-11-25,15.51,30.73,-15.22,55.82
2021-01-26,17.56,37.01,-19.45,50.15
2021-03-24,20.61,38.04,-17.43,52.86
2021-05-20,38.03,45.0,-6.97,66.89
2021-07-19,33.17,46.79,-13.62,57.97
2021-09-14,28.86,49.47,-20.61,48.59
2021-11-09,25.16,55.69,-30.53,35.29
2022-01-06,23.44,54.19,-30.75,34.99
2022-03-07,13.47,37.12,-23.65,44.51
2022-05-03,26.14,34.96,-8.82,64.4
2022-06-30,25.13,22.0,3.13,80.43
2022-08-26,42.99,30.79,12.2,92.6
2022-10-24,27.07,22.72,4.35,82.07
2022-12-20,39.76,22.59,17.17,99.26
2023-02-17,41.99,30.41,11.58,91.77
2023-04-18,36.41,31.87,4.54,82.32
2023-06-14,33.93,38.27,-4.34,70.41
2023-08-11,27.98,40.92,-12.94,58.88
2023-10-09,20.38,35.51,-15.13,55.94
2023-12-05,24.31,42.24,-17.93,52.19
2024-02-02,24.87,52.79,-27.92,38.79
2024-04-02,20.03,59.09,-39.06,23.85
2024-05-29,13.54,60.75,-47.21,12.92
2024-07-26,25.24,64.89,-39.65,23.06
