Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2022-01-03,76.87,76.58,76.94,75.35,76.87,9441200,,,,,,,,76.87,,,0.00,False,False,76.87,31000000.00,0,15510694.40,15489305.60,155.00,0.00,31000000,week +buy 50% Monthly invest,,,,MRK,0.00
2022-01-04,77.01,76.40,77.27,75.89,77.01,11981700,,,,,,,,77.01,,,0.01,False,False,76.87,31028209.80,0,15510694.40,15517515.40,155.00,0.09,31000000,,,,,MRK,-0.02
2022-01-05,78.88,77.26,79.81,77.26,78.88,17447900,,,,,,,,78.88,,,0.17,False,False,76.87,31405013.79,0,15510694.40,15894319.40,155.00,1.31,31000000,,,,,MRK,-0.97
2022-01-06,78.83,78.79,79.58,77.95,78.83,11359200,,,,,,,,78.88,,,0.26,False,False,76.87,31394939.80,0,15510694.40,15884245.40,155.00,1.27,31000000,,,,,MRK,-1.04
2022-01-07,80.30,78.86,80.53,78.46,80.30,15212000,,,78.38,,,,,80.30,,,0.42,False,False,76.87,31691145.00,0,15510694.40,16180450.60,155.00,2.23,31000000,,,,,MRK,-1.21
2022-01-10,82.37,80.54,82.45,79.67,82.37,19636800,,,79.48,,,,,82.37,,,0.66,False,False,76.87,32108250.00,0,15510694.40,16597555.60,155.00,3.57,31000000,,,,,MRK,-1.27
2022-01-11,81.67,82.42,82.56,80.65,81.67,11585100,,,80.41,,,,,82.37,,,0.72,False,False,76.87,31967198.99,0,15510694.40,16456504.60,155.00,3.12,31000000,,,,,MRK,-0.63
2022-01-12,81.20,81.08,81.42,80.67,81.20,13057000,,,80.87,,,,,82.37,,,0.67,False,False,76.87,31872493.79,0,15510694.40,16361799.40,155.00,2.81,31000000,,,,,MRK,-0.40
2022-01-13,81.32,80.93,81.72,80.33,81.32,9678100,,,81.37,,,,,82.37,,,0.61,False,False,76.87,31896674.40,0,15510694.40,16385980.00,155.00,2.89,31000000,,,,,MRK,-1.43
2022-01-14,81.38,81.60,81.85,80.77,81.38,9478000,,,81.59,,,,,82.37,,,0.53,False,False,76.87,31908763.79,0,15510694.40,16398069.40,155.00,2.93,31000000,,,,,MRK,-1.41
2022-01-18,81.54,81.10,82.16,80.81,81.54,14493100,,,81.42,,,,,82.37,,,0.46,False,False,76.87,31941004.60,0,15510694.40,16430310.20,155.00,3.04,31000000,,,,,MRK,-2.70
