Date,rate_TMO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-2.03,0.0,0.0
2022-01-05,-1.99,0.0,0.0
2022-01-06,-1.85,0.0,0.0
2022-01-07,-2.86,-1.746,0.0
2022-01-10,-1.5,-2.0460000000000003,0.0
2022-01-11,-2.01,-2.0420000000000003,0.0
2022-01-12,-1.48,-1.94,0.0
2022-01-13,-4.24,-2.418,0.0
2022-01-14,-4.92,-2.8299999999999996,0.0
2022-01-18,-5.46,-3.622,0.0
2022-01-19,-5.09,-4.238,0.0
2022-01-20,-5.68,-5.078,0.0
2022-01-21,-6.56,-5.542,0.0
2022-01-24,-7.08,-5.974,0.0
2022-01-25,-8.16,-6.514,0.0
2022-01-26,-8.81,-7.258,0.0
2022-01-27,-10.04,-8.129999999999999,0.0
2022-01-28,-7.58,-8.334,0.0
2022-01-31,-6.34,-8.186,-4.683999999999999
2022-02-01,-4.29,-7.411999999999999,-4.8985
2022-02-02,-2.89,-6.228,-4.9415
2022-02-03,-4.2,-5.0600000000000005,-5.0520000000000005
2022-02-04,-4.27,-4.398000000000001,-5.173
2022-02-07,-5.32,-4.194,-5.295999999999999
2022-02-08,-5.25,-4.386,-5.483499999999999
2022-02-09,-4.9,-4.788,-5.628
2022-02-10,-6.34,-5.216,-5.871
2022-02-11,-8.44,-6.05,-6.081
2022-02-14,-9.21,-6.828,-6.2955
2022-02-15,-9.91,-7.760000000000001,-6.517999999999999
2022-02-16,-10.88,-8.956,-6.8075
2022-02-17,-12.4,-10.168000000000001,-7.1435
2022-02-18,-12.92,-11.064000000000002,-7.461499999999999
2022-02-22,-14.04,-12.030000000000001,-7.809500000000002
2022-02-23,-14.24,-12.896,-8.113499999999998
2022-02-24,-12.45,-13.209999999999999,-8.2955
2022-02-25,-10.96,-12.922,-8.3415
2022-02-28,-11.86,-12.709999999999999,-8.5555
2022-03-01,-11.64,-12.23,-8.8205
2022-03-02,-9.64,-11.31,-9.088000000000001
2022-03-03,-9.96,-10.812000000000001,-9.441500000000001
2022-03-04,-11.01,-10.822,-9.782
2022-03-07,-12.89,-11.028,-10.213
2022-03-08,-14.54,-11.608,-10.674000000000001
2022-03-09,-11.82,-12.044,-11.002500000000001
2022-03-10,-12.35,-12.522,-11.375
2022-03-11,-13.65,-13.05,-11.7405
2022-03-14,-12.71,-13.014,-11.954
2022-03-15,-10.39,-12.184000000000001,-12.013
2022-03-16,-8.51,-11.522,-11.943000000000001
2022-03-17,-6.98,-10.448,-11.748000000000001
2022-03-18,-4.33,-8.584,-11.3445
2022-03-21,-4.3,-6.901999999999999,-10.9135
2022-03-22,-4.6,-5.744,-10.4415
2022-03-23,-7.13,-5.468000000000001,-10.086
2022-03-24,-6.76,-5.4239999999999995,-9.8015
2022-03-25,-6.66,-5.89,-9.586500000000001
2022-03-28,-5.26,-6.081999999999999,-9.256499999999999
2022-03-29,-3.73,-5.9079999999999995,-8.861
2022-03-30,-3.38,-5.1579999999999995,-8.548
2022-03-31,-4.08,-4.622,-8.254
2022-04-01,-3.71,-4.032,-7.889
2022-04-04,-4.04,-3.7879999999999994,-7.4465
2022-04-05,-4.96,-4.034,-6.967499999999999
2022-04-06,-4.47,-4.252,-6.6
2022-04-07,-0.58,-3.5520000000000005,-6.0115
2022-04-08,-1.11,-3.032,-5.3845
2022-04-11,-4.74,-3.1719999999999997,-4.986
2022-04-12,-7.05,-3.59,-4.819000000000001
2022-04-13,-6.13,-3.9219999999999997,-4.7
2022-04-14,-7.37,-5.28,-4.7195
