Date,rate_FSLR_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-3550.0
2022-01-05,0.0,0.0,-193.81
2022-01-06,0.0,0.0,-149.04
2022-01-07,-1.67,0.0,-80.99
2022-01-10,-2.15,0.0,-89.76
2022-01-11,-2.46,0.0,-261.9
2022-01-12,-2.41,0.0,-540.0
2022-01-13,-2.63,0.0,-159.44
2022-01-14,-2.89,0.0,-148.94
2022-01-18,-3.37,0.0,-78.15
2022-01-19,-3.9,0.0,-42.61
2022-01-20,-4.35,0.0,-13.68
2022-01-21,-5.38,0.0,-57.02
2022-01-24,-6.25,0.0,-47.57
2022-01-25,-7.27,0.0,-56.56
2022-01-26,-8.18,0.0,-45.47
2022-01-27,-9.96,0.0,-98.26
2022-01-28,-10.69,0.0,-151.61
2022-01-31,-10.6,-2.9,-114.45
2022-02-01,-10.2,-3.04,-183.51
2022-02-02,-10.17,-3.13,-373.6
2022-02-03,-10.38,-3.28,-268.75
2022-02-04,-10.89,-3.41,-318.06
2022-02-07,-12.69,-3.55,-322.42
2022-02-08,-14.23,-3.64,-396.83
2022-02-09,-14.64,-3.7,-528.73
2022-02-10,-14.64,-3.85,-327.91
2022-02-11,-15.0,-4.04,-221.95
2022-02-14,-15.34,-4.25,-227.12
2022-02-15,-14.93,-4.32,-233.33
2022-02-16,-15.48,-4.34,-254.27
2022-02-17,-15.75,-4.43,-171.33
2022-02-18,-15.92,-4.47,-172.31
2022-02-22,-16.47,-4.58,-178.88
2022-02-23,-18.14,-4.71,-142.38
2022-02-24,-18.75,-4.78,-121.86
2022-02-25,-18.58,-4.72,-162.48
2022-02-28,-17.02,-4.77,-63.74
2022-03-01,-14.69,-4.96,-28.27
2022-03-02,-13.54,-5.1,-190.14
2022-03-03,-13.84,-5.3,-209.12
2022-03-04,-13.49,-5.44,-100.59
2022-03-07,-13.5,-5.73,-6.32
2022-03-08,-12.58,-6.03,53.61
2022-03-09,-10.42,-6.26,30.17
2022-03-10,-8.32,-6.57,-0.99
2022-03-11,-7.51,-6.86,-2.71
2022-03-14,-8.21,-7.09,-36.59
2022-03-15,-9.27,-7.21,-25.25
2022-03-16,-9.56,-7.3,-14.86
2022-03-17,-9.14,-7.34,-26.25
2022-03-18,-8.6,-7.24,-80.11
2022-03-21,-7.32,-7.1,-86.74
2022-03-22,-6.34,-6.86,-87.69
2022-03-23,-6.25,-6.6,-62.31
2022-03-24,-5.94,-6.36,-58.66
2022-03-25,-5.45,-6.18,-85.11
2022-03-28,-3.85,-5.97,155.03
2022-03-29,-2.54,-5.63,418.75
2022-03-30,-1.6,-5.41,-50.46
2022-03-31,-0.6,-5.23,119.84
2022-04-01,0.43,-5.01,136.16
2022-04-04,0.39,-4.61,151.72
2022-04-05,-0.62,-4.25,-34.35
2022-04-06,-1.51,-4.04,-71.15
2022-04-07,-2.74,-3.79,-81.61
2022-04-08,-4.25,-3.5,-101.8
2022-04-11,-5.45,-3.25,-6.28
2022-04-12,-5.74,-3.12,5.87
2022-04-13,-5.36,-3.03,-0.47
2022-04-14,-5.46,-3.06,-14.15
2022-04-18,-5.22,-3.14,-2.62
2022-04-19,-5.25,-3.15,-39.43
2022-04-20,-5.77,-3.21,-91.14
2022-04-21,-7.02,-3.28,-97.38
2022-04-22,-8.4,-3.53,-65.27
2022-04-25,-9.88,-3.79,-75.03
2022-04-26,-11.62,-4.2,-41.81
2022-04-27,-12.76,-4.66,-36.38
2022-04-28,-13.28,-4.98,-74.6
2022-04-29,-13.12,-5.4,-12.65
2022-05-02,-12.77,-5.78,-11.61
2022-05-03,-11.83,-6.19,2.18
2022-05-04,-10.21,-6.41,26.04
2022-05-05,-9.16,-6.74,22.31
2022-05-06,-9.3,-7.12,-21.09
2022-05-09,-10.58,-7.62,-30.38
2022-05-10,-12.36,-8.04,-38.5
2022-05-11,-16.38,-8.5,-73.53
2022-05-12,-19.94,-9.02,-75.41
2022-05-13,-21.82,-9.39,-75.71
2022-05-16,-23.12,-9.77,-85.14
2022-05-17,-23.64,-10.14,-85.03
2022-05-18,-22.77,-10.68,-42.35
2022-05-19,-21.55,-11.17,-28.42
2022-05-20,-21.19,-11.54,-34.1
2022-05-23,-20.4,-11.86,-46.93
2022-05-24,-20.59,-12.08,-53.04
2022-05-25,-20.43,-12.27,-48.05
2022-05-26,-20.04,-12.49,-48.24
2022-05-27,-18.54,-12.44,-32.45
2022-05-31,-17.44,-12.45,-42.5
2022-06-01,-15.85,-12.5,-30.12
2022-06-02,-13.81,-12.61,-9.27
2022-06-03,-12.09,-12.62,13.62
2022-06-06,-12.02,-12.6,-22.9
2022-06-07,-11.62,-12.4,-34.04
2022-06-08,-11.43,-12.26,-25.17
2022-06-09,-12.5,-12.15,-22.62
2022-06-10,-14.17,-12.17,-16.81
2022-06-13,-16.32,-12.44,-28.75
2022-06-14,-18.75,-12.7,-35.15
2022-06-15,-20.6,-13.0,-29.45
2022-06-16,-22.49,-13.26,-24.51
2022-06-17,-22.8,-13.47,3.16
2022-06-21,-21.58,-13.6,2.88
2022-06-22,-20.21,-13.81,-0.22
2022-06-23,-18.86,-13.94,8.98
2022-06-24,-16.91,-13.99,-2.82
2022-06-27,-15.97,-14.14,3.84
2022-06-28,-16.08,-14.48,-6.67
2022-06-29,-16.26,-14.81,-11.35
2022-06-30,-16.61,-15.16,1.59
2022-07-01,-16.98,-15.52,-3.13
2022-07-05,-17.94,-15.8,-18.03
2022-07-06,-18.22,-16.08,-20.76
2022-07-07,-17.2,-16.34,6.35
2022-07-08,-16.03,-16.56,22.04
2022-07-11,-15.75,-16.72,1.79
2022-07-12,-15.22,-16.79,-0.12
2022-07-13,-14.5,-16.72,7.45
2022-07-14,-14.4,-16.66,22.13
2022-07-15,-16.16,-16.57,-30.98
2022-07-18,-16.71,-16.39,-12.33
2022-07-19,-16.17,-16.1,1.65
2022-07-20,-15.24,-15.89,18.88
2022-07-21,-14.7,-15.62,16.1
2022-07-22,-12.92,-15.43,14.79
2022-07-25,-11.18,-15.37,28.63
2022-07-26,-10.47,-15.34,28.7
2022-07-27,-9.55,-15.11,47.97
2022-07-28,-5.85,-14.82,172.7
2022-07-29,0.61,-14.42,315.74
2022-08-01,6.66,-14.1,313.89
2022-08-02,12.88,-13.8,306.21
2022-08-03,18.11,-13.46,317.65
2022-08-04,20.63,-13.19,324.4
2022-08-05,20.88,-12.92,338.67
2022-08-08,21.74,-12.6,367.66
2022-08-09,22.7,-12.26,367.78
2022-08-10,24.21,-11.84,428.69
2022-08-11,25.57,-11.41,428.93
2022-08-12,26.81,-11.0,491.32
2022-08-15,27.49,-10.54,508.02
2022-08-16,27.99,-10.19,511.79
2022-08-17,28.15,-9.88,486.03
2022-08-18,28.36,-9.61,499.72
2022-08-19,28.28,-9.34,452.26
2022-08-22,28.16,-9.14,401.84
2022-08-23,28.08,-8.9,396.91
2022-08-24,28.49,-8.76,428.8
2022-08-25,29.24,-8.62,486.31
2022-08-26,30.08,-8.66,409.81
2022-08-29,30.94,-8.71,398.24
2022-08-30,31.89,-8.77,385.55
2022-08-31,33.09,-8.91,405.31
2022-09-01,33.75,-9.02,411.4
2022-09-02,34.21,-9.16,388.31
2022-09-06,34.85,-9.3,390.39
2022-09-07,36.64,-9.36,481.47
2022-09-08,38.18,-9.46,523.41
2022-09-09,39.58,-9.5,565.17
2022-09-12,41.33,-9.55,626.25
2022-09-13,42.92,-9.8,460.37
2022-09-14,43.07,-10.04,461.71
2022-09-15,42.02,-10.31,406.73
2022-09-16,42.0,-10.62,419.05
2022-09-19,42.05,-10.85,444.27
2022-09-20,41.47,-11.07,396.47
2022-09-21,41.46,-11.36,380.44
2022-09-22,41.52,-11.69,347.34
2022-09-23,40.52,-12.13,318.14
2022-09-26,39.01,-12.5,300.78
2022-09-27,38.92,-12.87,319.96
2022-09-28,39.18,-13.15,357.8
2022-09-29,39.09,-13.48,307.2
2022-09-30,39.59,-13.91,300.96
2022-10-03,40.98,-14.17,347.86
2022-10-04,42.68,-14.31,424.98
2022-10-05,42.2,-14.52,374.18
2022-10-06,42.29,-14.79,345.66
2022-10-07,41.68,-15.24,302.53
2022-10-10,40.74,-15.77,303.57
2022-10-11,38.75,-16.14,299.27
2022-10-12,37.36,-16.53,275.28
2022-10-13,36.33,-16.77,294.05
2022-10-14,35.15,-17.07,260.16
2022-10-17,32.73,-17.3,250.9
2022-10-18,30.86,-17.44,278.34
2022-10-19,29.62,-17.53,265.76
2022-10-20,28.14,-17.62,251.0
2022-10-21,28.05,-17.54,294.75
2022-10-24,29.31,-17.38,321.6
2022-10-25,30.5,-17.14,364.43
2022-10-26,32.79,-16.99,384.03
2022-10-27,35.34,-16.77,373.52
2022-10-28,37.41,-16.4,428.95
2022-10-31,41.75,-16.18,516.95
2022-11-01,45.9,-16.09,529.54
2022-11-02,49.47,-16.09,479.62
2022-11-03,54.65,-16.1,507.83
2022-11-04,58.68,-15.93,511.89
2022-11-07,58.76,-15.69,488.45
2022-11-08,58.49,-15.4,501.69
2022-11-09,58.74,-15.19,483.51
2022-11-10,58.66,-14.86,698.98
2022-11-11,58.04,-14.39,679.46
2022-11-14,59.38,-14.06,673.03
2022-11-15,61.78,-13.74,767.97
2022-11-16,63.18,-13.43,717.12
2022-11-17,64.49,-13.09,755.24
2022-11-18,67.47,-12.84,793.33
2022-11-21,69.56,-12.64,763.52
2022-11-22,71.02,-12.46,865.98
2022-11-23,73.02,-12.22,931.57
2022-11-25,74.26,-11.96,951.32
2022-11-28,74.09,-11.86,784.57
2022-11-29,73.48,-11.75,743.71
