Date,rate_VTI,rate_VOO
2022-01-03,0.0,0.0
2022-01-04,-0.09,-0.02
2022-01-05,-1.18,-0.97
2022-01-06,-1.19,-1.04
2022-01-07,-1.41,-1.21
2022-01-10,-1.49,-1.27
2022-01-11,-0.76,-0.63
2022-01-12,-0.65,-0.4
2022-01-13,-1.73,-1.43
2022-01-14,-1.7,-1.41
2022-01-18,-3.12,-2.7
2022-01-19,-3.87,-3.45
2022-01-20,-4.7,-4.24
2022-01-21,-6.08,-5.63
2022-01-24,-5.64,-5.34
2022-01-25,-6.78,-6.33
2022-01-26,-7.09,-6.51
2022-01-27,-7.68,-6.91
2022-01-28,-5.73,-4.96
2022-01-31,-4.01,-3.46
2022-02-01,-3.23,-2.79
2022-02-02,-2.66,-1.97
2022-02-03,-4.73,-4.0
2022-02-04,-4.16,-3.6
2022-02-07,-4.38,-3.88
2022-02-08,-3.55,-3.15
2022-02-09,-2.08,-1.81
2022-02-10,-3.64,-3.44
2022-02-11,-5.4,-5.24
2022-02-14,-5.72,-5.53
2022-02-15,-4.1,-4.08
2022-02-16,-4.02,-3.98
2022-02-17,-6.13,-5.93
2022-02-18,-6.85,-6.5
2022-02-22,-7.89,-7.48
2022-02-23,-9.52,-9.06
2022-02-24,-7.99,-7.73
2022-02-25,-6.02,-5.81
2022-02-28,-6.11,-6.04
2022-03-01,-7.31,-7.18
2022-03-02,-5.66,-5.58
2022-03-03,-6.33,-6.03
2022-03-04,-7.22,-6.74
2022-03-07,-9.92,-9.33
2022-03-08,-10.41,-9.98
2022-03-09,-8.0,-7.69
2022-03-10,-8.4,-8.09
2022-03-11,-9.61,-9.21
2022-03-14,-10.47,-9.84
2022-03-15,-8.64,-7.92
2022-03-16,-6.41,-5.92
2022-03-17,-5.18,-4.8
2022-03-18,-4.09,-3.77
2022-03-21,-4.18,-3.77
2022-03-22,-3.02,-2.68
2022-03-23,-4.62,-3.9
2022-03-24,-3.27,-2.83
2022-03-25,-2.86,-2.35
2022-03-28,-2.24,-1.69
2022-03-29,-0.77,-0.48
2022-03-30,-1.57,-1.09
2022-03-31,-3.04,-2.57
2022-04-01,-2.58,-2.24
2022-04-04,-1.79,-1.45
2022-04-05,-3.19,-2.62
2022-04-06,-4.28,-3.57
2022-04-07,-3.92,-3.1
2022-04-08,-4.22,-3.33
2022-04-11,-5.68,-4.94
2022-04-12,-5.96,-5.28
2022-04-13,-4.75,-4.23
2022-04-14,-5.89,-5.37
2022-04-18,-6.05,-5.35
2022-04-19,-4.42,-3.88
2022-04-20,-4.54,-3.95
2022-04-21,-6.08,-5.34
2022-04-22,-8.61,-7.86
2022-04-25,-8.11,-7.37
2022-04-26,-10.7,-9.95
2022-04-27,-10.52,-9.73
2022-04-28,-8.37,-7.52
2022-04-29,-11.69,-10.83
2022-05-02,-10.72,-9.99
2022-05-03,-10.31,-9.62
2022-05-04,-7.76,-6.99
2022-05-05,-11.06,-10.13
2022-05-06,-11.76,-10.67
2022-05-09,-14.79,-13.43
2022-05-10,-14.63,-13.22
2022-05-11,-16.14,-14.58
2022-05-12,-16.05,-14.64
2022-05-13,-13.85,-12.68
2022-05-16,-14.27,-12.99
2022-05-17,-12.46,-11.29
2022-05-18,-15.84,-14.71
2022-05-19,-16.21,-15.27
2022-05-20,-16.21,-15.25
2022-05-23,-14.79,-13.68
2022-05-24,-15.64,-14.29
2022-05-25,-14.71,-13.59
2022-05-26,-12.99,-11.92
2022-05-27,-10.81,-9.77
2022-05-31,-11.53,-10.26
2022-06-01,-11.77,-10.69
2022-06-02,-10.02,-9.06
2022-06-03,-11.43,-10.5
2022-06-06,-11.17,-10.26
2022-06-07,-10.22,-9.4
2022-06-08,-11.22,-10.37
2022-06-09,-13.32,-12.42
2022-06-10,-15.87,-14.93
2022-06-13,-19.27,-18.12
2022-06-14,-19.5,-18.32
2022-06-15,-18.34,-17.18
2022-06-16,-21.16,-19.83
2022-06-17,-20.86,-19.62
2022-06-21,-18.97,-17.71
2022-06-22,-18.98,-17.88
2022-06-23,-18.58,-17.04
2022-06-24,-15.97,-14.53
2022-06-27,-16.23,-14.84
2022-06-28,-17.94,-16.63
2022-06-29,-18.07,-16.92
2022-06-30,-18.77,-17.56
2022-07-01,-17.44,-16.28
2022-07-05,-17.16,-16.14
2022-07-06,-17.0,-15.85
2022-07-07,-15.65,-14.65
2022-07-08,-15.74,-14.7
2022-07-11,-16.79,-15.64
2022-07-12,-17.51,-16.4
2022-07-13,-17.86,-16.77
2022-07-14,-18.22,-16.99
2022-07-15,-16.65,-15.46
2022-07-18,-17.22,-16.14
2022-07-19,-14.93,-13.93
2022-07-20,-14.25,-13.4
2022-07-21,-13.41,-12.55
2022-07-22,-14.34,-13.32
2022-07-25,-14.22,-13.24
2022-07-26,-15.27,-14.25
2022-07-27,-13.07,-12.07
2022-07-28,-11.95,-10.99
2022-07-29,-10.76,-9.72
2022-08-01,-10.68,-9.72
2022-08-02,-11.03,-10.15
2022-08-03,-9.98,-9.12
2022-08-04,-10.05,-9.18
2022-08-05,-10.07,-9.31
2022-08-08,-10.01,-9.37
2022-08-09,-10.4,-9.62
2022-08-10,-9.0,-8.33
2022-08-11,-9.0,-8.33
2022-08-12,-7.92,-7.26
2022-08-15,-7.67,-6.98
2022-08-16,-7.54,-6.87
2022-08-17,-8.09,-7.3
2022-08-18,-7.93,-7.11
2022-08-19,-8.8,-7.96
2022-08-22,-10.09,-9.24
2022-08-23,-10.21,-9.38
2022-08-24,-9.96,-9.2
2022-08-25,-9.1,-8.33
2022-08-26,-11.09,-10.4
2022-08-29,-11.52,-10.79
2022-08-30,-12.17,-11.42
2022-08-31,-12.6,-11.87
2022-09-01,-12.24,-11.4
2022-09-02,-12.8,-11.98
2022-09-06,-13.02,-12.17
2022-09-07,-11.71,-10.9
2022-09-08,-11.08,-10.38
2022-09-09,-9.75,-9.13
2022-09-12,-8.87,-8.23
2022-09-13,-12.59,-12.01
2022-09-14,-12.27,-11.7
2022-09-15,-13.16,-12.63
2022-09-16,-13.91,-13.28
2022-09-19,-13.33,-12.65
2022-09-20,-14.31,-13.61
2022-09-21,-15.73,-15.08
2022-09-22,-16.64,-15.78
2022-09-23,-18.37,-17.14
2022-09-26,-19.24,-17.92
2022-09-27,-19.36,-18.14
2022-09-28,-17.69,-16.92
2022-09-29,-19.37,-18.62
2022-09-30,-20.45,-19.84
2022-10-03,-18.0,-17.32
2022-10-04,-15.43,-14.89
2022-10-05,-15.59,-15.03
2022-10-06,-16.37,-15.9
2022-10-07,-18.71,-18.18
2022-10-10,-19.34,-18.77
2022-10-11,-19.85,-19.3
2022-10-12,-20.06,-19.54
2022-10-13,-18.11,-17.48
2022-10-14,-20.01,-19.3
2022-10-17,-17.91,-17.29
2022-10-18,-16.92,-16.34
2022-10-19,-17.62,-16.91
2022-10-20,-18.33,-17.57
2022-10-21,-16.46,-15.63
2022-10-24,-15.57,-14.63
2022-10-25,-14.06,-13.27
