Date,rate_BLK_5D,rate_BLK_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-0.548,,-0.648,
2022-01-10,-0.966,,-0.9019999999999999,
2022-01-11,-1.208,,-1.024,
2022-01-12,-1.222,,-0.9099999999999999,
2022-01-13,-1.5539999999999998,,-0.9879999999999999,
2022-01-14,-2.154,,-1.028,
2022-01-18,-2.814,,-1.314,
2022-01-19,-3.812,,-1.8780000000000001,
2022-01-20,-4.744,,-2.646,
2022-01-21,-5.806,,-3.4859999999999998,
2022-01-24,-6.792,,-4.272,
2022-01-25,-7.286,,-4.998,
2022-01-26,-7.7360000000000015,,-5.609999999999999,
2022-01-27,-8.348,,-6.144,
2022-01-28,-8.162,,-6.01,
2022-01-31,-7.464,-4.2395000000000005,-5.634,-2.8954999999999997
2022-02-01,-6.898000000000001,-4.4910000000000005,-4.926,-3.035
2022-02-02,-6.3420000000000005,-4.7745,-4.018,-3.1325
2022-02-03,-5.9799999999999995,-5.0735,-3.436,-3.284
2022-02-04,-5.926,-5.362,-3.164,-3.4120000000000004
2022-02-07,-6.014000000000001,-5.606,-3.2479999999999998,-3.5454999999999997
2022-02-08,-6.398000000000001,-5.849,-3.3200000000000003,-3.6395000000000004
2022-02-09,-6.596000000000001,-6.1215,-3.2879999999999994,-3.6985000000000006
2022-02-10,-7.188,-6.565,-3.1759999999999997,-3.8505000000000003
2022-02-11,-7.984,-6.969500000000001,-3.504,-4.0409999999999995
2022-02-14,-9.180000000000001,-7.3625,-3.8340000000000005,-4.247
2022-02-15,-9.716,-7.5745000000000005,-4.0200000000000005,-4.316
2022-02-16,-10.322,-7.749,-4.454,-4.3425
2022-02-17,-10.652000000000001,-8.042,-4.952,-4.427
2022-02-18,-11.002,-8.2685,-5.204,-4.4704999999999995
2022-02-22,-11.328,-8.496500000000001,-5.593999999999999,-4.5775
2022-02-23,-12.396,-8.852,-6.590000000000001,-4.714
2022-02-24,-13.528,-9.197000000000001,-7.340000000000001,-4.775
2022-02-25,-13.784,-9.401,-7.316,-4.720000000000001
2022-02-28,-14.05,-9.7405,-7.224000000000001,-4.774
2022-03-01,-14.62,-10.2855,-7.164,-4.96
2022-03-02,-14.412,-10.730500000000001,-6.467999999999999,-5.099500000000001
2022-03-03,-14.193999999999999,-11.16,-6.128,-5.3025
2022-03-04,-15.27,-11.723500000000001,-6.314,-5.439500000000001
2022-03-07,-16.607999999999997,-12.411,-6.9719999999999995,-5.726
2022-03-08,-17.723999999999997,-13.213,-7.531999999999999,-6.031000000000001
2022-03-09,-18.663999999999998,-13.797,-7.954000000000001,-6.258
2022-03-10,-19.509999999999998,-14.388499999999999,-8.366,-6.572
2022-03-11,-19.704,-14.852500000000001,-8.86,-6.8605
2022-03-14,-19.254,-15.2285,-8.962,-7.0905000000000005
2022-03-15,-18.266,-15.4845,-8.55,-7.210000000000001
2022-03-16,-17.43,-15.7255,-8.196000000000002,-7.302000000000001
2022-03-17,-16.466,-15.924499999999998,-7.537999999999999,-7.343000000000001
2022-03-18,-15.330000000000002,-16.022000000000002,-6.45,-7.235000000000001
2022-03-21,-14.528,-16.11,-5.236,-7.0985
2022-03-22,-13.662,-16.067999999999998,-4.188,-6.858499999999999
2022-03-23,-13.544,-16.0125,-3.7840000000000003,-6.600500000000001
2022-03-24,-13.602,-15.943000000000001,-3.3899999999999997,-6.3555
2022-03-25,-13.547999999999998,-15.963,-3.106,-6.182499999999999
2022-03-28,-13.193999999999999,-15.895999999999997,-2.69,-5.965000000000001
2022-03-29,-12.614,-15.5665,-2.25,-5.63
