Date,rate_BHP_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,4150.0
2022-01-05,0.0,0.0,245.36
2022-01-06,0.0,0.0,241.35
2022-01-07,1.4,0.0,374.38
2022-01-10,1.87,0.0,282.68
2022-01-11,2.5,0.0,728.57
2022-01-12,3.66,0.0,1905.0
2022-01-13,4.8,0.0,600.7
2022-01-14,5.53,0.0,596.45
2022-01-18,6.34,0.0,335.56
2022-01-19,7.32,0.0,356.23
2022-01-20,7.53,0.0,295.52
2022-01-21,7.01,0.0,180.82
2022-01-24,6.43,0.0,176.97
2022-01-25,5.77,0.0,148.66
2022-01-26,4.79,0.0,160.06
2022-01-27,4.29,0.0,183.79
2022-01-28,4.08,0.0,170.36
2022-01-31,3.79,-2.9,177.46
2022-02-01,4.11,-3.04,267.74
2022-02-02,4.41,-3.13,374.62
2022-02-03,4.4,-3.28,243.25
2022-02-04,4.97,-3.41,276.39
2022-02-07,6.37,-3.55,350.0
2022-02-08,7.6,-3.64,442.54
2022-02-09,8.59,-3.7,674.03
2022-02-10,9.84,-3.85,448.26
2022-02-11,10.65,-4.04,298.47
2022-02-14,10.59,-4.25,270.16
2022-02-15,10.09,-4.32,302.21
2022-02-16,10.04,-4.34,354.77
2022-02-17,9.41,-4.43,249.58
2022-02-18,9.55,-4.47,270.77
2022-02-22,9.7,-4.58,235.83
2022-02-23,10.09,-4.71,212.47
2022-02-24,8.45,-4.78,125.23
2022-02-25,8.19,-4.72,229.6
2022-02-28,7.7,-4.77,243.54
2022-03-01,7.57,-4.96,232.31
2022-03-02,8.5,-5.1,365.77
2022-03-03,11.39,-5.3,372.14
2022-03-04,13.2,-5.44,346.14
2022-03-07,14.56,-5.73,266.02
2022-03-08,14.88,-6.03,210.82
2022-03-09,14.21,-6.26,249.28
2022-03-10,13.65,-6.57,268.48
2022-03-11,12.23,-6.86,202.82
2022-03-14,10.06,-7.09,147.56
2022-03-15,8.56,-7.21,144.95
2022-03-16,7.63,-7.3,215.03
2022-03-17,6.6,-7.34,276.67
2022-03-18,6.69,-7.24,362.6
2022-03-21,8.63,-7.1,481.7
2022-03-22,10.6,-6.86,600.75
2022-03-23,12.53,-6.6,522.56
2022-03-24,14.55,-6.36,755.48
2022-03-25,16.62,-6.18,961.7
2022-03-28,17.87,-5.97,1321.89
2022-03-29,19.33,-5.63,4414.58
2022-03-30,20.96,-5.41,2362.39
2022-03-31,21.91,-5.23,1005.84
2022-04-01,23.01,-5.01,1249.55
2022-04-04,23.87,-4.61,1820.69
2022-04-05,24.22,-4.25,956.87
2022-04-06,23.82,-4.04,735.01
2022-04-07,23.71,-3.79,832.9
2022-04-08,23.2,-3.5,797.3
2022-04-11,22.3,-3.25,514.17
2022-04-12,22.26,-3.12,521.02
2022-04-13,22.52,-3.03,666.43
2022-04-14,22.77,-3.06,546.74
2022-04-18,23.0,-3.14,555.33
2022-04-19,23.62,-3.15,706.7
2022-04-20,23.57,-3.21,657.47
2022-04-21,21.47,-3.28,351.5
2022-04-22,18.26,-3.53,201.15
2022-04-25,14.32,-3.79,163.09
2022-04-26,10.02,-4.2,120.5
2022-04-27,6.95,-4.66,168.55
2022-04-28,5.89,-4.98,208.38
2022-04-29,5.57,-5.4,158.73
2022-05-02,6.01,-5.78,168.27
2022-05-03,7.11,-6.19,178.69
2022-05-04,7.73,-6.41,239.34
2022-05-05,6.96,-6.74,142.55
2022-05-06,6.57,-7.12,141.24
2022-05-09,4.93,-7.62,89.65
2022-05-10,3.25,-8.04,94.02
2022-05-11,1.23,-8.5,97.26
2022-05-12,0.04,-9.02,88.8
2022-05-13,-0.68,-9.39,106.39
2022-05-16,-0.26,-9.77,105.39
2022-05-17,0.69,-10.14,135.25
2022-05-18,1.02,-10.68,108.5
2022-05-19,2.25,-11.17,129.4
2022-05-20,3.44,-11.54,144.39
2022-05-23,5.09,-11.86,165.42
2022-05-24,6.18,-12.08,166.06
2022-05-25,7.72,-12.27,165.71
2022-05-26,8.52,-12.49,171.22
2022-05-27,9.69,-12.44,229.17
2022-05-31,10.31,-12.45,217.45
2022-06-01,11.05,-12.5,223.11
2022-06-02,13.14,-12.61,313.91
2022-06-03,15.2,-12.62,278.86
2022-06-06,16.32,-12.6,277.58
2022-06-07,18.41,-12.4,339.47
2022-06-08,19.71,-12.26,289.49
2022-06-09,18.95,-12.15,225.36
2022-06-10,17.67,-12.17,182.99
2022-06-13,15.56,-12.44,142.38
2022-06-14,12.3,-12.7,133.84
2022-06-15,10.31,-13.0,156.4
2022-06-16,8.52,-13.26,133.38
2022-06-17,6.5,-13.47,111.67
2022-06-21,5.4,-13.6,112.54
2022-06-22,3.86,-13.81,91.61
2022-06-23,1.32,-13.94,82.28
2022-06-24,-0.05,-13.99,98.28
2022-06-27,-0.08,-14.14,114.49
2022-06-28,0.09,-14.48,118.34
2022-06-29,1.0,-14.81,118.03
2022-06-30,1.5,-15.16,97.15
2022-07-01,0.75,-15.52,75.37
2022-07-05,-0.89,-15.8,62.52
2022-07-06,-2.87,-16.08,56.97
2022-07-07,-4.26,-16.34,73.17
2022-07-08,-5.35,-16.56,59.46
2022-07-11,-6.41,-16.72,40.73
2022-07-12,-7.38,-16.79,33.41
2022-07-13,-8.16,-16.72,35.96
2022-07-14,-10.25,-16.66,15.42
2022-07-15,-11.57,-16.57,18.82
2022-07-18,-11.73,-16.39,37.61
2022-07-19,-11.49,-16.1,30.29
2022-07-20,-11.29,-15.89,27.39
2022-07-21,-10.39,-15.62,21.04
2022-07-22,-9.75,-15.43,30.03
2022-07-25,-8.99,-15.37,52.72
2022-07-26,-8.33,-15.34,54.81
2022-07-27,-7.42,-15.11,57.25
2022-07-28,-6.26,-14.82,62.42
2022-07-29,-4.86,-14.42,76.03
2022-08-01,-4.36,-14.1,61.63
2022-08-02,-4.12,-13.8,48.08
2022-08-03,-4.09,-13.46,45.5
2022-08-04,-4.29,-13.19,44.12
2022-08-05,-4.51,-12.92,62.84
2022-08-08,-4.46,-12.6,62.86
2022-08-09,-4.22,-12.26,57.69
