Date,rate_SPY,rate_SPY_5D,rate_SPY_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.02,,,-0.02,,
2022-01-05,-0.94,,,-0.97,,
2022-01-06,-0.98,,,-1.04,,
2022-01-07,-1.17,-0.622,,-1.21,-0.648,
2022-01-10,-1.23,-0.868,,-1.27,-0.9019999999999999,
2022-01-11,-0.57,-0.9780000000000001,,-0.63,-1.024,
2022-01-12,-0.37,-0.8640000000000001,,-0.4,-0.9099999999999999,
2022-01-13,-1.38,-0.944,,-1.43,-0.9879999999999999,
2022-01-14,-1.35,-0.9800000000000001,,-1.41,-1.028,
2022-01-18,-2.63,-1.26,,-2.7,-1.314,
2022-01-19,-3.36,-1.818,,-3.45,-1.8780000000000001,
2022-01-20,-4.14,-2.572,,-4.24,-2.646,
2022-01-21,-5.5,-3.3959999999999995,,-5.63,-3.4859999999999998,
2022-01-24,-5.21,-4.168,,-5.34,-4.272,
2022-01-25,-6.2,-4.882,,-6.33,-4.998,
2022-01-26,-6.4,-5.49,,-6.51,-5.609999999999999,
2022-01-27,-6.8,-6.022,,-6.91,-6.144,
2022-01-28,-4.82,-5.886,,-4.96,-6.01,
2022-01-31,-3.35,-5.514,-2.821,-3.46,-5.634,-2.8954999999999997
2022-02-01,-2.67,-4.808,-2.9545,-2.79,-4.926,-3.035
2022-02-02,-1.83,-3.8940000000000006,-3.045,-1.97,-4.018,-3.1325
2022-02-03,-3.88,-3.31,-3.1919999999999997,-4.0,-3.436,-3.284
2022-02-04,-3.48,-3.0420000000000003,-3.317,-3.6,-3.164,-3.4120000000000004
2022-02-07,-3.75,-3.122,-3.446,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-3.02,-3.1919999999999997,-3.5355,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-1.71,-3.168,-3.5925000000000002,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-3.34,-3.06,-3.7409999999999997,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-5.11,-3.386,-3.9274999999999998,-5.24,-3.504,-4.0409999999999995
2022-02-14,-5.39,-3.714,-4.129499999999999,-5.53,-3.8340000000000005,-4.247
2022-02-15,-3.93,-3.896,-4.1945,-4.08,-4.0200000000000005,-4.316
2022-02-16,-3.82,-4.318,-4.217499999999999,-3.98,-4.454,-4.3425
2022-02-17,-5.8,-4.81,-4.3004999999999995,-5.93,-4.952,-4.427
2022-02-18,-6.39,-5.066,-4.345,-6.5,-5.204,-4.4704999999999995
2022-02-22,-7.35,-5.458,-4.452,-7.48,-5.593999999999999,-4.5775
2022-02-23,-8.93,-6.458,-4.5885,-9.06,-6.590000000000001,-4.714
2022-02-24,-7.62,-7.217999999999999,-4.6495,-7.73,-7.340000000000001,-4.775
2022-02-25,-5.66,-7.19,-4.592499999999999,-5.81,-7.316,-4.720000000000001
2022-02-28,-5.89,-7.090000000000001,-4.646,-6.04,-7.224000000000001,-4.774
2022-03-01,-7.07,-7.034000000000001,-4.832,-7.18,-7.164,-4.96
2022-03-02,-5.45,-6.338,-4.970999999999999,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-5.9,-5.994,-5.1745,-6.03,-6.128,-5.3025
2022-03-04,-6.62,-6.186,-5.3115000000000006,-6.74,-6.314,-5.439500000000001
2022-03-07,-9.23,-6.853999999999999,-5.598999999999999,-9.33,-6.9719999999999995,-5.726
2022-03-08,-9.9,-7.42,-5.906499999999999,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-7.57,-7.843999999999999,-6.134,-7.69,-7.954000000000001,-6.258
2022-03-10,-7.97,-8.258,-6.447,-8.09,-8.366,-6.572
2022-03-11,-9.1,-8.754000000000001,-6.734999999999999,-9.21,-8.86,-6.8605
2022-03-14,-9.74,-8.856,-6.966499999999999,-9.84,-8.962,-7.0905000000000005
2022-03-15,-7.83,-8.442,-7.088500000000001,-7.92,-8.55,-7.210000000000001
2022-03-16,-5.85,-8.098,-7.1845,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-4.72,-7.448,-7.2295,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-4.0,-6.428,-7.1395,-3.77,-6.45,-7.235000000000001
2022-03-21,-4.02,-5.284,-7.021000000000001,-3.77,-5.236,-7.0985
2022-03-22,-2.94,-4.305999999999999,-6.800500000000001,-2.68,-4.188,-6.858499999999999
2022-03-23,-4.15,-3.9659999999999997,-6.5615000000000006,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-2.75,-3.572,-6.318,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-2.29,-3.2300000000000004,-6.149500000000001,-2.35,-3.106,-6.182499999999999
2022-03-28,-1.62,-2.7500000000000004,-5.936,-1.69,-2.69,-5.965000000000001
2022-03-29,-0.44,-2.25,-5.6045,-0.48,-2.25,-5.63
2022-03-30,-1.04,-1.6280000000000001,-5.384,-1.09,-1.688,-5.4055
2022-03-31,-2.51,-1.58,-5.2145,-2.57,-1.636,-5.2325
2022-04-01,-2.18,-1.558,-4.9925,-2.24,-1.614,-5.0075
2022-04-04,-1.39,-1.512,-4.6005,-1.45,-1.566,-4.6135
2022-04-05,-2.58,-1.94,-4.2345,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-3.51,-2.434,-4.031499999999999,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-3.05,-2.5420000000000003,-3.7855,-3.1,-2.596,-3.79
2022-04-08,-3.3,-2.766,-3.4955,-3.33,-2.814,-3.496
2022-04-11,-4.88,-3.464,-3.2525,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-5.22,-3.992,-3.122,-5.28,-4.044,-3.119
2022-04-13,-4.16,-4.122,-3.0375,-4.23,-4.176,-3.0345
2022-04-14,-5.32,-4.5760000000000005,-3.0675,-5.37,-4.630000000000001,-3.063
2022-04-18,-5.29,-4.974,-3.132,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,-3.8,-4.758,-3.121,-3.88,-4.822000000000001,-3.1475
2022-04-20,-3.87,-4.488,-3.1674999999999995,-3.95,-4.556,-3.211
2022-04-21,-5.27,-4.71,-3.2235,-5.34,-4.7780000000000005,-3.283
2022-04-22,-7.79,-5.203999999999999,-3.4755000000000003,-7.86,-5.276,-3.5345
2022-04-25,-7.27,-5.6,-3.7245,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-9.88,-6.816,-4.1375,-9.95,-6.894,-4.1985
2022-04-27,-9.64,-7.970000000000001,-4.5975,-9.73,-8.05,-4.661
2022-04-28,-7.42,-8.4,-4.9165,-7.52,-8.485999999999999,-4.9825
2022-04-29,-10.75,-8.992,-5.3285,-10.83,-9.08,-5.3955
2022-05-02,-9.93,-9.524000000000001,-5.716,-9.99,-9.604,-5.7829999999999995
2022-05-03,-9.54,-9.456,-6.1235,-9.62,-9.538,-6.1915
2022-05-04,-6.9,-8.908,-6.3395,-6.99,-8.99,-6.410000000000001
2022-05-05,-10.07,-9.437999999999999,-6.6674999999999995,-10.13,-9.512,-6.7379999999999995
2022-05-06,-10.59,-9.406,-7.044500000000001,-10.67,-9.48,-7.1165
2022-05-09,-13.33,-10.086,-7.546000000000001,-13.43,-10.168,-7.6215
2022-05-10,-13.13,-10.803999999999998,-7.958500000000001,-13.22,-10.888,-8.0355
2022-05-11,-14.47,-12.318000000000001,-8.421000000000001,-14.58,-12.406,-8.500499999999999
2022-05-12,-14.56,-13.216,-8.941,-14.64,-13.308000000000002,-9.021
2022-05-13,-12.57,-13.612,-9.3035,-12.68,-13.709999999999999,-9.3865
2022-05-16,-12.92,-13.530000000000001,-9.684999999999999,-12.99,-13.622,-9.7685
2022-05-17,-11.18,-13.14,-10.053999999999998,-11.29,-13.236,-10.139
2022-05-18,-14.66,-13.178,-10.5935,-14.71,-13.262,-10.677
2022-05-19,-15.17,-13.3,-11.0885,-15.27,-13.388,-11.1735
2022-05-20,-15.13,-13.812000000000001,-11.4555,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-13.59,-13.946000000000002,-11.7715,-13.68,-14.040000000000001,-11.8585
2022-05-24,-14.23,-14.556000000000001,-11.989,-14.29,-14.64,-12.075500000000002
2022-05-25,-13.49,-14.322,-12.1815,-13.59,-14.416,-12.2685
2022-05-26,-11.81,-13.65,-12.401,-11.92,-13.745999999999999,-12.4885
2022-05-27,-9.71,-12.566,-12.349,-9.77,-12.65,-12.435500000000001
2022-05-31,-10.2,-11.888,-12.3625,-10.26,-11.966,-12.449
2022-06-01,-10.6,-11.162,-12.4155,-10.69,-11.245999999999999,-12.502500000000001
