Date,rate_DHI_5D,rate_DHI_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-1.47,,-0.648,
2022-01-10,-2.3739999999999997,,-0.9019999999999999,
2022-01-11,-2.88,,-1.024,
2022-01-12,-3.0319999999999996,,-0.9099999999999999,
2022-01-13,-2.988,,-0.9879999999999999,
2022-01-14,-2.53,,-1.028,
2022-01-18,-2.868,,-1.314,
2022-01-19,-4.101999999999999,,-1.8780000000000001,
2022-01-20,-5.726,,-2.646,
2022-01-21,-7.470000000000001,,-3.4859999999999998,
2022-01-24,-8.562000000000001,,-4.272,
2022-01-25,-9.19,,-4.998,
2022-01-26,-9.992,,-5.609999999999999,
2022-01-27,-10.825999999999999,,-6.144,
2022-01-28,-11.232,,-6.01,
2022-01-31,-11.558,-6.029999999999999,-5.634,-2.8954999999999997
2022-02-01,-11.496,-6.481999999999999,-4.926,-3.035
2022-02-02,-10.552,-6.8815,-4.018,-3.1325
2022-02-03,-9.774000000000001,-7.339499999999999,-3.436,-3.284
2022-02-04,-10.108,-7.9495000000000005,-3.164,-3.4120000000000004
2022-02-07,-10.754,-8.351,-3.2479999999999998,-3.5454999999999997
2022-02-08,-11.212,-8.6915,-3.3200000000000003,-3.6395000000000004
2022-02-09,-11.558,-9.050999999999998,-3.2879999999999994,-3.6985000000000006
2022-02-10,-12.134,-9.615,-3.1759999999999997,-3.8505000000000003
2022-02-11,-12.106,-10.229000000000001,-3.504,-4.0409999999999995
2022-02-14,-12.565999999999999,-10.86,-3.8340000000000005,-4.247
2022-02-15,-12.948000000000002,-11.2115,-4.0200000000000005,-4.316
2022-02-16,-13.598000000000003,-11.425,-4.454,-4.3425
2022-02-17,-14.038,-11.693,-4.952,-4.427
2022-02-18,-14.190000000000001,-11.909,-5.204,-4.4704999999999995
2022-02-22,-14.696000000000002,-12.3935,-5.593999999999999,-4.5775
2022-02-23,-16.016,-12.918000000000001,-6.590000000000001,-4.714
2022-02-24,-16.61,-13.0795,-7.340000000000001,-4.775
2022-02-25,-15.962,-12.976999999999999,-7.316,-4.720000000000001
2022-02-28,-15.572,-12.994,-7.224000000000001,-4.774
2022-03-01,-14.420000000000002,-13.109,-7.164,-4.96
2022-03-02,-12.482,-13.1645,-6.467999999999999,-5.099500000000001
2022-03-03,-11.576,-13.3355,-6.128,-5.3025
2022-03-04,-11.622,-13.439000000000002,-6.314,-5.439500000000001
2022-03-07,-12.58,-13.612,-6.9719999999999995,-5.726
2022-03-08,-13.644,-13.8315,-7.531999999999999,-6.031000000000001
2022-03-09,-14.59,-14.009,-7.954000000000001,-6.258
2022-03-10,-15.378,-14.2905,-8.366,-6.572
2022-03-11,-16.238000000000003,-14.465,-8.86,-6.8605
2022-03-14,-16.78,-14.7805,-8.962,-7.0905000000000005
2022-03-15,-16.762,-14.880499999999998,-8.55,-7.210000000000001
2022-03-16,-16.934,-15.005500000000001,-8.196000000000002,-7.302000000000001
2022-03-17,-16.759999999999998,-15.081,-7.537999999999999,-7.343000000000001
2022-03-18,-15.784,-14.901499999999999,-6.45,-7.235000000000001
2022-03-21,-14.661999999999997,-14.898499999999999,-5.236,-7.0985
2022-03-22,-14.179999999999998,-14.751500000000002,-4.188,-6.858499999999999
2022-03-23,-14.834,-14.709999999999999,-3.7840000000000003,-6.600500000000001
2022-03-24,-15.724,-14.8595,-3.3899999999999997,-6.3555
2022-03-25,-17.348,-15.248,-3.106,-6.182499999999999
2022-03-28,-18.298000000000002,-15.580000000000002,-2.69,-5.965000000000001
2022-03-29,-18.7,-15.8215,-2.25,-5.63
