Date,rate_VZ_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,97.64
2019-03-01,0.47,4.45,-3.98,93.69
2019-04-29,0.28,7.58,-7.3,90.39
2019-06-25,2.09,7.2,-5.11,92.56
2019-08-21,-0.11,7.24,-7.35,90.34
2019-10-17,5.85,8.87,-3.02,94.64
2019-12-13,6.47,13.19,-6.72,90.96
2020-02-12,2.45,18.03,-15.58,82.15
2020-04-09,1.22,3.89,-2.67,94.99
2020-06-08,2.23,14.68,-12.45,85.27
2020-08-04,1.95,16.26,-14.31,83.42
2020-09-30,4.42,17.41,-12.99,84.73
2020-11-25,5.85,24.05,-18.2,79.55
2021-01-26,-0.14,29.15,-29.29,68.52
2021-03-24,0.55,30.35,-29.8,68.02
2021-05-20,0.2,36.67,-36.47,61.38
2021-07-19,-1.28,38.99,-40.27,57.61
2021-09-14,-3.51,43.6,-47.11,50.81
2021-11-09,-6.89,49.14,-56.03,41.94
2022-01-06,-4.52,49.24,-53.76,44.19
2022-03-07,-3.09,37.68,-40.77,57.11
2022-05-03,-14.8,36.93,-51.73,46.21
2022-06-30,-9.22,27.61,-36.83,61.03
2022-08-26,-21.1,34.27,-55.37,42.59
2022-10-24,-33.4,27.92,-61.32,36.68
2022-12-20,-31.68,28.33,-60.01,37.98
2023-02-17,-26.22,34.71,-60.93,37.07
2023-04-18,-28.38,36.36,-64.74,33.28
2023-06-14,-33.81,41.83,-75.64,22.44
2023-08-11,-37.82,43.86,-81.68,16.43
2023-10-09,-41.04,40.69,-81.73,16.38
2023-12-05,-29.26,46.52,-75.78,22.3
2024-02-02,-22.99,55.53,-78.52,19.58
2024-04-02,-22.3,61.42,-83.72,14.41
2024-05-29,-28.11,63.18,-91.29,6.88
2024-07-26,-26.44,67.5,-93.94,4.25
